external_ID,CDD_name,molecule_ID,batch_ID,canonical_CID,virtual_project,for_synthesis_project,made_project
AGN-NEW-9d245c51-1,CVD-0000050,75708192,76911825,AGN-NEW-9d245c51-1,True,False,False
AGN-NEW-9d245c51-2,CVD-0000051,75708193,76911826,AGN-NEW-9d245c51-2,True,False,False
AGN-NEW-9d245c51-3,CVD-0000052,75708194,76911827,AGN-NEW-9d245c51-3,True,False,False
AGN-NEW-9d245c51-4,CVD-0000053,75708195,76911828,AGN-NEW-9d245c51-4,True,False,False
AGN-NEW-9d245c51-5,CVD-0000054,75708196,76911829,AGN-NEW-9d245c51-5,True,False,False
AGN-NEW-c197b967-1,CVD-0000055,75708197,76911830,AGN-NEW-c197b967-1,True,False,False
AGN-NEW-c197b967-2,CVD-0000056,75708198,76911831,AGN-NEW-c197b967-2,True,False,False
AGN-NEW-c7b24fe3-1,CVD-0000057,75708199,76911832,AGN-NEW-c7b24fe3-1,True,False,False
AGN-NEW-c7b24fe3-2,CVD-0000058,75708200,76911833,AGN-NEW-c7b24fe3-2,True,False,False
AGN-NEW-c7b24fe3-3,CVD-0000059,75708201,76911834,AGN-NEW-c7b24fe3-3,True,True,True
AGN-NEW-c7b24fe3-4,CVD-0000060,75708202,76911835,AGN-NEW-c7b24fe3-4,True,True,True
AGN-NEW-c7b24fe3-5,CVD-0000061,75708203,76911836,AGN-NEW-c7b24fe3-5,True,False,False
AGN-NEW-c7b24fe3-6,CVD-0000062,75708204,76911837,AGN-NEW-c7b24fe3-6,True,False,False
AGN-NEW-cce853d0-1,CVD-0000063,75708205,76911838,AGN-NEW-cce853d0-1,True,True,False
AGN-NEW-cce853d0-2,CVD-0000064,75708206,76911839,AGN-NEW-cce853d0-2,True,False,False
AGN-NEW-cce853d0-3,CVD-0000065,75708207,76911840,AGN-NEW-cce853d0-3,True,False,False
ALB-THE-e2bfce8e-1,CVD-0000066,75708208,76911843,ALB-THE-e2bfce8e-1,True,False,False
ALE-ACE-2610ee4d-1,CVD-0000067,75708209,76911844,JOH-MSK-35a8745a-1,True,True,True
JOH-MSK-35a8745a-1,CVD-0000067,75708209,76913415,JOH-MSK-35a8745a-1,True,True,True
ALE-HEI-f28a35b5-1,CVD-0000068,75708210,76911845,ALE-HEI-f28a35b5-1,True,True,True
TRY-UNI-714a760b-4,CVD-0000068,75708210,76915670,ALE-HEI-f28a35b5-1,True,True,True
ALE-HEI-f28a35b5-10,CVD-0000069,75708211,76911846,ALE-HEI-f28a35b5-10,True,False,False
ALE-HEI-f28a35b5-11,CVD-0000070,75708212,76911847,ALE-HEI-f28a35b5-11,True,False,False
ALE-HEI-f28a35b5-12,CVD-0000071,75708213,76911848,ALE-HEI-f28a35b5-12,True,True,False
ALE-HEI-f28a35b5-13,CVD-0000072,75708214,76911849,ALE-HEI-f28a35b5-13,True,True,False
ALE-HEI-f28a35b5-14,CVD-0000073,75708215,76911850,ALE-HEI-f28a35b5-14,True,True,False
ALE-HEI-f28a35b5-15,CVD-0000074,75708216,76911851,ALE-HEI-f28a35b5-15,True,False,False
ALE-HEI-f28a35b5-16,CVD-0000075,75708217,76911852,ALE-HEI-f28a35b5-16,True,False,False
ALE-HEI-f28a35b5-17,CVD-0000076,75708218,76911853,SCO-VAN-260d9628-1,True,False,False
SCO-VAN-260d9628-1,CVD-0000076,75708218,76915325,SCO-VAN-260d9628-1,True,False,False
ALE-HEI-f28a35b5-2,CVD-0000077,75708219,76911854,ALE-HEI-f28a35b5-2,True,False,False
ALE-HEI-f28a35b5-3,CVD-0000078,75708220,76911855,ALE-HEI-f28a35b5-3,True,False,False
ALE-HEI-f28a35b5-4,CVD-0000079,75708221,76911856,ALE-HEI-f28a35b5-4,True,True,True
ALE-HEI-f28a35b5-5,CVD-0000080,75708222,76911857,ALE-HEI-f28a35b5-5,True,True,True
ALE-HEI-f28a35b5-6,CVD-0000081,75708223,76911858,ALE-HEI-f28a35b5-6,True,True,False
TRY-UNI-714a760b-10,CVD-0000081,75708223,76915653,ALE-HEI-f28a35b5-6,True,True,False
EDG-MED-0da5ad92-4,CVD-0000081,75708223,77822512,ALE-HEI-f28a35b5-6,True,True,False
ALE-HEI-f28a35b5-7,CVD-0000082,75708224,76911859,ALE-HEI-f28a35b5-7,True,True,False
TRY-UNI-714a760b-11,CVD-0000082,75708224,76915654,ALE-HEI-f28a35b5-7,True,True,False
ALE-HEI-f28a35b5-8,CVD-0000083,75708225,76911860,ALE-HEI-f28a35b5-8,True,True,False
ALE-HEI-f28a35b5-9,CVD-0000084,75708226,76911861,ALE-HEI-f28a35b5-9,True,True,False
FRA-FAC-9ed5a63a-1,CVD-0000084,75708226,76912997,ALE-HEI-f28a35b5-9,True,True,False
AAR-POS-d2a4d1df-13,CVD-0000084,75708226,77780166,ALE-HEI-f28a35b5-9,True,True,False
