SMILES,CID,comments,,,,
Cc1ccc(N(Cc2cccc(Cl)c2)C(=O)Cn2nnc3ccccc32)cc1,CHO-MSK-00c5269a-1,,,,,
COc1ccc(N(Cc2cccc(Cl)c2)C(=O)Cn2nnc3ccccc32)cc1,CHO-MSK-00c5269a-2,,,,,
O=C(Cn1nnc2ccccc21)N(Cc1cccc(Cl)c1)c1ccc(N2CCOCC2)cc1,CHO-MSK-00c5269a-4,,,,,
O=C(Cn1nnc2ccccc21)N(Cc1cccc(Cl)c1)c1ccc(N2CCCCC2)cc1,CHO-MSK-00c5269a-5,,,,,
O=C(Cc1cncc2ccccc12)N(CCC1CCCCC1)Cc1cccs1,ALP-POS-64a710fa-1,Z2241125877 + EN300-300934,,,,
CN(C)CCCN(Cc1cccs1)C(=O)Cc1cncc2ccccc12,ALP-POS-64a710fa-2,EN300-09817 + EN300-300934,,,,
O=C(Cc1cccc(Cl)c1)N(Cc1cnc[nH]1)c1cncc2ccccc12,ALP-UNI-44c99a80-1,EN300-50613,,,,
O=C(Cc1cccc(Cl)c1)N(Cc1cnco1)c1cncc2ccccc12,ALP-UNI-44c99a80-4,EN300-73499,,,,
