SMILES,CID,,,,,
COC1(CS(=O)(=O)N2CC3(CCN(C3=O)c3cncc4ccccc34)c3cc(Cl)ccc3C2=O)CC1,EDJ-MED-9f4ac58c-6,,,,,
Clc1ccc2C(=O)N(CC3(CCN(C3=O)c3cncc4ccccc34)c2c1)S(=O)(=O)CC1(CC1)C#N,EDJ-MED-9f4ac58c-2,,,,,
CNC(=O)CN1CC2(CCN(C2=O)c2cncc3cc(Cl)ccc23)c2cc(Cl)ccc2C1=O,EDG-MED-b1ef7fe3-4,,,,,
CNC(=O)CN1CC2(CCN(C2=O)c2cncc3ccc(Cl)cc23)c2cc(Cl)ccc2C1=O,EDG-MED-b1ef7fe3-1,,,,,
COC1(CS(=O)(=O)N2CC3(CCN(C3=O)c3cncc4cc(ccc34)S(C)(=O)=O)c3cc(Cl)ccc3C2=O)CC1,EDJ-MED-9f4ac58c-8,,,,,
CS(=O)(=O)c1ccc2c(cncc2c1)N1CCC2(CN(C(=O)c3ccc(Cl)cc23)S(=O)(=O)CC2(CC2)C#N)C1=O,EDJ-MED-9f4ac58c-4,,,,,
CNC(=O)CN1CC2(CCN(C2=O)c2cncc3cc(F)ccc23)c2cc(Cl)ccc2C1=O,EDG-MED-b1ef7fe3-3,,,,,
CNC(=O)CN1CC2(CCN(c3cncc4cccc(Cl)c34)C2=O)c2cc(Cl)ccc2C1=O,MAT-POS-853c0ffa-1,,,,,
CC1(C(=O)Nc2cncc3ccccc23)CCS(=O)(=O)c2ccc(Cl)cc21,EDJ-MED-70ab3faf-1,,,,,
CC1(C(=O)Nc2cncc3cc(S(C)(=O)=O)ccc23)CCS(=O)(=O)c2ccc(Cl)cc21,EDJ-MED-70ab3faf-2,,,,,
CN(c1ccc2c(NC(=O)C3(C)CCS(=O)(=O)c4ccc(Cl)cc43)cncc2c1)S(C)(=O)=O,EDJ-MED-70ab3faf-3,,,,,
O=C(Nc1cncc2cccc(Cl)c12)C1CCS(=O)(=O)c2ccc(Cl)cc21,EDJ-MED-94fddcec-3,,,,,
CN(c1ccc2c(NC(=O)C3CCS(=O)(=O)c4ccc(Cl)cc43)cncc2c1)S(C)(=O)=O,EDJ-MED-94fddcec-1,,,,,
CS(=O)(=O)Nc1ccc2c(NC(=O)C3CCS(=O)(=O)c4ccc(Cl)cc43)cncc2c1,EDG-MED-f9979214-1,,,,,
COC1(C(=O)Nc2cncc3ccccc23)CCS(=O)(=O)c2ccc(Cl)cc21,EDJ-MED-211392e3-1,,,,,
COC1(C(=O)Nc2cncc3cc(S(C)(=O)=O)ccc23)CCS(=O)(=O)c2ccc(Cl)cc21,EDJ-MED-211392e3-2,,,,,
CC1(NC(=O)CN2CC(C(=O)Nc3cncc4ccccc34)c3cc(Cl)ccc3C2=O)CC1,EDJ-MED-c99b2211-1,,,,,
CC1(NC(=O)CN2CC(C(=O)Nc3cncc4cc(S(C)(=O)=O)ccc34)c3cc(Cl)ccc3C2=O)CC1,EDJ-MED-c99b2211-3,,,,,
CS(=O)(=O)c1ccc2c(NC(=O)C3CN(S(=O)(=O)CC4(C(F)(F)F)CC4)Cc4ccc(Cl)cc43)cncc2c1,MAT-POS-5c19d660-1 ,,,,,
CC(C)(O)c1ccc2cncc(NC(=O)C3CN(S(=O)(=O)CC4(C(F)(F)F)CC4)Cc4ccc(Cl)cc43)c2c1,MAT-POS-5c19d660-2,,,,,
