SMILES,CID,Comments,Catalog ID,"Purity, %",,
CC(C)(CNC(=O)C1CNC(=O)N1)N2CCC=3C=CC=CC3C2,RED-RED-10c9212c-45,,Z1162487743,90,,
CSC=1C=CC(=CC1)C2N(CC=3C=CC=NC3)C(=O)C=4NN=C(C24)C=5C=CC=CC5O,RED-RED-10c9212c-46,,Z1213671916,90,,
O=CNC=1C=CC(=CC1)C(=O)NC(C2CCOCC2)C=3C=CC=CC3,RED-RED-10c9212c-47,,Z1315074142,90,,
CC=1C=C(C)C(=C(C)C1)S(=O)(=O)N2CCCC2C(=O)NC=3C=CC=4NC(=O)SC4C3,RED-RED-10c9212c-48,,Z1317659736,90,,
CCC(N(C)C(=O)CC1=CNC=2N=CC=CC12)C=3C=CN=CC3,RED-RED-10c9212c-49,,Z1401023270,90,,
CC(C)N1CCCC(N2CCN(CC2)C=3C=CC=4N=CC=NC4N3)C1=O,RED-RED-10c9212c-50,,Z1626117845,90,,
NS(=O)(=O)C=1C=CC=2N(CC(=O)N3CCC=4SC=CC4C3C5=CC=CS5)CCC2C1,RED-RED-10c9212c-51,,Z200748176,90,,
CC(NCC1=CNC=2N=CC=NC12)C=3C=C(F)C=CC3N4CCC(O)CC4,RED-RED-10c9212c-52,,Z2176859844,90,,
OC(CN1CCOCC1)CN2N=C(C=3C=CC(Br)=CC3)C=4C=CC=CC4C2=O,RED-RED-10c9212c-53,,Z287337326,90,,
O=C(NCC(C1=CNC=2C=CC=CC12)C=3C=CC=CC3)C=4C=NC=CN4,RED-RED-10c9212c-54,,Z29961021,90,,
O=C(CNC(=O)C1CCCC1)N2CCCC2C3=NC=4C=CC=CC4N3,RED-RED-10c9212c-55,,Z383107890,90,,
CC1CCC=2C(C#N)=C(N=CC3=C(C)NC=4C=CC=CC34)SC2C1,RED-RED-10c9212c-56,,Z56828703,90,,
ClC=1C=CC=C2C(CCOC12)NC=3N=CC=CN3,RED-RED-10c9212c-57,,Z808259428,90,,
