shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,PostEra comments
ALP-POS-02c6a514-15,EN300-124955-Ugi,C30H36FN3O4,Achiral,521.633,,,,,0,40,20,,,CCC1(CC)C(OC)C(C)C1N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,"2-[N-(2,2-diethyl-3-methoxy-4-methylcyclobutyl)-1-(furan-2-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide",CVD-0013838
ALP-POS-02c6a514-16,EN300-633992-Ugi,C31H30FN3O3,Achiral,511.597,,,,,0,40,20,,,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(Cc1ccccc1C1CCC1)C(=O)c1ccco1,2-{N-[(2-cyclobutylphenyl)methyl]-1-(furan-2-yl)formamido}-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide,CVD-0013839
ALP-POS-02c6a514-17,EN300-21009-Ugi,C30H34FN3O3,Achiral,503.61800000000005,,,,,0,40,20,,,CC(C)(C)c1ccc(N(C(=O)C2CCCO2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,2-[N-(4-tert-butylphenyl)-1-(oxolan-2-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide,CVD-0013865
ALP-POS-02c6a514-18,EN300-6732600-Ugi,C30H27F4N3O3,Achiral,553.558,,,,,0,40,20,,,CC(C)c1cc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)ccc1C(F)(F)F,N-[2-(3-fluorophenyl)ethyl]-2-[1-(furan-2-yl)-N-[3-(propan-2-yl)-4-(trifluoromethyl)phenyl]formamido]-2-(pyridin-3-yl)acetamide,CVD-0013840
ALP-POS-02c6a514-19,EN300-108926-Ugi,C33H31FN2O4,Achiral,538.619,,,,,0,40,20,,,CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2coc3ccccc23)cc1,2-(1-benzofuran-3-yl)-2-[N-(4-tert-butylphenyl)-1-(furan-2-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]acetamide,CVD-0013866
ALP-POS-02c6a514-20,EN300-66760-Ugi,C27H27FN4O3S,Achiral,506.6,,,,,0,40,20,,,CC(C)(C)c1cnc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)s1,"2-[N-(5-tert-butyl-1,3-thiazol-2-yl)-1-(furan-2-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide",CVD-0013841
ALP-POS-02c6a514-21,EN300-79034-Ugi,C32H32FN3O4S,Achiral,573.68,,,,,0,40,20,,,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)c1cccc(CSC2CCOCC2)c1,N-[2-(3-fluorophenyl)ethyl]-2-[1-(furan-2-yl)-N-{3-[(oxan-4-ylsulfanyl)methyl]phenyl}formamido]-2-(pyridin-3-yl)acetamide,CVD-0013842
ALP-POS-02c6a514-22,EN300-88417-Ugi,C30H32FN5O2,Achiral,513.617,,,,,0,40,20,,,Cn1cncc1C(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,2-[N-(4-tert-butylphenyl)-1-(1-methyl-1H-imidazol-5-yl)formamido]-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide,CVD-0013867
ALP-POS-02c6a514-23,EN300-79027-Ugi,C34H35FN4O5,Achiral,598.675,,,,,0,40,20,,,COc1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1NC(=O)C1CCCCC1,N-{5-[N-({[2-(3-fluorophenyl)ethyl]carbamoyl}(pyridin-3-yl)methyl)furan-2-amido]-2-methoxyphenyl}cyclohexanecarboxamide,CVD-0013843
ALP-POS-02c6a514-24,EN300-157719-Ugi,C29H34FN3O5,Achiral,523.605,,,,,0,40,20,,,CCOC1CC(CO)(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)C1(C)C,"2-{N-[3-ethoxy-1-(hydroxymethyl)-2,2-dimethylcyclobutyl]-1-(furan-2-yl)formamido}-N-[2-(3-fluorophenyl)ethyl]-2-(pyridin-3-yl)acetamide",CVD-0013844
