SMILES,CID
CCC(C)(CCN(C(C1=NN=NN1)C2=CC=CC=C2)C(CN3C4=C(C=CC=C4)N=N3)=O)C,WIL-UNI-2e73223c-1
CCC(C)(CCN(C1=CC=C(OC2=NN=NN2)C=C1)C(CN3C4=C(C=CC=C4)N=N3)=O)C,WIL-UNI-2e73223c-2
CC(C)(CCN(C(C1=CC=CC=C1)C2=CN=CN=C2)C(CN3N=NC4=C3C=CC=C4)=O)CC,WIL-UNI-2e73223c-3
