SMILES,CID,Comments,,,,
O=C(Cc1cccc(Cl)c1)NC1CCCNC1=O,MIC-UNK-4c7b8ba7-1,Z1080091020,,,,
CC1CCNC(=O)C1NC(=O)Cc1cccc(Cl)c1,MAT-POS-0bc33984-1,Z1995520696,,,,
O=C1CC(NC(=O)Cc2cccc(Cl)c2)C(=O)N1,MIC-UNK-fc94cdb5-1,Z3582393269,,,,
O=C(Cc1cccc(Cl)c1)Nc1cn[nH]c1,MIC-UNK-66895286-1,s_22____12398626____3020518,,,,
Cc1[nH]ncc1CC(=O)Nc1cccc(Cl)c1,MIC-UNK-66895286-3 ,s_22____57731____16735318,,,,
O=C(Cc1cccc(Cl)c1)NC1CCNC1=O,MIC-UNK-42806bd5-1,Z2649895207,,,,
CC1(NC(=O)Cc2cccc(Cl)c2)CCNC1=O,MAT-POS-0bc33984-2,Z2965036889,,,,
O=C1CC(NC(=O)Cc2cccc(Cl)c2)CN1,MIC-UNK-42806bd5-2 ,Z1623214019,,,,
