SMILES,shipment_ID,catalog_ID,sample_MW,purity,volume(uL),concentration(mM),plate_ID,well,% Inhibition at 20 mM (N=1),% Inhibition at 20 mM (N=2),% Inhibition at 100 mM (N=1),% Inhibition at 100 mM (N=2)
CC(C(=O)O)C=1C=CC2=C(C1)NC=3C=CC(Cl)=CC32,GER-UNI-ec7-1,Z1530425063,273.71,100.0,40,10,1169103-Y40-01,J04,No Inhibition,No Inhibition,4.3303589237604,5.498385738922536
CCCNC(=O)C(C)NC(=O)N(C)CC1=CSC(C)=N1,ALE-UNK-fca-9,Z900735246,298.4,95.48,40,10,1169103-Y40-01,K04,No Inhibition,No Inhibition,No Inhibition,No Inhibition
O=C(C=CC=CC=1C=CC=2OCOC2C1)N3CCCCC3,Piperine,Z104476830,285.33,100.0,40,10,1169103-Y40-01,L04,No Inhibition,No Inhibition,No Inhibition,No Inhibition
COC=1C=CC=2NC=C(CCNS(=O)(=O)C)C2C1,MAR-UNI-9ca-1,Z1316790959,268.33,100.0,40,10,1169103-Y40-01,M04,No Inhibition,No Inhibition,No Inhibition,No Inhibition
CC=1C=CN=C(NC(=O)CC=2C=CC=3C=CC=CC3C2)C1,LV-UNI-7ff-45,Z71390073,276.33,96.93,40,10,1169103-Y40-01,N04,No Inhibition,No Inhibition,12.327241187709745,9.739704206784722
CC(=O)N1CCN(CC1)S(=O)(=O)C2=CC=CS2,MAK-UNK-643-1,Z29501928,274.35,92.56,40,10,1169103-Y40-01,O04,No Inhibition,No Inhibition,No Inhibition,No Inhibition
CC(C)N(C)C(=O)C1CCN(CC1)C(=O)CCl,VIR-GIT-7b3-3,Z561717446,260.76,96.19,40,10,1169103-Y40-01,P04,1.7031284958705726,-1.8983565540346348,33.474296878982784,38.212914899387684
OC=1C=CC(Cl)=CC1C(=O)NC=2C=CC=CC2Cl,CHR-SOS-709-4,Z241957544,282.12,100.0,40,10,1169103-Y40-01,A05,7.872320858013097,6.417234266771615,21.833791328788706,20.13179645407456
ClCC(=O)N1CCC(CC1)C(=O)N2CCCCC2,VIR-GIT-7b3-2,Z291278798,272.77,97.83,40,10,1169103-Y40-01,B05,0.3469261018670551,0.664886688780939,27.357716320713067,26.478065589806207
CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC=2C=CC=CC2)NC(=O)OCC3=CN=CS3)CC=4C=CC=CC4,RITONAVIR,Z1521553599,720.94,95.0,40,10,1169103-Y40-01,C05,No Inhibition,No Inhibition,No Inhibition,No Inhibition
CNS(=O)(=O)CC=1C=CC=2NC=C(CCN(C)C)C2C1.OC(=O)CCC(=O)O,TOM-OIS-cbf-2,Z1544404947,413.48,95.0,40,10,1169103-Y40-01,D05,No Inhibition,No Inhibition,No Inhibition,No Inhibition
CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC=2C=CC=CC2)NC(=O)COC=3C(C)=CC=CC3C)CC=4C=CC=CC4,LOPINAVIR,Z2235801862,628.8,95.0,40,10,1169103-Y40-01,E05,No Inhibition,No Inhibition,57.05763822263545,63.61075357068338
COC=1C=CC=2NC=C(CCNC(=O)C)C2C1,JOH-MSK-35a-1,Z1191880499,232.27,95.0,40,10,1169103-Y40-01,F05,No Inhibition,No Inhibition,No Inhibition,No Inhibition
CC=1C=CC(=CC1)C2=CC(=NN2C=3C=CC(=CC3)S(=O)(=O)N)C(F)(F)F,GER-UNI-05c-1,Z1258938406,381.37,100.0,40,10,1169103-Y40-01,G05,1.788134281621879,2.5438315515459777,33.45676343089106,35.37433152836252
CCC(=O)O[C@@H](OP(=O)(CCCCC=1C=CC=CC1)CC(=O)N2C[C@@H](C[C@H]2C(=O)O)C3CCCCC3)C(C)C,Z1515385090,Z3207130728,563.66,100.0,40,10,1169103-Y40-01,H05,2.274433099436493,4.067376201206898,15.965282056583163,15.379199306145836
CCC(=O)NCC[C@@H]1CCC=2C=CC=3OCCC3C12,JOH-MSK-ec6-2,Z2037281108,259.34,100.0,40,10,1169103-Y40-01,I05,No Inhibition,No Inhibition,No Inhibition,No Inhibition
O=C(CC1=CNC=2N=CC=CC12)NCC=3C=CC(C#N)=CN3,TRY-UNI-1fd-12,Z1767447079,291.3,100.0,40,10,1169103-Y40-01,J05,No Inhibition,No Inhibition,No Inhibition,No Inhibition
ClC=1C=CC(CNC(=O)CC2=CNC=3N=CC=CC23)=NC1,TRY-UNI-1fd-11,Z1593808911,300.74,100.0,40,10,1169103-Y40-01,K05,No Inhibition,No Inhibition,No Inhibition,No Inhibition
O=C(CC1=CNC=2N=CC=CC12)NC=3C=CC=C(C#N)C3,DAR-DIA-23a-1,Z1400784309,276.29,100.0,40,10,1169103-Y40-01,L05,No Inhibition,No Inhibition,12.571398069601756,15.20562133301361
Cl.CC(=O)N1CCN(CC(=O)NC=2C=CC=C(C2)S(=O)(=O)N)CC1,JAN-GHE-1d9-7,Z102844650,376.85,,40,10,1169103-Y40-01,M05,No Inhibition,No Inhibition,No Inhibition,No Inhibition
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C=3C=CC=NC3,Z4439011578,Z4439011578,467.48,100.0,40,10,1169103-Y40-01,N05,21.991630506660528,25.875859642032964,100,100
CCC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(Br)=CC2)C=3C=CC=NC3)C(=O)C=C,Z4439011564,Z4439011564,506.43,83.38,40,10,1169103-Y40-01,O05,No Inhibition,No Inhibition,31.645815904673952,41.23043235903058
CSC=1C=CC(=CC1)N(C(C(=O)NC(C)(C)C)C=2C=CC=NC2)C(=O)C=C,Z4439011605,Z4439011605,383.5,100.0,40,10,1169103-Y40-01,P05,No Inhibition,No Inhibition,No Inhibition,No Inhibition
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(SC)=CC2)C=3C=CC=NC3)=C(C)C1,Z4438424250,Z4438424250,447.54,95.45,40,10,1169103-Y40-01,A06,No Inhibition,No Inhibition,18.838638641160216,19.046448760713403
CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)S(F)(F)(F)(F)F)C=2C=CC=NC2,Z4439011611,Z4439011611,463.46,82.44000000000001,40,10,1169103-Y40-01,B06,5.125970937180824,7.9565941241070846,56.160099344761704,57.915714695498785
ClC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)=CC1,Z4438424283,Z4438424283,448.92,95.86999999999999,40,10,1169103-Y40-01,C06,3.0060294674635486,2.1348758392803404,13.968041885879103,15.383481036207499
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(N(C)C)=C(C)C2)C=3C=CC=NC3,Z4439011586,Z4439011586,456.57,83.25,40,10,1169103-Y40-01,D06,No Inhibition,No Inhibition,78.26964523042736,81.54390511547652
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)OC)C=3C=CC=NC3,Z4439011587,Z4439011587,457.56,91.75,40,10,1169103-Y40-01,E06,No Inhibition,No Inhibition,No Inhibition,No Inhibition
COC(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(OC)=CC2C)C=3C=CC=NC3)C(=O)C=C,Z4438424255,Z4438424255,459.53,92.79,40,10,1169103-Y40-01,F06,No Inhibition,No Inhibition,No Inhibition,No Inhibition
BrC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)=CC1,Z4439011556,Z4439011556,493.37,96.22,40,10,1169103-Y40-01,G06,No Inhibition,6.108558499529352,49.534430431957986,55.65488425443945
COC(C)C=1C=CC(=CC1)N(C(C(=O)NC(C)(C)C)C=2C=CC=NC2)C(=O)C=C,Z4439011613,Z4439011613,395.49,100.0,40,10,1169103-Y40-01,H06,No Inhibition,No Inhibition,26.399390830698522,29.142766816443498
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(SC)=CC2)C=3C=CC=NC3)=CC1,Z4439011540,Z4439011540,433.52,98.34,40,10,1169103-Y40-01,I06,No Inhibition,No Inhibition,39.964299941865875,41.440436405235445
CN(C)C=1C=CC(=CC1C)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C,Z4438424285,Z4438424285,448.94,83.0,40,10,1169103-Y40-01,J06,No Inhibition,No Inhibition,17.346337145958543,18.325370728718227
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4,Z4439011582,Z4439011582,456.55,100.0,40,10,1169103-Y40-01,K06,No Inhibition,No Inhibition,No Inhibition,No Inhibition
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)S(F)(F)(F)(F)F)C=3C=CC=NC3)=CC1,Z4439011546,Z4439011546,513.48,91.96000000000001,40,10,1169103-Y40-01,L06,9.476672319590293,11.229672648211917,69.15248347096255,76.66536099653733
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=C(ON2)C(C)(C)C)C=3C=CC=NC3)=C(C)C1,Z4439011520,Z4439011520,448.51,96.7,40,10,1169103-Y40-01,M06,14.894737490152494,13.72307180259699,81.18648099669366,79.71516489833344
CCC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC=C(F)C2C)C=3C=CC=NC3)C(=O)C=C,Z4439011603,Z4439011603,459.55,96.27,40,10,1169103-Y40-01,N06,3.6828007066418422,3.8873719477670363,50.34617669677459,51.03342981718609
CN(C)C=1C=CC(=CC1C)N(C(C(=O)NC=2C=CC=CC2Br)C=3C=CC=NC3)C(=O)C=C,Z4438424214,Z4438424214,493.39,96.32,40,10,1169103-Y40-01,O06,No Inhibition,No Inhibition,29.99307279892082,46.06494601756068
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=C(ON2)C(C)(C)C)C=3C=CC=NC3,Z4439011581,Z4439011581,446.54,87.4,40,10,1169103-Y40-01,P06,2.9797118167025047,No Inhibition,49.3765654844468,52.915788942792936
CN(C)C=1C=CC(=CC1C)N(C(C(=O)NC=2C=CC(Br)=CC2)C=3C=CC=NC3)C(=O)C=C,Z4439011560,Z4439011560,493.39,84.0,40,10,1169103-Y40-01,A07,No Inhibition,No Inhibition,29.35636906601519,33.44613386584689
FC(F)(F)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC=CC2Br)C=3C=CC=NC3)C(=O)C=C,Z4438424211,Z4438424211,504.29,86.69,40,10,1169103-Y40-01,B07,10.070102269598848,9.129831817709572,60.59281937782872,65.08280865791602
CCC=1C=CC=C(NC(=O)C(N(C(=O)C=C)C=2C=C(ON2)C(C)(C)C)C=3C=CC=NC3)C1,Z4439011525,Z4439011525,432.51,85.43,40,10,1169103-Y40-01,C07,6.272858766958947,7.299247486400404,45.179206488506466,50.80607417408676
CCC=1C=CC=C(NC(=O)C(N(C(=O)C=C)C=2C=CC(N(C)C)=C(C)C2)C=3C=CC=NC3)C1,Z4438424264,Z4438424264,442.55,83.0,40,10,1169103-Y40-01,D07,No Inhibition,No Inhibition,18.37278035734326,31.86744736138057
CCC=1C=CC=C(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(C)OC)C=3C=CC=NC3)C1,Z4438424265,Z4438424265,443.53,97.79,40,10,1169103-Y40-01,E07,4.056763484282669,4.831844178382809,29.873576513941842,33.80550656779057
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(=NC2)C(C)C)C=3C=CC=NC3,Z4439011588,Z4439011588,442.55,98.6,40,10,1169103-Y40-01,F07,No Inhibition,No Inhibition,23.385246085820327,22.565153517813812
COC(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC=CC2Br)C=3C=CC=NC3)C(=O)C=C,Z4438424215,Z4438424215,494.38,100.0,40,10,1169103-Y40-01,G07,No Inhibition,No Inhibition,22.005964992099564,38.61137804414414
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C2=CC(=NN2)C(C)(C)C)C=3C=CC=NC3,Z4439011584,Z4439011584,445.55,88.54,40,10,1169103-Y40-01,H07,No Inhibition,No Inhibition,No Inhibition,No Inhibition
CC(C)(C)C=1C=C(NN1)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C,Z4439011532,Z4439011532,437.92,93.0,40,10,1169103-Y40-01,I07,No Inhibition,No Inhibition,8.968581876973786,15.438936230234575
COC(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C,Z4438424286,Z4438424286,449.92,95.75,40,10,1169103-Y40-01,J07,No Inhibition,No Inhibition,No Inhibition,No Inhibition
CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=C(ON1)C(C)(C)C)C=2C=CC=NC2,Z4439011607,Z4439011607,384.47,93.92,40,10,1169103-Y40-01,K07,28.942082968303424,28.400654310536353,81.08409894562797,82.25401075869277
CSC=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(Cl)=CC2)C=3C=CC=NC3)C(=O)C=C,Z4438424281,Z4438424281,437.94,90.57,40,10,1169103-Y40-01,L07,9.39907006491984,9.394995275031405,54.67220872108016,56.33861762961379
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)=CC1,Z4439011543,Z4439011543,444.5,100.0,40,10,1169103-Y40-01,M07,No Inhibition,No Inhibition,No Inhibition,No Inhibition
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=NC2)C(C)C)C=3C=CC=NC3)=C(C)C1,Z4439011523,Z4439011523,444.52,89.29,40,10,1169103-Y40-01,N07,No Inhibition,No Inhibition,No Inhibition,No Inhibition
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)S(F)(F)(F)(F)F)C=3C=CC=NC3)=C(C)C1,Z4438424253,Z4438424253,527.5,100.0,40,10,1169103-Y40-01,O07,No Inhibition,No Inhibition,64.05357580226222,71.87482945576284
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)S(F)(F)(F)(F)F)C=3C=CC=NC3,Z4439011585,Z4439011585,525.53,90.99000000000001,40,10,1169103-Y40-01,P07,3.4050031524187716,5.979722003311423,77.83934340048384,89.04634314489093
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(N(C)C)=C(C)C2)C=3C=CC=NC3)=C(C)C1,Z4438424254,Z4438424254,458.55,100.0,40,10,1169103-Y40-01,A08,No Inhibition,No Inhibition,18.437882143530913,22.732762025931123
