SMILES,shipment_ID,catalog_ID,sample_MW,purity,volume(uL),concentration(mM),plate_ID,well,% Inhibition at 20 uM (N=1),% Inhibition at 20 uM (N=2),% Inhibition at 50 uM (N=1),% Inhibition at 50 uM (N=2),% Inhibition at 100 uM (N=1),% Inhibition at 100 uM (N=2)
CCCNC(=O)C(C)NC(=O)N(C)CC1=CSC(C)=N1,ALE-UNK-fca-9,Z900735246,298.4,95.48,40,10,1169103-Y40-01,K04,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
O=C(C=CC=CC=1C=CC=2OCOC2C1)N3CCCCC3,Piperine,Z104476830,285.33,100,40,10,1169103-Y40-01,L04,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
COC=1C=CC=2NC=C(CCNS(=O)(=O)C)C2C1,MAR-UNI-9ca-1,Z1316790959,268.33,100,40,10,1169103-Y40-01,M04,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
CC=1C=CN=C(NC(=O)CC=2C=CC=3C=CC=CC3C2)C1,LV-UNI-7ff-45,Z71390073,276.33,96.93,40,10,1169103-Y40-01,N04,No Inhibition,No Inhibition,,,12.32724119,9.739704207
CC(=O)N1CCN(CC1)S(=O)(=O)C2=CC=CS2,MAK-UNK-643-1,Z29501928,274.35,92.56,40,10,1169103-Y40-01,O04,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
CC(C)N(C)C(=O)C1CCN(CC1)C(=O)CCl,VIR-GIT-7b3-3,Z561717446,260.76,96.19,40,10,1169103-Y40-01,P04,1.703128496,-1.898356554,,,33.47429688,38.2129149
OC=1C=CC(Cl)=CC1C(=O)NC=2C=CC=CC2Cl,CHR-SOS-709-4,Z241957544,282.12,100,40,10,1169103-Y40-01,A05,7.872320858,6.417234267,,,21.83379133,20.13179645
ClCC(=O)N1CCC(CC1)C(=O)N2CCCCC2,VIR-GIT-7b3-2,Z291278798,272.77,97.83,40,10,1169103-Y40-01,B05,0.346926102,0.664886689,,,27.35771632,26.47806559
CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC=2C=CC=CC2)NC(=O)OCC3=CN=CS3)CC=4C=CC=CC4,RITONAVIR,Z1521553599,720.94,95,40,10,1169103-Y40-01,C05,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
CNS(=O)(=O)CC=1C=CC=2NC=C(CCN(C)C)C2C1.OC(=O)CCC(=O)O,TOM-OIS-cbf-2,Z1544404947,413.48,95,40,10,1169103-Y40-01,D05,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC=2C=CC=CC2)NC(=O)COC=3C(C)=CC=CC3C)CC=4C=CC=CC4,LOPINAVIR,Z2235801862,628.8,95,40,10,1169103-Y40-01,E05,No Inhibition,No Inhibition,,,57.05763822,63.61075357
COC=1C=CC=2NC=C(CCNC(=O)C)C2C1,JOH-MSK-35a-1,Z1191880499,232.27,95,40,10,1169103-Y40-01,F05,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
CC=1C=CC(=CC1)C2=CC(=NN2C=3C=CC(=CC3)S(=O)(=O)N)C(F)(F)F,GER-UNI-05c-1,Z1258938406,381.37,100,40,10,1169103-Y40-01,G05,1.788134282,2.543831552,,,33.45676343,35.37433153
CCC(=O)O[C@@H](OP(=O)(CCCCC=1C=CC=CC1)CC(=O)N2C[C@@H](C[C@H]2C(=O)O)C3CCCCC3)C(C)C,Z1515385090,Z3207130728,563.66,100,40,10,1169103-Y40-01,H05,2.274433099,4.067376201,,,15.96528206,15.37919931
CCC(=O)NCC[C@@H]1CCC=2C=CC=3OCCC3C12,JOH-MSK-ec6-2,Z2037281108,259.34,100,40,10,1169103-Y40-01,I05,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
O=C(CC1=CNC=2N=CC=CC12)NCC=3C=CC(C#N)=CN3,TRY-UNI-1fd-12,Z1767447079,291.3,100,40,10,1169103-Y40-01,J05,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
ClC=1C=CC(CNC(=O)CC2=CNC=3N=CC=CC23)=NC1,TRY-UNI-1fd-11,Z1593808911,300.74,100,40,10,1169103-Y40-01,K05,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
O=C(CC1=CNC=2N=CC=CC12)NC=3C=CC=C(C#N)C3,DAR-DIA-23a-1,Z1400784309,276.29,100,40,10,1169103-Y40-01,L05,No Inhibition,No Inhibition,,,12.57139807,15.20562133
Cl.CC(=O)N1CCN(CC(=O)NC=2C=CC=C(C2)S(=O)(=O)N)CC1,JAN-GHE-1d9-7,Z102844650,376.85,,40,10,1169103-Y40-01,M05,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
CCC=1C=CC=C(C)C1NC(=O)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C=3C=CC=NC3,Z4439011578,Z4439011578,467.48,100,40,10,1169103-Y40-01,N05,21.99163051,25.87585964,,,100,100
CCC(C)(C)C=1C=CC(=CC1)N(C(C(=O)NC=2C=CC(Br)=CC2)C=3C=CC=NC3)C(=O)C=C,Z4439011564,Z4439011564,506.43,83.38,40,10,1169103-Y40-01,O05,No Inhibition,No Inhibition,,,31.6458159,41.23043236
CSC=1C=CC(=CC1)N(C(C(=O)NC(C)(C)C)C=2C=CC=NC2)C(=O)C=C,Z4439011605,Z4439011605,383.5,100,40,10,1169103-Y40-01,P05,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition
COC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC(SC)=CC2)C=3C=CC=NC3)=C(C)C1,Z4438424250,Z4438424250,447.54,95.45,40,10,1169103-Y40-01,A06,No Inhibition,No Inhibition,,,18.83863864,19.04644876
CC(C)(C)NC(=O)C(N(C(=O)C=C)C=1C=CC(=CC1)S(F)(F)(F)(F)F)C=2C=CC=NC2,Z4439011611,Z4439011611,463.46,82.44,40,10,1169103-Y40-01,B06,5.125970937,7.956594124,,,56.16009934,57.9157147
ClC=1C=CC(NC(=O)C(N(C(=O)C=C)C=2C=CC=3N=CSC3C2)C=4C=CC=NC4)=CC1,Z4438424283,Z4438424283,448.92,95.87,40,10,1169103-Y40-01,C06,3.006029467,2.134875839,,,13.96804189,15.38348104
