SMILES,IC50 (µM),IC50 CI (Lower) (µM),IC50 CI (Upper) (µM),Hill slope,R squared,Concentration (µM),Inhibition (%),CID
O=C(CCl)Nc1cccc(N2CCCC2=O)c1,72,59.6,86.9,1.26,0.943,24.8,20.7,AAR-POS-0daf6b7e-11
O=C(CCl)Nc1cccc(N2CCCC2=O)c1,72,59.6,86.9,1.26,0.943,49.5,39.8,AAR-POS-0daf6b7e-11
O=C(CCl)Nc1cccc(N2CCCC2=O)c1,72,59.6,86.9,1.26,0.943,49.5,43.9,AAR-POS-0daf6b7e-11
O=C(CCl)Nc1cccc(N2CCCC2=O)c1,72,59.6,86.9,1.26,0.943,99.0,57.4,AAR-POS-0daf6b7e-11
O=C(CCl)Nc1cccc(N2CCCC2=O)c1,72,59.6,86.9,1.26,0.943,99.0,57.6,AAR-POS-0daf6b7e-11
Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,55.2,51.7,59.0,1.06,0.9940000000000001,1.24,-2.61,TRY-UNI-714a760b-22
Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,55.2,51.7,59.0,1.06,0.9940000000000001,0.772,-0.836,TRY-UNI-714a760b-22
Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,55.2,51.7,59.0,1.06,0.9940000000000001,0.772,-0.344,TRY-UNI-714a760b-22
Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,55.2,51.7,59.0,1.06,0.9940000000000001,1.24,2.21,TRY-UNI-714a760b-22
Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,55.2,51.7,59.0,1.06,0.9940000000000001,3.71,5.46,TRY-UNI-714a760b-22
Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,55.2,51.7,59.0,1.06,0.9940000000000001,3.71,7.03,TRY-UNI-714a760b-22
Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,55.2,51.7,59.0,1.06,0.9940000000000001,6.19,7.62,TRY-UNI-714a760b-22
Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,55.2,51.7,59.0,1.06,0.9940000000000001,6.19,8.31,TRY-UNI-714a760b-22
Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,55.2,51.7,59.0,1.06,0.9940000000000001,12.4,16.0,TRY-UNI-714a760b-22
Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,55.2,51.7,59.0,1.06,0.9940000000000001,12.4,18.5,TRY-UNI-714a760b-22
Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,55.2,51.7,59.0,1.06,0.9940000000000001,24.8,29.8,TRY-UNI-714a760b-22
Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,55.2,51.7,59.0,1.06,0.9940000000000001,24.8,31.5,TRY-UNI-714a760b-22
Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,55.2,51.7,59.0,1.06,0.9940000000000001,49.5,45.7,TRY-UNI-714a760b-22
Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,55.2,51.7,59.0,1.06,0.9940000000000001,49.5,49.9,TRY-UNI-714a760b-22
Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,55.2,51.7,59.0,1.06,0.9940000000000001,99.0,63.5,TRY-UNI-714a760b-22
Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,55.2,51.7,59.0,1.06,0.9940000000000001,99.0,64.4,TRY-UNI-714a760b-22
Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,27.2,23.8,31.2,1.14,0.978,1.24,-6.54,TRY-UNI-714a760b-18
Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,27.2,23.8,31.2,1.14,0.978,1.24,-2.12,TRY-UNI-714a760b-18
Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,27.2,23.8,31.2,1.14,0.978,0.772,3.79,TRY-UNI-714a760b-18
Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,27.2,23.8,31.2,1.14,0.978,0.772,3.98,TRY-UNI-714a760b-18
Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,27.2,23.8,31.2,1.14,0.978,6.19,9.39,TRY-UNI-714a760b-18
