SMILES,IC50 (µM),IC50 CI (Lower) (µM),IC50 CI (Upper) (µM),Hill slope,R squared,Concentration (µM),Inhibition (%),CID
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,97.8,66.0,145.0,1.36,0.813,24.8,8.92,LON-WEI-b8d98729-39
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,97.8,66.0,145.0,1.36,0.813,12.4,11.3,LON-WEI-b8d98729-39
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,97.8,66.0,145.0,1.36,0.813,24.8,12.5,LON-WEI-b8d98729-39
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,97.8,66.0,145.0,1.36,0.813,49.5,32.9,LON-WEI-b8d98729-39
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,97.8,66.0,145.0,1.36,0.813,49.5,38.7,LON-WEI-b8d98729-39
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,97.8,66.0,145.0,1.36,0.813,99.0,42.8,LON-WEI-b8d98729-39
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,97.8,66.0,145.0,1.36,0.813,99.0,49.6,LON-WEI-b8d98729-39
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,67.8,48.5,94.8,1.03,0.879,1.24,-13.3,LON-WEI-b8d98729-17
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,67.8,48.5,94.8,1.03,0.879,1.24,-7.53,LON-WEI-b8d98729-17
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,67.8,48.5,94.8,1.03,0.879,6.19,-0.24600000000000002,LON-WEI-b8d98729-17
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,67.8,48.5,94.8,1.03,0.879,6.19,0.0492,LON-WEI-b8d98729-17
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,67.8,48.5,94.8,1.03,0.879,0.772,0.344,LON-WEI-b8d98729-17
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,67.8,48.5,94.8,1.03,0.879,3.71,2.8,LON-WEI-b8d98729-17
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,67.8,48.5,94.8,1.03,0.879,3.71,3.49,LON-WEI-b8d98729-17
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,67.8,48.5,94.8,1.03,0.879,0.772,4.08,LON-WEI-b8d98729-17
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,67.8,48.5,94.8,1.03,0.879,12.4,16.2,LON-WEI-b8d98729-17
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,67.8,48.5,94.8,1.03,0.879,12.4,20.9,LON-WEI-b8d98729-17
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,67.8,48.5,94.8,1.03,0.879,24.8,27.3,LON-WEI-b8d98729-17
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,67.8,48.5,94.8,1.03,0.879,24.8,28.6,LON-WEI-b8d98729-17
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,67.8,48.5,94.8,1.03,0.879,99.0,40.5,LON-WEI-b8d98729-17
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,67.8,48.5,94.8,1.03,0.879,49.5,48.4,LON-WEI-b8d98729-17
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,67.8,48.5,94.8,1.03,0.879,49.5,48.4,LON-WEI-b8d98729-17
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,67.8,48.5,94.8,1.03,0.879,99.0,65.7,LON-WEI-b8d98729-17
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,63.3,53.0,75.5,1.24,0.953,1.24,-7.82,LON-WEI-b8d98729-38
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,63.3,53.0,75.5,1.24,0.953,1.24,-6.84,LON-WEI-b8d98729-38
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,63.3,53.0,75.5,1.24,0.953,6.19,-4.67,LON-WEI-b8d98729-38
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,63.3,53.0,75.5,1.24,0.953,6.19,-2.8,LON-WEI-b8d98729-38
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,63.3,53.0,75.5,1.24,0.953,3.71,-0.344,LON-WEI-b8d98729-38
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,63.3,53.0,75.5,1.24,0.953,0.772,2.12,LON-WEI-b8d98729-38
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,63.3,53.0,75.5,1.24,0.953,3.71,2.71,LON-WEI-b8d98729-38
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,63.3,53.0,75.5,1.24,0.953,0.772,4.38,LON-WEI-b8d98729-38
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,63.3,53.0,75.5,1.24,0.953,12.4,14.9,LON-WEI-b8d98729-38
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,63.3,53.0,75.5,1.24,0.953,12.4,15.0,LON-WEI-b8d98729-38
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,63.3,53.0,75.5,1.24,0.953,24.8,26.0,LON-WEI-b8d98729-38
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,63.3,53.0,75.5,1.24,0.953,24.8,27.8,LON-WEI-b8d98729-38
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,63.3,53.0,75.5,1.24,0.953,49.5,41.1,LON-WEI-b8d98729-38
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,63.3,53.0,75.5,1.24,0.953,49.5,45.5,LON-WEI-b8d98729-38
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,63.3,53.0,75.5,1.24,0.953,99.0,59.2,LON-WEI-b8d98729-38
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,63.3,53.0,75.5,1.24,0.953,99.0,63.1,LON-WEI-b8d98729-38
COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,1.75,1.62,1.9,1.39,0.991,0.772,28.6,MAT-POS-916a2c5a-1
COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,1.75,1.62,1.9,1.39,0.991,0.772,28.8,MAT-POS-916a2c5a-1
COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,1.75,1.62,1.9,1.39,0.991,1.24,31.6,MAT-POS-916a2c5a-1
COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,1.75,1.62,1.9,1.39,0.991,1.24,36.5,MAT-POS-916a2c5a-1
COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,1.75,1.62,1.9,1.39,0.991,3.71,73.3,MAT-POS-916a2c5a-1
COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,1.75,1.62,1.9,1.39,0.991,3.71,73.5,MAT-POS-916a2c5a-1
COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,1.75,1.62,1.9,1.39,0.991,6.19,85.5,MAT-POS-916a2c5a-1
COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,1.75,1.62,1.9,1.39,0.991,6.19,86.5,MAT-POS-916a2c5a-1
COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,1.75,1.62,1.9,1.39,0.991,24.8,96.0,MAT-POS-916a2c5a-1
COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,1.75,1.62,1.9,1.39,0.991,12.4,96.4,MAT-POS-916a2c5a-1
COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,1.75,1.62,1.9,1.39,0.991,12.4,97.0,MAT-POS-916a2c5a-1
COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,1.75,1.62,1.9,1.39,0.991,49.5,98.4,MAT-POS-916a2c5a-1
COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,1.75,1.62,1.9,1.39,0.991,99.0,98.7,MAT-POS-916a2c5a-1
COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,1.75,1.62,1.9,1.39,0.991,24.8,99.0,MAT-POS-916a2c5a-1
COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,1.75,1.62,1.9,1.39,0.991,49.5,99.0,MAT-POS-916a2c5a-1
COc1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1OC,1.75,1.62,1.9,1.39,0.991,99.0,99.4,MAT-POS-916a2c5a-1
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,46.4,38.3,56.2,1.14,0.951,1.24,-7.62,LON-WEI-b8d98729-27
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,46.4,38.3,56.2,1.14,0.951,6.19,-3.98,LON-WEI-b8d98729-27
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,46.4,38.3,56.2,1.14,0.951,1.24,-3.69,LON-WEI-b8d98729-27
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,46.4,38.3,56.2,1.14,0.951,0.772,-1.13,LON-WEI-b8d98729-27
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,46.4,38.3,56.2,1.14,0.951,6.19,3.59,LON-WEI-b8d98729-27
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,46.4,38.3,56.2,1.14,0.951,0.772,5.46,LON-WEI-b8d98729-27
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,46.4,38.3,56.2,1.14,0.951,3.71,7.53,LON-WEI-b8d98729-27
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,46.4,38.3,56.2,1.14,0.951,3.71,8.9,LON-WEI-b8d98729-27
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,46.4,38.3,56.2,1.14,0.951,12.4,23.2,LON-WEI-b8d98729-27
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,46.4,38.3,56.2,1.14,0.951,12.4,24.0,LON-WEI-b8d98729-27
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,46.4,38.3,56.2,1.14,0.951,24.8,35.2,LON-WEI-b8d98729-27
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,46.4,38.3,56.2,1.14,0.951,24.8,35.4,LON-WEI-b8d98729-27
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,46.4,38.3,56.2,1.14,0.951,49.5,45.2,LON-WEI-b8d98729-27
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,46.4,38.3,56.2,1.14,0.951,49.5,55.4,LON-WEI-b8d98729-27
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,46.4,38.3,56.2,1.14,0.951,99.0,66.8,LON-WEI-b8d98729-27
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,46.4,38.3,56.2,1.14,0.951,99.0,71.8,LON-WEI-b8d98729-27
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,7.02,6.57,7.51,1.03,0.995,1.24,10.6,MAT-POS-916a2c5a-2
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,7.02,6.57,7.51,1.03,0.995,1.24,10.8,MAT-POS-916a2c5a-2
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,7.02,6.57,7.51,1.03,0.995,0.772,11.7,MAT-POS-916a2c5a-2
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,7.02,6.57,7.51,1.03,0.995,0.772,12.3,MAT-POS-916a2c5a-2
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,7.02,6.57,7.51,1.03,0.995,3.71,35.5,MAT-POS-916a2c5a-2
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,7.02,6.57,7.51,1.03,0.995,3.71,35.9,MAT-POS-916a2c5a-2
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,7.02,6.57,7.51,1.03,0.995,6.19,44.7,MAT-POS-916a2c5a-2
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,7.02,6.57,7.51,1.03,0.995,6.19,46.9,MAT-POS-916a2c5a-2
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,7.02,6.57,7.51,1.03,0.995,12.4,63.6,MAT-POS-916a2c5a-2
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,7.02,6.57,7.51,1.03,0.995,12.4,67.7,MAT-POS-916a2c5a-2
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,7.02,6.57,7.51,1.03,0.995,24.8,77.7,MAT-POS-916a2c5a-2
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,7.02,6.57,7.51,1.03,0.995,24.8,78.1,MAT-POS-916a2c5a-2
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,7.02,6.57,7.51,1.03,0.995,49.5,87.0,MAT-POS-916a2c5a-2
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,7.02,6.57,7.51,1.03,0.995,49.5,87.8,MAT-POS-916a2c5a-2
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,7.02,6.57,7.51,1.03,0.995,99.0,92.9,MAT-POS-916a2c5a-2
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,7.02,6.57,7.51,1.03,0.995,99.0,94.5,MAT-POS-916a2c5a-2
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,2.07,1.93,2.23,1.36,0.9940000000000001,0.772,22.9,AAR-POS-d2a4d1df-22
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,2.07,1.93,2.23,1.36,0.9940000000000001,0.772,24.8,AAR-POS-d2a4d1df-22
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,2.07,1.93,2.23,1.36,0.9940000000000001,1.24,31.5,AAR-POS-d2a4d1df-22
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,2.07,1.93,2.23,1.36,0.9940000000000001,1.24,31.8,AAR-POS-d2a4d1df-22
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,2.07,1.93,2.23,1.36,0.9940000000000001,3.71,65.7,AAR-POS-d2a4d1df-22
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,2.07,1.93,2.23,1.36,0.9940000000000001,3.71,66.3,AAR-POS-d2a4d1df-22
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,2.07,1.93,2.23,1.36,0.9940000000000001,6.19,82.2,AAR-POS-d2a4d1df-22
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,2.07,1.93,2.23,1.36,0.9940000000000001,6.19,82.9,AAR-POS-d2a4d1df-22
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,2.07,1.93,2.23,1.36,0.9940000000000001,12.4,95.7,AAR-POS-d2a4d1df-22
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,2.07,1.93,2.23,1.36,0.9940000000000001,12.4,95.7,AAR-POS-d2a4d1df-22
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,2.07,1.93,2.23,1.36,0.9940000000000001,24.8,97.0,AAR-POS-d2a4d1df-22
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,2.07,1.93,2.23,1.36,0.9940000000000001,49.5,97.1,AAR-POS-d2a4d1df-22
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,2.07,1.93,2.23,1.36,0.9940000000000001,49.5,97.1,AAR-POS-d2a4d1df-22
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,2.07,1.93,2.23,1.36,0.9940000000000001,99.0,98.3,AAR-POS-d2a4d1df-22
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,2.07,1.93,2.23,1.36,0.9940000000000001,24.8,99.2,AAR-POS-d2a4d1df-22
O=C(CCl)N1CCN(S(=O)(=O)c2cccs2)CC1,2.07,1.93,2.23,1.36,0.9940000000000001,99.0,100.0,AAR-POS-d2a4d1df-22
O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,4.1,3.75,4.47,1.32,0.992,0.772,13.2,AAR-POS-d2a4d1df-23
O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,4.1,3.75,4.47,1.32,0.992,0.772,13.3,AAR-POS-d2a4d1df-23
O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,4.1,3.75,4.47,1.32,0.992,1.24,17.0,AAR-POS-d2a4d1df-23
O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,4.1,3.75,4.47,1.32,0.992,1.24,21.3,AAR-POS-d2a4d1df-23
O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,4.1,3.75,4.47,1.32,0.992,3.71,42.3,AAR-POS-d2a4d1df-23
O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,4.1,3.75,4.47,1.32,0.992,3.71,46.3,AAR-POS-d2a4d1df-23
O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,4.1,3.75,4.47,1.32,0.992,6.19,59.3,AAR-POS-d2a4d1df-23
O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,4.1,3.75,4.47,1.32,0.992,6.19,60.6,AAR-POS-d2a4d1df-23
O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,4.1,3.75,4.47,1.32,0.992,12.4,84.6,AAR-POS-d2a4d1df-23
O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,4.1,3.75,4.47,1.32,0.992,12.4,84.7,AAR-POS-d2a4d1df-23
O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,4.1,3.75,4.47,1.32,0.992,24.8,93.8,AAR-POS-d2a4d1df-23
O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,4.1,3.75,4.47,1.32,0.992,49.5,95.5,AAR-POS-d2a4d1df-23
O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,4.1,3.75,4.47,1.32,0.992,24.8,96.4,AAR-POS-d2a4d1df-23
O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,4.1,3.75,4.47,1.32,0.992,49.5,97.3,AAR-POS-d2a4d1df-23
O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,4.1,3.75,4.47,1.32,0.992,99.0,99.3,AAR-POS-d2a4d1df-23
O=C(CCl)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,4.1,3.75,4.47,1.32,0.992,99.0,100.0,AAR-POS-d2a4d1df-23
O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,3.43,3.12,3.78,1.43,0.99,1.24,11.0,AAR-POS-d2a4d1df-32
O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,3.43,3.12,3.78,1.43,0.99,0.772,16.3,AAR-POS-d2a4d1df-32
O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,3.43,3.12,3.78,1.43,0.99,0.772,17.6,AAR-POS-d2a4d1df-32
O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,3.43,3.12,3.78,1.43,0.99,1.24,18.8,AAR-POS-d2a4d1df-32
O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,3.43,3.12,3.78,1.43,0.99,3.71,51.5,AAR-POS-d2a4d1df-32
O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,3.43,3.12,3.78,1.43,0.99,3.71,53.8,AAR-POS-d2a4d1df-32
O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,3.43,3.12,3.78,1.43,0.99,6.19,68.2,AAR-POS-d2a4d1df-32
O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,3.43,3.12,3.78,1.43,0.99,6.19,68.8,AAR-POS-d2a4d1df-32
O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,3.43,3.12,3.78,1.43,0.99,12.4,88.4,AAR-POS-d2a4d1df-32
O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,3.43,3.12,3.78,1.43,0.99,12.4,89.0,AAR-POS-d2a4d1df-32
O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,3.43,3.12,3.78,1.43,0.99,24.8,95.3,AAR-POS-d2a4d1df-32
O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,3.43,3.12,3.78,1.43,0.99,99.0,96.4,AAR-POS-d2a4d1df-32
O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,3.43,3.12,3.78,1.43,0.99,24.8,96.7,AAR-POS-d2a4d1df-32
O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,3.43,3.12,3.78,1.43,0.99,49.5,97.1,AAR-POS-d2a4d1df-32
O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,3.43,3.12,3.78,1.43,0.99,49.5,97.2,AAR-POS-d2a4d1df-32
O=C(CCl)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,3.43,3.12,3.78,1.43,0.99,99.0,98.4,AAR-POS-d2a4d1df-32
N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,28.2,25.6,31.0,1.08,0.9890000000000001,0.772,-4.57,DAR-DIA-23aa0b97-19
N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,28.2,25.6,31.0,1.08,0.9890000000000001,1.24,0.639,DAR-DIA-23aa0b97-19
N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,28.2,25.6,31.0,1.08,0.9890000000000001,0.772,3.39,DAR-DIA-23aa0b97-19
N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,28.2,25.6,31.0,1.08,0.9890000000000001,1.24,5.36,DAR-DIA-23aa0b97-19
N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,28.2,25.6,31.0,1.08,0.9890000000000001,3.71,6.64,DAR-DIA-23aa0b97-19
N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,28.2,25.6,31.0,1.08,0.9890000000000001,3.71,7.33,DAR-DIA-23aa0b97-19
N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,28.2,25.6,31.0,1.08,0.9890000000000001,6.19,13.5,DAR-DIA-23aa0b97-19
N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,28.2,25.6,31.0,1.08,0.9890000000000001,6.19,15.1,DAR-DIA-23aa0b97-19
N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,28.2,25.6,31.0,1.08,0.9890000000000001,12.4,32.1,DAR-DIA-23aa0b97-19
N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,28.2,25.6,31.0,1.08,0.9890000000000001,12.4,33.8,DAR-DIA-23aa0b97-19
N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,28.2,25.6,31.0,1.08,0.9890000000000001,24.8,46.3,DAR-DIA-23aa0b97-19
N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,28.2,25.6,31.0,1.08,0.9890000000000001,24.8,49.1,DAR-DIA-23aa0b97-19
N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,28.2,25.6,31.0,1.08,0.9890000000000001,49.5,63.9,DAR-DIA-23aa0b97-19
N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,28.2,25.6,31.0,1.08,0.9890000000000001,49.5,64.5,DAR-DIA-23aa0b97-19
N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,28.2,25.6,31.0,1.08,0.9890000000000001,99.0,76.6,DAR-DIA-23aa0b97-19
N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,28.2,25.6,31.0,1.08,0.9890000000000001,99.0,78.5,DAR-DIA-23aa0b97-19
O=C(Cc1cncc2ccccc12)Nc1ccccc1,61.3,55.6,67.6,1.11,0.987,1.24,-3.39,DAR-DIA-23aa0b97-20
O=C(Cc1cncc2ccccc12)Nc1ccccc1,61.3,55.6,67.6,1.11,0.987,0.772,-1.92,DAR-DIA-23aa0b97-20
O=C(Cc1cncc2ccccc12)Nc1ccccc1,61.3,55.6,67.6,1.11,0.987,3.71,-1.92,DAR-DIA-23aa0b97-20
O=C(Cc1cncc2ccccc12)Nc1ccccc1,61.3,55.6,67.6,1.11,0.987,1.24,-0.344,DAR-DIA-23aa0b97-20
O=C(Cc1cncc2ccccc12)Nc1ccccc1,61.3,55.6,67.6,1.11,0.987,0.772,1.33,DAR-DIA-23aa0b97-20
O=C(Cc1cncc2ccccc12)Nc1ccccc1,61.3,55.6,67.6,1.11,0.987,3.71,3.39,DAR-DIA-23aa0b97-20
