SMILES,AVG % Inhibition at 20 uM,STD DEV % Inhibition at 20 uM,N at 20 uM,AVG % Inhibition at 50 uM,STD DEV % Inhibition at 50 uM,N at 50 uM,CID
COc1ccc2nc(C)cc(C(=O)NN)c2c1,,,,17.9,1.08,2,MAT-POS-4e253971-3
C=CC(=O)N1CCN(Cc2cc(Cl)cc3ccccc23)CC1,,,,27.0,1.8,2,MAT-POS-4e253971-2
N#CCN1CCN(Cc2cc(Cl)cc3ccccc23)CC1,,,,-1.08,0.303,2,MAT-POS-4e253971-1
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)Nc1cccc(F)c1C)c1cccnc1,,,,-20.7,9.17,2,LON-WEI-d1c9908a-9
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,,,,8.55,0.38299999999999995,2,LON-WEI-d1c9908a-8
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,,,,28.7,1.17,2,LON-WEI-d1c9908a-7
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,,,,49.0,2.56,2,LON-WEI-d1c9908a-6
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,,,,39.3,2.57,2,LON-WEI-d1c9908a-5
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,,,,1.72,1.59,2,LON-WEI-d1c9908a-4
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,,,,46.5,0.249,2,LON-WEI-d1c9908a-3
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,,,,9.66,0.8490000000000001,2,LON-WEI-d1c9908a-2
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)Nc1cccc(F)c1C)c1cccnc1,,,,19.6,1.02,2,LON-WEI-d1c9908a-13
C=CC(=O)N(c1ccc(C(C)(C)CC)cc1)C(C(=O)Nc1ccccc1Br)c1cccnc1,,,,20.7,0.213,2,LON-WEI-d1c9908a-12
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)Nc1ccc(Br)cc1)c1cccnc1,,,,42.5,4.38,2,LON-WEI-d1c9908a-11
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,,,,10.2,0.324,2,LON-WEI-d1c9908a-10
C=CC(=O)N(c1ccc(C2(C)CC2)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,,,,25.8,0.0492,2,LON-WEI-d1c9908a-1
CCCSCC(=O)C(C#N)C(=O)Nc1ccccc1F,,,,9.99,1.01,2,JOH-UNI-c7afdb96-9
Cc1cccc(NC(=O)C(C#N)C(=O)C2CC2)c1,,,,24.5,1.88,2,JOH-UNI-c7afdb96-8
Cc1cccc(NC(=O)C(C#N)C(=O)C2CCC2)c1,,,,16.7,1.8,2,JOH-UNI-c7afdb96-7
Cc1cccc(NC(=O)C(C#N)C(=O)C2CCCC2)c1,,,,8.05,1.42,2,JOH-UNI-c7afdb96-6
N#CC(C(=O)Nc1cccc(Cl)c1)C(=O)c1cccs1,,,,18.8,4.8,2,JOH-UNI-c7afdb96-5
N#C/C(C(=O)Nc1ccc(F)cc1)=C(/O)c1ccc(Cl)cc1,,,,7.43,2.3,2,JOH-UNI-c7afdb96-2
CCC(CC)C(=O)C(C#N)C(=O)Nc1ccc(F)cc1,,,,13.7,1.74,2,JOH-UNI-c7afdb96-14
Cc1cccc(NC(=O)C(C#N)C(=O)CC(C)C)c1,,,,26.4,0.7829999999999999,2,JOH-UNI-c7afdb96-13
CC(C)(C)CC(=O)C(C#N)C(=O)Nc1ccccc1,,,,9.17,0.491,2,JOH-UNI-c7afdb96-12
Cc1ccc(NC(=O)C(C#N)C(=O)CC(C)C)cc1,,,,25.8,0.292,2,JOH-UNI-c7afdb96-11
CCCSCC(=O)C(C#N)C(=O)Nc1ccc(F)cc1F,,,,4.38,2.03,2,JOH-UNI-c7afdb96-10
C[C@@H]1CS/C(=N\NC(=O)C(=O)C(NC(=O)C2CCCCCC2)C2CCOCC2)N1C,,,,16.8,3.67,2,AAR-POS-dddeddbf-5
CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1,,,,-32.6,3.36,2,AAR-POS-dddeddbf-4
Nc1ncc(S(=O)(=O)c2ccc(Cl)cc2)c(N)n1,,,,15.7,0.6459999999999999,2,AAR-POS-dddeddbf-3
Cc1cc(S(=O)(=O)c2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c(Cl)cc1Cl,,,,10.7,10.7,2,AAR-POS-dddeddbf-2
Cc1ccc2nc(-c3ccc(N)cc3)sc2c1S(=O)(=O)O,,,,18.7,3.38,2,AAR-POS-dddeddbf-1
Cc1cc(Cl)cc(NC(=O)Nc2cccnc2)c1,,,,18.0,0.287,2,WAR-XCH-eb7b662f-5
CC(C)N(C)CC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,,,,2.5,1.96,2,WAR-XCH-b72a1bbc-48
Cc1ccncc1-c1ccc(S(N)(=O)=O)cc1,,,,3.16,1.64,2,WAR-XCH-b72a1bbc-4
CCSCC1CCN(c2ccc(S(N)(=O)=O)cc2)CC1,,,,6.96,1.63,2,WAR-XCH-b72a1bbc-39
