shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name
JAG-UCB-ef2c0e8e-2,Z27788997,C11H11BrN2O2,Racemic or presumed racemic or meso,283.121,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,A01,BrC=1C=CC=C(NC(=O)C2CCC(=O)N2)C1,N-(3-bromophenyl)-5-oxopyrrolidine-2-carboxamide
JAG-UCB-ef2c0e8e-2,Z27788997,C11H11BrN2O2,Racemic or presumed racemic or meso,283.121,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,B01,BrC=1C=CC=C(NC(=O)C2CCC(=O)N2)C1,N-(3-bromophenyl)-5-oxopyrrolidine-2-carboxamide
Z4509080688,Z4509080688,C26H23F4N3O2,Racemic or presumed racemic or meso,485.473,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,C01,CC=1C=NC=C(C1)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C(=O)NCCC=3C=CC=C(F)C3,N-({[2-(3-fluorophenyl)ethyl]carbamoyl}(5-methylpyridin-3-yl)methyl)-N-[4-(trifluoromethyl)phenyl]prop-2-enamide
Z4509080688,Z4509080688,C26H23F4N3O2,Racemic or presumed racemic or meso,485.473,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,D01,CC=1C=NC=C(C1)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C(=O)NCCC=3C=CC=C(F)C3,N-({[2-(3-fluorophenyl)ethyl]carbamoyl}(5-methylpyridin-3-yl)methyl)-N-[4-(trifluoromethyl)phenyl]prop-2-enamide
MAT-POS-590ac91e-58,Z1171323384,C20H18ClN3O4S,Achiral,431.892,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,E01,ClC=1C=CC=2NC(=O)C=C(C(=O)N3CCN(CC3)S(=O)(=O)C=4C=CC=CC4)C2C1,"4-[4-(benzenesulfonyl)piperazine-1-carbonyl]-6-chloro-1,2-dihydroquinolin-2-one"
MAT-POS-590ac91e-58,Z1171323384,C20H18ClN3O4S,Achiral,431.892,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,F01,ClC=1C=CC=2NC(=O)C=C(C(=O)N3CCN(CC3)S(=O)(=O)C=4C=CC=CC4)C2C1,"4-[4-(benzenesulfonyl)piperazine-1-carbonyl]-6-chloro-1,2-dihydroquinolin-2-one"
MAT-POS-590ac91e-33,Z1239789614,C20H17FN2O4,Racemic or presumed racemic or meso,368.358,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,G01,CN(CC1COC=2C=CC=CC2O1)C(=O)C3=CC(=O)NC=4C=CC(F)=CC34,"N-[(2,3-dihydro-1,4-benzodioxin-2-yl)methyl]-6-fluoro-N-methyl-2-oxo-1,2-dihydroquinoline-4-carboxamide"
MAT-POS-590ac91e-33,Z1239789614,C20H17FN2O4,Racemic or presumed racemic or meso,368.358,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,H01,CN(CC1COC=2C=CC=CC2O1)C(=O)C3=CC(=O)NC=4C=CC(F)=CC34,"N-[(2,3-dihydro-1,4-benzodioxin-2-yl)methyl]-6-fluoro-N-methyl-2-oxo-1,2-dihydroquinoline-4-carboxamide"
MAT-POS-590ac91e-43,Z1172801512,C20H19ClN2O4,Achiral,386.828,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,I01,COC=1C=CC=CC1OCCN(C)C(=O)C2=CC(=O)NC=3C=CC(Cl)=CC23,"6-chloro-N-[2-(2-methoxyphenoxy)ethyl]-N-methyl-2-oxo-1,2-dihydroquinoline-4-carboxamide"
MAT-POS-590ac91e-43,Z1172801512,C20H19ClN2O4,Achiral,386.828,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,J01,COC=1C=CC=CC1OCCN(C)C(=O)C2=CC(=O)NC=3C=CC(Cl)=CC23,"6-chloro-N-[2-(2-methoxyphenoxy)ethyl]-N-methyl-2-oxo-1,2-dihydroquinoline-4-carboxamide"
JAN-GHE-5a013bed-3,Z1079600034,C16H12ClN3O2,Achiral,313.738,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,K01,ClC=1C=CC=C(CC(=O)NN2C=NC=3C=CC=CC3C2=O)C1,"2-(3-chlorophenyl)-N-(4-oxo-3,4-dihydroquinazolin-3-yl)acetamide"
JAN-GHE-5a013bed-3,Z1079600034,C16H12ClN3O2,Achiral,313.738,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,L01,ClC=1C=CC=C(CC(=O)NN2C=NC=3C=CC=CC3C2=O)C1,"2-(3-chlorophenyl)-N-(4-oxo-3,4-dihydroquinazolin-3-yl)acetamide"
MAT-POS-590ac91e-25,Z4099035768,C14H18N2O,Racemic or presumed racemic or meso,230.305,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,M01,CC=1C=CN=CC1NC(=O)CC23CC3CCC2,2-{bicyclo[3.1.0]hexan-1-yl}-N-(4-methylpyridin-3-yl)acetamide
MAT-POS-590ac91e-25,Z4099035768,C14H18N2O,Racemic or presumed racemic or meso,230.305,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,N01,CC=1C=CN=CC1NC(=O)CC23CC3CCC2,2-{bicyclo[3.1.0]hexan-1-yl}-N-(4-methylpyridin-3-yl)acetamide
ALP-POS-95b75b4d-4,Z2347827406,C17H18N2O,Achiral,266.337,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,O01,CC=1C=CN=CC1NC(=O)CC=2C=CC=C(C2)C3CC3,2-(3-cyclopropylphenyl)-N-(4-methylpyridin-3-yl)acetamide
ALP-POS-95b75b4d-4,Z2347827406,C17H18N2O,Achiral,266.337,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,P01,CC=1C=CN=CC1NC(=O)CC=2C=CC=C(C2)C3CC3,2-(3-cyclopropylphenyl)-N-(4-methylpyridin-3-yl)acetamide
JAG-UCB-ef2c0e8e-2,Z27788997,C11H11BrN2O2,Racemic or presumed racemic or meso,283.121,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,A02,BrC=1C=CC=C(NC(=O)C2CCC(=O)N2)C1,N-(3-bromophenyl)-5-oxopyrrolidine-2-carboxamide
JAG-UCB-ef2c0e8e-2,Z27788997,C11H11BrN2O2,Racemic or presumed racemic or meso,283.121,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,B02,BrC=1C=CC=C(NC(=O)C2CCC(=O)N2)C1,N-(3-bromophenyl)-5-oxopyrrolidine-2-carboxamide
Z4509080688,Z4509080688,C26H23F4N3O2,Racemic or presumed racemic or meso,485.473,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,C02,CC=1C=NC=C(C1)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C(=O)NCCC=3C=CC=C(F)C3,N-({[2-(3-fluorophenyl)ethyl]carbamoyl}(5-methylpyridin-3-yl)methyl)-N-[4-(trifluoromethyl)phenyl]prop-2-enamide
Z4509080688,Z4509080688,C26H23F4N3O2,Racemic or presumed racemic or meso,485.473,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,D02,CC=1C=NC=C(C1)C(N(C(=O)C=C)C=2C=CC(=CC2)C(F)(F)F)C(=O)NCCC=3C=CC=C(F)C3,N-({[2-(3-fluorophenyl)ethyl]carbamoyl}(5-methylpyridin-3-yl)methyl)-N-[4-(trifluoromethyl)phenyl]prop-2-enamide
MAT-POS-590ac91e-58,Z1171323384,C20H18ClN3O4S,Achiral,431.892,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,E02,ClC=1C=CC=2NC(=O)C=C(C(=O)N3CCN(CC3)S(=O)(=O)C=4C=CC=CC4)C2C1,"4-[4-(benzenesulfonyl)piperazine-1-carbonyl]-6-chloro-1,2-dihydroquinolin-2-one"
MAT-POS-590ac91e-58,Z1171323384,C20H18ClN3O4S,Achiral,431.892,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,F02,ClC=1C=CC=2NC(=O)C=C(C(=O)N3CCN(CC3)S(=O)(=O)C=4C=CC=CC4)C2C1,"4-[4-(benzenesulfonyl)piperazine-1-carbonyl]-6-chloro-1,2-dihydroquinolin-2-one"
MAT-POS-590ac91e-33,Z1239789614,C20H17FN2O4,Racemic or presumed racemic or meso,368.358,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,G02,CN(CC1COC=2C=CC=CC2O1)C(=O)C3=CC(=O)NC=4C=CC(F)=CC34,"N-[(2,3-dihydro-1,4-benzodioxin-2-yl)methyl]-6-fluoro-N-methyl-2-oxo-1,2-dihydroquinoline-4-carboxamide"
MAT-POS-590ac91e-33,Z1239789614,C20H17FN2O4,Racemic or presumed racemic or meso,368.358,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,H02,CN(CC1COC=2C=CC=CC2O1)C(=O)C3=CC(=O)NC=4C=CC(F)=CC34,"N-[(2,3-dihydro-1,4-benzodioxin-2-yl)methyl]-6-fluoro-N-methyl-2-oxo-1,2-dihydroquinoline-4-carboxamide"
MAT-POS-590ac91e-43,Z1172801512,C20H19ClN2O4,Achiral,386.828,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,I02,COC=1C=CC=CC1OCCN(C)C(=O)C2=CC(=O)NC=3C=CC(Cl)=CC23,"6-chloro-N-[2-(2-methoxyphenoxy)ethyl]-N-methyl-2-oxo-1,2-dihydroquinoline-4-carboxamide"
MAT-POS-590ac91e-43,Z1172801512,C20H19ClN2O4,Achiral,386.828,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,J02,COC=1C=CC=CC1OCCN(C)C(=O)C2=CC(=O)NC=3C=CC(Cl)=CC23,"6-chloro-N-[2-(2-methoxyphenoxy)ethyl]-N-methyl-2-oxo-1,2-dihydroquinoline-4-carboxamide"
JAN-GHE-5a013bed-3,Z1079600034,C16H12ClN3O2,Achiral,313.738,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,K02,ClC=1C=CC=C(CC(=O)NN2C=NC=3C=CC=CC3C2=O)C1,"2-(3-chlorophenyl)-N-(4-oxo-3,4-dihydroquinazolin-3-yl)acetamide"
JAN-GHE-5a013bed-3,Z1079600034,C16H12ClN3O2,Achiral,313.738,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,L02,ClC=1C=CC=C(CC(=O)NN2C=NC=3C=CC=CC3C2=O)C1,"2-(3-chlorophenyl)-N-(4-oxo-3,4-dihydroquinazolin-3-yl)acetamide"
MAT-POS-590ac91e-25,Z4099035768,C14H18N2O,Racemic or presumed racemic or meso,230.305,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,M02,CC=1C=CN=CC1NC(=O)CC23CC3CCC2,2-{bicyclo[3.1.0]hexan-1-yl}-N-(4-methylpyridin-3-yl)acetamide
MAT-POS-590ac91e-25,Z4099035768,C14H18N2O,Racemic or presumed racemic or meso,230.305,100,200415-FTE / COVID-19,,,0,0.5,20,1178796-500NL-01,N02,CC=1C=CN=CC1NC(=O)CC23CC3CCC2,2-{bicyclo[3.1.0]hexan-1-yl}-N-(4-methylpyridin-3-yl)acetamide
