SMILES,CID,comments
NC1CCN(c2ccccc2F)C1,,not found
Cc1ccc(N)cc1,,not found
Nc1ccccc1,,not found
NC1Cc2ccccc21,,not found
Nc1ccc2c(c1)CCC(=O)N2CC(F)F,,not found
NC1CCN(c2ccccc2)C1,,not found
Nc1ccc(OC2CCOC2)cc1,,not found
NC1COc2cc(F)ccc21,,not found
COCc1csc(N)n1,,not found
Nc1cn(Cc2ccccc2)cn1,,not found
Nc1ccc2scnc2c1,,not found
Nc1ccc(C(F)(F)F)nc1,,not found
Cn1ncc2ccc(N)cc21,,not found
Nc1ccc(OC(F)F)nc1,,not found
COc1ccccc1CN,,not found
Cc1ccccc1CN,,not found
NC1COC(C2CC2)C1,,not found
CC1CC(N)CCO1,,not found
Cc1ccc(N)cc1OC(F)F,,not found
CN1CCCC(N)C1,,not found
COc1c(C)cccc1CN,,not found
Nc1ccc2c(c1)CCOC2,,not found
COc1cc(C)ccc1CN,,not found
CCOc1ccc(N)cn1,,not found
COc1cc(N)ccc1S(=O)(=O)N(C)C,,not found
Nc1ccc(OC(F)F)cc1,,not found
COCc1ccc(N)cc1,,not found
Nc1ccc2c(c1)COCC2,,not found
CC(N)c1ccccc1,,not found
N[C@H]1C[C@H](Oc2ccccc2)C1,,not found
NC1CCC2(CCO2)CC1,,not found
NC1COC2(CCCC2)C1,,not found
Cc1ccccc1C(C)N,,not found
Nc1cccc(C2COC2)c1,,not found
NC1CCC2OCCC2C1,,not found
NC1CCCC2(CCC2)C1,,not found
Nc1ccc(C2COC2)cc1,,not found
Nc1cnc(C2CCC2)nc1,,not found
NCc1ccccc1,,not found
Cc1nc2cc(N)ccc2s1,,not found
NC1CCOC1,,not found
CCOc1ccc(N)cc1,,not found
O=C(O)c1cnc[nH]1,,not found
O=Cc1cccnc1,,not found
O=C(O)c1cc(O)nc2ccccc12,,not found
O=C(O)c1cocn1,,not found
Nc1cccc(Br)n1,,not found
CC1(C)OB(CBr)OC1(C)C,,not found
NCCc1nnn[nH]1,,not found
NCCc1c[nH]cn1,,not found
Fc1cccc(C2CCNCC2)c1,,not found
