SMILES,CID,creator,creator,fragments,fragments,covalent_warhead,covalent_warhead,CID (canonical)
O=C1N(c2cncc3ccccc23)CCC12CN(C1(C(=O)NCC3CC3)CC1)Cc1ccc(Cl)cc12,EDJ-MED-59d5ca70-2,,,,,,,EDJ-MED-59d5ca70-2
O=C1N(c2cncc3ccccc23)CCC12CN(CC(F)(F)Cl)Cc1ccc(Cl)cc12,VLA-UNK-3bd6fc51-1,,,,,,,VLA-UNK-3bd6fc51-1
O=C(CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1)NCC1(O)CC1,MAT-POS-e75f6e44-1,,,,,,,MAT-POS-e75f6e44-1
O=C(CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1)NCC1(F)CC1,MAT-POS-e75f6e44-2,,,,,,,MAT-POS-e75f6e44-2
NCC1(NC(=O)CN2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,MAT-POS-e75f6e44-3,,,,,,,MAT-POS-e75f6e44-3
CC1(CNC(=O)CN2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,MAT-POS-e75f6e44-4,,,,,,,EDJ-MED-6b23330e-5
NC1(CNC(=O)CN2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,MAT-POS-e75f6e44-5,,,,,,,MAT-POS-e75f6e44-5
CNC1(CNC(=O)CN2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,MAT-POS-e75f6e44-6,,,,,,,MAT-POS-e75f6e44-6
CN(C)C1(CNC(=O)CN2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,MAT-POS-e75f6e44-7,,,,,,,MAT-POS-e75f6e44-7
C[C@H](NC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1)C1CC1,MAT-POS-e75f6e44-8,,,,,,,MAT-POS-e75f6e44-8
C[C@@H](NC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1)C1CC1,MAT-POS-e75f6e44-9,,,,,,,MAT-POS-e75f6e44-9
COC1(CNC(=O)CN2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,MAT-POS-e75f6e44-10,,,,,,,MAT-POS-e75f6e44-10
N#CC1(CNC(=O)CN2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,MAT-POS-e75f6e44-11,,,,,,,MAT-POS-e75f6e44-11
O=C(CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1)NCC1(CO)CC1,MAT-POS-e75f6e44-12,,,,,,,MAT-POS-e75f6e44-12
O=C(CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1)NCC1CCC1,MAT-POS-e75f6e44-13,,,,,,,MAT-POS-e75f6e44-13
O=C(CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1)NCC1COC1,MAT-POS-e75f6e44-14,,,,,,,MAT-POS-e75f6e44-14
O=C(CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1)NCC1(F)CCC1,MAT-POS-e75f6e44-15,,,,,,,MAT-POS-e75f6e44-15
CN1CC(CNC(=O)CN2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)C1,MAT-POS-e75f6e44-16,,,,,,,MAT-POS-e75f6e44-16
O=C(CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1)NCC1(O)CCC1,MAT-POS-e75f6e44-17,,,,,,,MAT-POS-e75f6e44-17
O=C(CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1)NCC1CC(F)C1,MAT-POS-e75f6e44-18,,,,,,,MAT-POS-e75f6e44-18
CC1(CNC(=O)CN2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CCC1,MAT-POS-e75f6e44-19,,,,,,,MAT-POS-e75f6e44-19
O=C(CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1)NCC1CS(=O)(=O)C1,MAT-POS-e75f6e44-20,,,,,,,MAT-POS-e75f6e44-20
O=C(CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1)NCC1CC(F)(F)C1,MAT-POS-e75f6e44-21,,,,,,,MAT-POS-e75f6e44-21
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCO)cc45)C3=O)C2)CC1,MAT-POS-1a788f51-1,,"Matt Robinson, PostEra",,,,False,MAT-POS-1a788f51-1
COCCOc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,MAT-POS-1a788f51-2,,"Matt Robinson, PostEra",,,,False,MAT-POS-1a788f51-2
CC(C)NCCOc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,MAT-POS-1a788f51-3,,"Matt Robinson, PostEra",,,,False,MAT-POS-1a788f51-3
CC(C)(C)NCCOc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,MAT-POS-1a788f51-4,,"Matt Robinson, PostEra",,,,False,MAT-POS-1a788f51-4
O,NIC-UNK-a1379f79-1,,Nicholas Gulisek,,,,False,FUN-UNK-4860b43a-7
CO,NIC-UNK-a1379f79-2,,Nicholas Gulisek,,,,False,NIC-UNK-a1379f79-2
CCl,NIC-UNK-a1379f79-3,,Nicholas Gulisek,,,,False,NIC-UNK-a1379f79-3
