SMILES,external_ID,CDD_ID,shipment_ID,catalog_ID,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,PostEra_comments,Batch ID
CC=1C=C(N)N=CC1NC(=O)CC=2C=CC=C(Cl)C2,,,EDG-MED-0da5ad92-17,Z4497196458,100.0,40,20,1181202-Y40-13,03_A,Achiral,not found,UNK
CC(NC(=O)C)C=1C=C(Cl)C=C(C1)C=2C=CC(=CC2)S(=O)(=O)N,,,EDJ-MED-8698005e-1,Z4598794279,88.08,40,20,1181202-Y40-13,03_B,Racemic or presumed racemic or meso,not found,UNK
CC=1C=CN=CC1C(N(CC=2C=CC=C(Cl)C2)C(=O)C=C)C(=O)NCCC=3C=CC=C(F)C3,,,MAT-POS-c0143b99-1,Z4605133164,100.0,40,20,1181202-Y40-13,03_C,Racemic or presumed racemic or meso,not found,UNK
CC(C)(C)NC(=O)C(N(CC=1C=CC=CC1Cl)C(=O)C=C)C=2C=NC=C3C=CC=CC23,NIR-WEI-f9286bb6-4,CVD-0012655,NIR-WEI-f9286bb6-4,Z4605209196,100.0,40,20,1181202-Y40-13,03_D,Racemic or presumed racemic or meso,,UNK
CC(C)(C)NC(=O)C(N(CC=1C=CC=CC1Cl)C(=O)C=C)C=2C=CC=NC2,NIR-WEI-f9286bb6-2,CVD-0012653,NIR-WEI-f9286bb6-2,Z4605209194,100.0,40,20,1181202-Y40-13,03_E,Racemic or presumed racemic or meso,,UNK
CNC(=O)C(N(CC=1C=CC=CC1Cl)C(=O)C=C)C=2C=CC=NC2,NIR-WEI-f9286bb6-3,CVD-0012654,NIR-WEI-f9286bb6-3,Z4605209195,100.0,40,20,1181202-Y40-13,03_F,Racemic or presumed racemic or meso,,UNK
CNC(=O)C(N(CC=1C=CC=CC1Cl)C(=O)C=C)C=2C=NC=C3C=CC=CC23,NIR-WEI-f9286bb6-1,CVD-0012652,NIR-WEI-f9286bb6-1,Z4605209193,100.0,40,20,1181202-Y40-13,03_G,Racemic or presumed racemic or meso,,UNK
O=C(CN1N=NC=2C=CC=CC12)N(CC(=O)N3CCNCC3)C=4C=CC(=CC4)C=5C=CC=CC5,,,ALP-POS-c0c213c9-3,Z4607509107,95.45100000000001,40,20,1181202-Y40-13,03_H,Achiral,not found,UNK
O=C(CN1N=NC=2C=CC=CC12)N(CC=3C=CC=CN3)C=4C=CC(=CC4)N5C=NN=C5,,,ALP-POS-c0c213c9-18,Z4607510081,96.542,40,20,1181202-Y40-13,03_I,Achiral,not found,UNK
COC=1C=CC=C(C1)C(NC(=O)CC=2C=CC=C(Cl)C2)C3=NC=4C=CC=CC4N3,,,ALP-POS-ddb41b15-9,Z4607512300,95.0,40,20,1181202-Y40-13,03_J,Racemic or presumed racemic or meso,not found,UNK
NCC1=CN(CC(=O)N(CC(=O)N2CCNCC2)C=3C=CC(=CC3)C=4C=CC=CC4)N=N1,,,ALP-POS-c0c213c9-7,Z4607509197,99.022,40,20,1181202-Y40-13,03_K,Achiral,not found,UNK
NCC1=CN(CC(=O)N(CC=2C=CSC2)C=3C=CC(=CC3)N4C=NN=C4)N=N1,,,ALP-POS-c0c213c9-11,Z4607509375,99.124,40,20,1181202-Y40-13,03_L,Achiral,not found,UNK
O=C(CN1N=NC=2C=CC=CC12)N(CC=3C=CC=CN3)C=4C=NC(=NC4)C=5C=CC=CC5,,,ALP-POS-c0c213c9-15,Z4607509737,95.0,40,20,1181202-Y40-13,03_M,Achiral,not found,UNK
CN1C=NC=C1NC(=O)CC=2C=CC=C(Cl)C2,,,PET-UNK-8df914d1-4,Z4605133171,91.03,40,20,1181202-Y40-13,03_N,Achiral,not found,UNK
CN1N=C(N=C2C(=O)N(C)C(=O)N=C12)C=3C=CC(=CC3)C(F)(F)F,MAT-POS-1e0c1c67-1,CVD-0012826,MAT-POS-1e0c1c67-1,Z3221731972,95.0,40,20,1181202-Y40-13,03_O,Achiral,,UNK
CC=1C=CN=CC1N2CCN(C2=O)C=3C=CC=C(Cl)C3,,,JAG-UCB-cedd89ab-1,Z4497196438,90.0,40,20,1181202-Y40-13,03_P,Achiral,not found,UNK
NCC1=CN(CC(=O)N(CC2=CSC=N2)C=3C=CC(=NC3)C=4C=CC=CC4)N=N1,,,ALP-POS-c0c213c9-4,Z4607509166,99.84700000000001,40,20,1181202-Y40-13,04_A,Achiral,not found,UNK
CC=1C=CN=CC1NC(=O)CC=2C=CC=C(C2)C=3C=NNC3,,,EDJ-MED-e58735b6-4,Z4497196441,94.06,40,20,1181202-Y40-13,04_B,Achiral,not found,UNK
ClC=1C=CC=C(CC(=O)NC2=CN=C3C=CC=CN23)C1,,,PET-UNK-8df914d1-2,Z4605133167,100.0,40,20,1181202-Y40-13,04_C,Achiral,not found,UNK
OCCN1C(CSC2=NC=3C=CC=CC3O2)=NC=4C=CC(Cl)=CC14,MAT-POS-e10a589d-1,CVD-0012923,MAT-POS-e10a589d-1,Z19651924,96.76,40,20,1181202-Y40-13,04_D,Achiral,,UNK
CN(C)S(=O)(=O)C=1C=CC=C(C1)C(=O)NC2=C(N=C3SC=CN23)C=4C=CC=CC4,TAT-ENA-80bfd3e5-1,CVD-0008035,MAT-POS-e10a589d-2,Z88617059,100.0,40,20,1181202-Y40-13,04_E,Achiral,,UNK
ClC=1C=C(Br)C=CC1NC(=O)CN2C=NC(C#N)=N2,MAT-POS-e10a589d-4,CVD-0012924,MAT-POS-e10a589d-4,Z228468704,100.0,40,20,1181202-Y40-13,04_F,Achiral,,UNK
O=C(CC=1C=CC=C(C#C)C1)NC=2C=NC=C3C=CC=CC23,,,PET-UNK-c9c1e0d8-2,Z4605133173,100.0,40,20,1181202-Y40-13,04_G,Achiral,not found,UNK
CC=1C=CN=CC1NC(=O)N(CC=2C=CC=CC2)C=3C=CC=C(Cl)C3,,,EDG-MED-0da5ad92-20,Z4497196455,100.0,40,20,1181202-Y40-13,04_H,Achiral,not found,UNK
