CID,SMILES,,,,,
ALP-POS-6d04362c-1,CN(C)c1ccc(N(Cc2ccccc2)C(=O)Cn2nnc3ccccc32)cc1,,,,,
ALP-POS-6d04362c-2,CN(C)c1ccc(N(Cc2cccc(Cl)c2)C(=O)Cn2nnc3ccccc32)cc1,,,,,
ALP-POS-6d04362c-3,O=C(Cn1nnc2ccccc21)N(Cc1ccsc1)c1ccc(N2CCCCC2)cc1,,,,,
ALP-POS-6d04362c-4,O=C(Cn1nnc2ccccc21)N(Cc1ccsc1)c1ccc(N2CCOCC2)cc1,,,,,
ALP-POS-6d04362c-5,O=C(Cn1nnc2ccccc21)N(Cc1ccccc1)c1ccc(N2CCOCC2)cc1,,,,,
