SMILES,external_ID,CDD_ID,shipment_ID,catalog_ID,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,PostEra_comments,Batch ID
C(CN1CCOCC1)SC=2C=CC=CC2,,,Z2856434865,Z2856434865,95,40,20,1333027-Y40-01,O06,,not found,
ClCC(=O)N1CCC(CC1)C(=O)N2CCCCC2,VIR-GIT-7b3d3065-2,CVD-0003676,VIR-GIT-7b3d3065-2,VIR-GIT-7b3d3065-2,95,40,20,1333027-Y40-01,P06,,,
Cl.CC=1C=CC=CC1CN2CCCN(CC2)C(=O)CCl,,,AAR-POS-d2a4d1df-41,AAR-POS-d2a4d1df-41,95,40,20,1333027-Y40-01,A07,,not found,
OC1CS(=O)(=O)C1,,,AAR-POS-0daf6b7e-24,AAR-POS-0daf6b7e-24,95,40,20,1333027-Y40-01,B07,,not found,
CC(C)N(C)C(=O)C1CCN(CC1)C(=O)CCl,VIR-GIT-7b3d3065-3,CVD-0003677,VIR-GIT-7b3d3065-3,VIR-GIT-7b3d3065-3,95,40,20,1333027-Y40-01,C07,,,
NS(=O)(=O)C=1C=CC(Br)=CC1,,,AAR-POS-d2a4d1df-15,AAR-POS-d2a4d1df-15,95,40,20,1333027-Y40-01,D07,,not found,
CN1CCCC=2C=CC(=CC12)S(=O)(=O)N,,,Z1367324110,Z1367324110,95,40,20,1333027-Y40-01,E07,,not found,
CC(=O)NCCC1=CNC=2C=CC(F)=CC12,,,Z1220452176,Z1220452176,95,40,20,1333027-Y40-01,F07,,not found,
COC=1C=CC(=CC1)C(=O)NCC(=O)N,MAT-POS-162a9720-11,CVD-0017156,Z33546965,Z33546965,95,40,20,1333027-Y40-01,G07,,,
CC(=O)NC=1C=NC=CC1C,MAK-UNK-6435e6c2-8,CVD-0002232,Z1129283193,Z1129283193,95,40,20,1333027-Y40-01,H07,,,
CC(NC(=O)CCl)C=1C=CC=C2C=CC=CC12,,,AAR-POS-d2a4d1df-39,AAR-POS-d2a4d1df-39,95,40,20,1333027-Y40-01,I07,,not found,
Cl.FC=1C=CC=C(CNCC2=CC=CO2)C1,,,Z2737076969,Z2737076969,95,40,20,1333027-Y40-01,J07,,not found,
ClCC(=O)N1CCN(CC1)S(=O)(=O)C=2C=CC(Cl)=CC2,,,AAR-POS-d2a4d1df-44,AAR-POS-d2a4d1df-44,95,40,20,1333027-Y40-01,K07,,not found,
N#CC=1C=CC(=CN1)N2CCCOCC2,,,Z1348371854,Z1348371854,95,40,20,1333027-Y40-01,L07,,not found,
COC(=O)NC=1SC(C)=NC1C=2C=CC=CC2,,,Z979145504,Z979145504,97,40,20,1333027-Y40-01,M07,,not found,
CCNCC1=CN(C)N=N1,,,Z1271660837,Z1271660837,95,40,20,1333027-Y40-01,N07,,not found,
COC(=O)C=1C=CC(=CC1)S(=O)(=O)N,,,Z18197050,Z18197050,100,40,20,1333027-Y40-01,O07,,not found,
