SMILES,external_ID,CDD_ID,shipment_ID,catalog_ID,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,PostEra_comments,Batch ID,"Amount, mg (left)"
CSc1ccc(CN(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1C#N,,,ALP-POS-02c6a514-35,EN300-371746-Ugi,,40,20,,,Achiral,not found,UNK,UNK
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)[C@H]1C[C@H](c2cc(F)cc(F)c2)C1,,,ALP-POS-02c6a514-36,EN300-196682-Ugi,,40,20,,,Achiral,not found,UNK,UNK
COc1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,,,ALP-POS-02c6a514-37,EN300-17444-Ugi,,40,20,,,Achiral,not found,UNK,UNK
CC(=O)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,,,ALP-POS-02c6a514-38,EN300-17971-Ugi,,40,20,,,Achiral,not found,UNK,UNK
N#Cc1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,,,ALP-POS-02c6a514-39,EN300-17909-Ugi,,40,20,,,Achiral,not found,UNK,UNK
COc1ccccc1C(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,,,ALP-POS-02c6a514-40,EN300-18034-Ugi,,40,20,,,Achiral,not found,UNK,UNK
COc1cc(C)ccc1N(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,,,ALP-POS-02c6a514-41,EN300-57342-Ugi,,40,20,,,Achiral,not found,UNK,UNK
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)C1CCCC(c2ccc(F)c(F)c2)C1,,,ALP-POS-02c6a514-42,EN300-7464674-Ugi,,40,20,,,Achiral,not found,UNK,UNK
N#Cc1cc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)ccc1Oc1ccc(C(F)(F)F)cc1,,,ALP-POS-02c6a514-43,EN300-93093-Ugi,,40,20,,,Achiral,not found,UNK,UNK
Cc1ccncc1C(C(=O)NCCc1cccc(F)c1)N(C(=O)c1ccco1)c1ccc(C(C)(C)C)cc1,,,ALP-POS-02c6a514-44,EN300-102570-Ugi,,40,20,,,Achiral,not found,UNK,UNK
CC(C)(C)c1ccc(N(C(=O)c2cn3ccccc3n2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,,,ALP-POS-02c6a514-45,EN300-00834-Ugi,,40,20,,,Achiral,not found,UNK,UNK
CC(C)(C)c1ccc(N(C(=O)c2ncc[nH]2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,,,ALP-POS-02c6a514-46,EN300-97870-Ugi,,40,20,,,Achiral,not found,UNK,UNK
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)C1CCN(c2ccccc2)CC1,,,ALP-POS-02c6a514-47,EN300-52939-Ugi,,40,20,,,Achiral,not found,UNK,UNK
CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2n[nH]c3ccccc23)cc1,,,ALP-POS-02c6a514-48,EN300-66943-Ugi,,40,20,,,Achiral,not found,UNK,UNK
CC(C)(C)c1ccc(N(C(=O)c2nccs2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,,,ALP-POS-02c6a514-49,EN300-91129-Ugi,,40,20,,,Achiral,not found,UNK,UNK
CC(C)(C)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,,,ALP-POS-02c6a514-50,EN300-68618-Ugi,,40,20,,,Achiral,not found,UNK,UNK
CC(C)(C)c1ccc(N(C(=O)C2CCCN2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,,,ALP-POS-02c6a514-51,EN300-20112-Ugi,,40,20,,,Achiral,not found,UNK,UNK
CC(C)(C)c1ccc(N(C(=O)c2ccn[nH]2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,,,ALP-POS-02c6a514-52,EN300-37077-Ugi,,40,20,,,Achiral,not found,UNK,UNK
CN(C)C(=O)CNC(=O)C(c1cccnc1)N(C(=O)c1ccco1)c1ccc(C(C)(C)C)cc1,,,ALP-POS-02c6a514-53,EN300-719511-Ugi,,40,20,,,Achiral,not found,UNK,UNK
CN(C)CCNC(=O)C(c1cccnc1)N(C(=O)c1ccco1)c1ccc(C(C)(C)C)cc1,,,ALP-POS-02c6a514-54,EN300-1837935-Ugi,,40,20,,,Achiral,not found,UNK,UNK
CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCCN2CCOCC2)c2cccnc2)cc1,,,ALP-POS-02c6a514-55,EN300-1853864-Ugi,,40,20,,,Achiral,not found,UNK,UNK
CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)Nc2ccccc2)c2cccnc2)cc1,,,ALP-POS-02c6a514-56,EN300-07501-Ugi,,40,20,,,Achiral,not found,UNK,UNK
CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCc2ccccc2)c2cccnc2)cc1,,,ALP-POS-02c6a514-57,EN300-257838-Ugi,,40,20,,,Achiral,not found,UNK,UNK
COC(=O)C(C)(CN(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1)c1ccccc1F,,,ALP-POS-02c6a514-58,EN300-171623-Ugi,,40,20,,,Achiral,not found,UNK,UNK
