SMILES,external_ID,CDD_ID,shipment_ID,catalog_ID,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,PostEra_comments,Batch ID,"Amount, mg (left)"
CN1C(=O)CCC=2C=C(N)C=CC12,,,Z424789754,Z424789754,95.0,,,1178796-01,02_A,Achiral,not found,*R1564269*,UNK
Cl.NC1CC2CCCC2C1,,,Z4137935444,Z4137935444,95.0,,,1178796-01,02_B,Diastereomeric mixture,not found,*R1627507*,UNK
Cl.NC1CCC=2C=C(F)C=CC12,,,Z802671620,Z802671620,95.0,,,1178796-01,02_C,Racemic or presumed racemic or meso,not found,*R965153*,UNK
Cl.NC1COC=2C=CC=CC2C1,,,Z415636540,Z415636540,95.0,,,1178796-01,02_D,Racemic or presumed racemic or meso,not found,*R1776598*,UNK
CC(C)S(=O)(=O)C=1C=CC(N)=CC1,,,Z808591360,Z808591360,95.0,,,1178796-01,02_E,Achiral,not found,*R1296846*,UNK
Cl.COC1CC2(CC(N)C2)C1,,,Z2867460991,Z2867460991,95.0,,,1178796-01,02_F,Achiral,not found,*R1304533*,UNK
NCC=1C=CC=NC1,,,Z104474366,Z104474366,95.0,,,1178796-01,02_G,Achiral,not found,*R1668380*,UNK
CN1N=CC=2C=C(N)C=CC12,,,Z1201622162,Z1201622162,95.0,,,1178796-01,02_H,Achiral,not found,*R1839788*,UNK
CS(=O)(=O)C=1C=CC(N)=CC1,,,Z85926241,Z85926241,95.0,,,1178796-01,03_A,Achiral,not found,*R996150*,UNK
CN1C=NC=2C=C(N)C=CC12,,,Z57290792,Z57290792,95.0,,,1178796-01,03_B,Achiral,not found,*R1651610*,UNK
CS(=O)(=O)CC=1C=CC(N)=CC1,,,Z732208132,Z732208132,95.0,,,1178796-01,03_C,Achiral,not found,*R1204148*,UNK
CC(C)OC=1C=CC(N)=CC1,,,Z239604714,Z239604714,95.0,,,1178796-01,03_D,Achiral,not found,*R755681*,UNK
Cl.NC1CCCCC1,,,Z1945707495,Z1945707495,97.0,,,1178796-01,03_E,Achiral,not found,*R227917*,UNK
