SMILES,external_ID,CDD_ID,shipment_ID,catalog_ID,purity,volume(uL),concentration(mM),plate_ID,well,stereochemistry,PostEra_comments,Batch ID
CC=1C=CN=CC1OCCNC(=O)C(C)(C)C=2C=CC=C(Cl)C2,WIL-UNI-2e73223c-4,CVD-0009922,WIL-UNI-2e73223c-4,Z4601756950,95.0,40,20,1178796-Y40-14,03_A,Achiral,,UNK
COC=1C=CC(Cl)=CC1N2C(=O)CN(CC3=CC(=O)NC=4C=CC=CC34)C2=O,JAG-UCB-c37fbdcd-2,CVD-0007608,JAG-UCB-c37fbdcd-2,Z4601737416,98.39,40,20,1178796-Y40-14,03_B,Achiral,,UNK
COC=1C(Cl)=CC=CC1OCCNC(=O)C2=CC(=O)NC=3C=CC=CC23,ALP-POS-3fc1724e-1,CVD-0009757,ALP-POS-3fc1724e-1,Z4601730313,99.62899999999999,40,20,1178796-Y40-14,03_C,Achiral,,UNK
ClC=1C=C(CC(=O)NN2C=NC=3C=CC=CC23)C=C(OC4CC(=O)N4)C1,MAT-POS-c478e61b-1,CVD-0009862,MAT-POS-c478e61b-1,Z4560204229,97.0,40,20,1178796-Y40-14,03_D,Racemic or presumed racemic or meso,,UNK
ClC=1C=C(CC(=O)NN2C=NC=3C=CC=CC3C2=O)C=C(OC4CC(=O)N4)C1,JAN-GHE-74b8b0cb-1,CVD-0009864,JAN-GHE-74b8b0cb-1,Z4560204227,90.0,40,20,1178796-Y40-14,03_E,Racemic or presumed racemic or meso,,UNK
O=C(CN1N=NC=2C=CC=CC12)N(CC3CCOC3)C=4C=CC(=CC4)C5CCNCC5,ALP-POS-c0c213c9-13,CVD-0006330,ALP-POS-c0c213c9-13,Z4601707772,99.479,40,20,1178796-Y40-14,03_F,Racemic or presumed racemic or meso,,UNK
NCC1=CN(CC(=O)N(CC=2C=CSC2)C=3C=CC(=CC3)C=4C=CC=CC4)N=N1,ALP-POS-c0c213c9-5,CVD-0006322,ALP-POS-c0c213c9-5,Z4601694849,99.20100000000001,40,20,1178796-Y40-14,03_G,Achiral,,UNK
CC=1C=CC(NC2=C(C(=O)N(CC=3C=CC=NC3)C2=O)C=4C=CC=CC4)=CC1C,JAG-UCB-1d922829-1,CVD-0006520,JAG-UCB-1d922829-1,Z3245242057,91.0,40,20,1178796-Y40-14,03_H,Achiral,,UNK
CC=1C=CC(NC2=C(C(=O)N(CC=3C=CC=NC3)C2=O)C=4C=CC=CC4)=CC1Cl,JAG-UCB-1d922829-3,CVD-0006522,JAG-UCB-1d922829-3,Z3245259561,95.0,40,20,1178796-Y40-14,03_I,Achiral,,UNK
CC(=O)N(CC(=O)NC=1C=CC(F)=C(Cl)C1)C=2C=CC=C(C2)C(F)(F)F,JAG-UCB-1d922829-6,CVD-0006525,JAG-UCB-1d922829-6,Z3246444990,95.0,40,20,1178796-Y40-14,03_J,Achiral,,UNK
CC(=O)N(CC(=O)NC=1C=CC(F)=C(Cl)C1)C=2C=CC=C(Cl)C2,JAG-UCB-1d922829-4,CVD-0006523,JAG-UCB-1d922829-4,Z2933917689,90.0,40,20,1178796-Y40-14,03_K,Achiral,,UNK
CC=1C=CC(N=C2C(C(=O)N(CC=3C=CC=NC3)C2=O)C=4C=CC=CC4)=C(C)C1,,,JAG-UCB-1d922829-2,Z4601796794,95.0,40,20,1178796-Y40-14,03_L,Racemic or presumed racemic or meso,not found,UNK
CC=1C(N)=CN=CC1NC(=O)CC=2C=CC=C(Cl)C2,TRY-UNI-714a760b-3,CVD-0003629,TRY-UNI-714a760b-3,Z4444622036,100.0,40,20,1178796-Y40-14,03_M,Achiral,,UNK
CC=1C(N)=CN=CC1NC(=O)CC=2C=CC=C(C#N)C2,TRY-UNI-714a760b-19,CVD-0003622,TRY-UNI-714a760b-19,Z4444621981,100.0,40,20,1178796-Y40-14,03_N,Achiral,,UNK
CC(=O)N(CC(=O)NC=1C=CC(F)=C(Cl)C1)C=2C=CC=C(C#N)C2,JAG-UCB-1d922829-5,CVD-0006524,JAG-UCB-1d922829-5,Z2933923003,95.0,40,20,1178796-Y40-14,03_O,Achiral,,UNK
CC(C)(C)C1=CC(=NO1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=NC=C(C#N)C3)C(=O)C=C,LON-WEI-babf2c61-14,CVD-0006811,LON-WEI-babf2c61-14,Z4509080748,92.0,40,20,1178796-Y40-14,03_P,Racemic or presumed racemic or meso,,UNK
CC(C)(C)C1=CC(=NO1)N(C(C(=O)NCCC=2C=CC=C(F)C2)C=3C=NC=C(O)C3)C(=O)C=C,LON-WEI-babf2c61-12,CVD-0006809,LON-WEI-babf2c61-12,Z4509080736,80.0,40,20,1178796-Y40-14,04_A,Racemic or presumed racemic or meso,,UNK
