SMILES,CID,Comments,,,,
N#CCN1CCc2ccc(Cl)cc2C1C(=O)Nc1cncc2ccccc12,EDJ-MED-2791eece-1,,,,,
COCCN1CCc2ccc(Cl)cc2C1C(=O)Nc1cncc2ccccc12,EDJ-MED-2791eece-3,,,,,
N#CCC(=O)N1CCc2ccc(Cl)cc2C1C(=O)Nc1cncc2ccccc12,EDJ-MED-2791eece-4,,,,,
CNC(=O)CN1CCc2ccc(Cl)cc2C1C(=O)Nc1cncc2ccccc12,EDJ-MED-2791eece-5,,,,,
CN(C)C(=O)CN1CCc2ccc(Cl)cc2C1C(=O)Nc1cncc2ccccc12,EDJ-MED-2791eece-7,,,,,
Cc1n[nH]c(CN2CCc3ccc(Cl)cc3C2C(=O)Nc2cncc3ccccc23)n1,EDJ-MED-2791eece-9,,,,,
O=C(Nc1cncc2ccccc12)C1c2cc(Cl)ccc2CCN1S(=O)(=O)C1CC1,EDJ-MED-2791eece-10,,,,,
CN(C)S(=O)(=O)N1CCc2ccc(Cl)cc2C1C(=O)Nc1cncc2ccccc12,EDJ-MED-2791eece-11,,,,,
CNC(=O)N1CCc2ccc(Cl)cc2C1C(=O)Nc1cncc2ccccc12,EDJ-MED-2791eece-12,,,,,
CNC(=O)CN1CC(C(=O)Nc2cncc3cc(F)ccc23)c2cc(Cl)ccc2C1=O,MAT-POS-e119ab4f-1,,,,,
CNC(=O)CN1CC(C(=O)Nc2cncc3ccc(F)cc23)c2cc(Cl)ccc2C1=O,MAT-POS-e119ab4f-2,,,,,
CNC(=O)CN1CC(C(=O)Nc2cncc3cccc(C)c23)c2cc(Cl)ccc2C1=O,MAT-POS-e119ab4f-3,,,,,
O=C(Nc1cncc2ccccc12)C12CC(C1)Oc1ccc(Cl)cc12,MAT-POS-e119ab4f-4,,,,,
CNC(=O)CN1CC(C)(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2S1(=O)=O,MAT-POS-e119ab4f-5,,,,,
