shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Batch ID,"Amount, mg (left)"
MAT-POS-853c0ffa-15,Z5461592544,C27H25ClN4O5S2,Racemic or presumed racemic or meso,585.094,100,COVID-19,,,0,40,20,1326826-Y40-39,03_A,CS(=O)(=O)C=1C=CC=2C(=CN=CC2C1)N3CCC4(CN(CC=5C=CC(Cl)=CC54)S(=O)(=O)CC6(CC6)C#N)C3=O,"1-({[6-chloro-1'-(7-methanesulfonylisoquinolin-4-yl)-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]sulfonyl}methyl)cyclopropane-1-carbonitrile",H3706299,4.7
MAT-POS-69786b79-3,Z5489567291,C27H27ClN4O2,Racemic or presumed racemic or meso,474.981,95.31,COVID-19,,,0,40,20,1326826-Y40-39,03_B,CC1(CC1)NC(=O)CN2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC=CC56)C2,"2-[6-chloro-1'-(isoquinolin-4-yl)-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]-N-(1-methylcyclopropyl)acetamide",H3719283,6
ALP-POS-ecbed2ba-14,Z5461592488,C25H22ClN5O2,Racemic or presumed racemic or meso,459.927,94.71,COVID-19,,,0,40,20,1326826-Y40-39,03_C,ClC=1C=CC=2CN(CC(=O)NCC#N)CC3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1,"2-[6-chloro-1'-(isoquinolin-4-yl)-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]-N-(cyanomethyl)acetamide",H3719282,39.5
ALP-POS-07e1ed01-2,Z5261485080,C25H24ClN5O3S,Racemic or presumed racemic or meso,510.007,97.67,COVID-19,,,0,40,20,1326826-Y40-39,03_D,CN1CC(CS(=O)(=O)N2CC(C(=O)NC=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C2)(C1)C#N,"6-chloro-2-[(3-cyano-1-methylazetidin-3-yl)methanesulfonyl]-N-(isoquinolin-4-yl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3713274,0
ALP-POS-ecbed2ba-21,Z5461592514,C25H27ClN4O4S,Racemic or presumed racemic or meso,515.024,98.42,COVID-19,,,0,40,20,1326826-Y40-39,03_E,COCCN(C)S(=O)(=O)N1CC=2C=CC(Cl)=CC2C3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C1,"6-chloro-1'-(isoquinolin-4-yl)-N-(2-methoxyethyl)-N-methyl-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidine]-2-sulfonamide",H3721694,11.1
ALP-POS-ecbed2ba-1,Z5461592447,C26H26ClN3O5S2,Racemic or presumed racemic or meso,560.084,100,COVID-19,,,0,40,20,1326826-Y40-39,03_F,CC1(CS(=O)(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC=CC56)C2)CS(=O)(=O)C1,"3-({[6-chloro-1'-(isoquinolin-4-yl)-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]sulfonyl}methyl)-3-methyl-1??-thietane-1,1-dione",H3703653,31.9
MAT-POS-853c0ffa-22,Z5461592548,C27H28ClN3O5S2,Racemic or presumed racemic or meso,574.111,100,COVID-19,,,0,40,20,1326826-Y40-39,03_G,CC1(CS(=O)(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=C(C=CC56)S(=O)(=O)C)C2)CC1,"6-chloro-1'-(7-methanesulfonylisoquinolin-4-yl)-2-[(1-methylcyclopropyl)methanesulfonyl]-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2'-one",H3707330,0
ALP-POS-ecbed2ba-2,Z5461592449,C28H27ClN4O5S2,Racemic or presumed racemic or meso,599.120,100,COVID-19,,,0,40,20,1326826-Y40-39,03_H,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1)S(=O)(=O)CC6(CCS(=O)(=O)CC6)C#N,"4-({[6-chloro-1'-(isoquinolin-4-yl)-2'-oxo-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2-yl]sulfonyl}methyl)-1,1-dioxo-1??-thiane-4-carbonitrile",H3703654,30.4
ALP-POS-ecbed2ba-10,Z5594788321,C25H25ClN4O4S,Racemic or presumed racemic or meso,513.008,100,COVID-19,,,0,40,20,1326826-Y40-39,03_I,COC1CN(C1)S(=O)(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC=CC56)C2,"6-chloro-1'-(isoquinolin-4-yl)-2-[(3-methoxyazetidin-1-yl)sulfonyl]-2,3-dihydro-1H-spiro[isoquinoline-4,3'-pyrrolidin]-2'-one",H3707191,0
ALP-POS-4483ae88-2,Z5395340383,C23H21ClN4O4S,Racemic or presumed racemic or meso,484.955,100,COVID-19,,,0,40,20,1326826-Y40-39,03_J,CNC(=O)CN1CC2(CCN(C2=O)C=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5S1(=O)=O,"2-[6-chloro-1'-(isoquinolin-4-yl)-1,1,2'-trioxo-2,3-dihydrospiro[1??,2-benzothiazine-4,3'-pyrrolidin]-2-yl]-N-methylacetamide",H3707125,1.7
