shipment_ID,catalog_ID,Formula,stereochemistry,MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name
MAK-UNK-30a-12,Z4444621912,C18H14N6O,Achiral,330.34,100,200415-FTE,,,0,40,20,1181202-Y40-01,F05,O=C(NC=1C=CC(NC=2C=CC(C#N)=CN2)=CC1)NC=3C=CC=NC3,3-{4-[(5-cyanopyridin-2-yl)amino]phenyl}-1-(pyridin-3-yl)urea
GAB-REV-70c-8,Z4444622216,C18H18N4O3S,Achiral,370.42,100,200415-FTE,,,0,40,20,1181202-Y40-01,G05,CN(CC(=O)NC=1C=NC=CC1C)S(=O)(=O)C=2C=CC=C3C=CC=NC23,N-(4-methylpyridin-3-yl)-2-(N-methylquinoline-8-sulfonamido)acetamide
BAR-COM-4e0-56,Z2313212158,C18H21N5O2,Racemic or presumed racemic or meso,339.39,100,200415-FTE,,,0,40,20,1181202-Y40-01,H05,O=C(NC(CC=1C=CC=CC1)C(=O)N2CCCC2)NC=3C=CN=NC3,3-[1-oxo-3-phenyl-1-(pyrrolidin-1-yl)propan-2-yl]-1-(pyridazin-4-yl)urea
KIM-UNI-2ee-1,Z4450620215,C13H16Cl2N2O2,Achiral,303.18,95,200415-FTE,,,0,40,20,1181202-Y40-01,I05,OC=1C=C(Cl)C=C(CN2CCN(CC2)C(=O)CCl)C1,2-chloro-1-{4-[(3-chloro-5-hydroxyphenyl)methyl]piperazin-1-yl}ethan-1-one
GIA-UNK-3f3-6,Z2933493882,C14H18N2O3,Achiral,262.30,98.27,200415-FTE,,,0,40,20,1181202-Y40-01,J05,O=C(CC(=O)N1CCOCC1)NCC=2C=CC=CC2,N-benzyl-3-(morpholin-4-yl)-3-oxopropanamide
MIH-UNI-6b9-5,Z445693752,C14H12N2O,Achiral,224.25,100,200415-FTE,,,0,40,20,1181202-Y40-01,K05,OC=1C=CC(NCC=2C=CC=C(C#N)C2)=CC1,3-{[(4-hydroxyphenyl)amino]methyl}benzonitrile
CHR-SOS-709-21,Z1209475970,C12H8Cl2N2O,Achiral,267.11,98.45,200415-FTE,,,0,40,20,1181202-Y40-01,L05,ClC=1C=CC=C(C1)C(=O)NC=2C=NC=CC2Cl,3-chloro-N-(4-chloropyridin-3-yl)benzamide
Z638912400,Z638912400,C16H11ClN2O2,Racemic or presumed racemic or meso,298.72,96,200415-FTE,,,0,40,20,1181202-Y40-01,M05,ClC=1C=CC=C(C1)C(=O)C(C#N)C(=O)NC=2C=CC=CC2,3-(3-chlorophenyl)-2-cyano-3-oxo-N-phenylpropanamide
SER-UNI-985-4,Z20242202,C18H18N8S,Achiral,378.45,93.85,200415-FTE,,,0,40,20,1181202-Y40-01,N05,CCC=1C=CC=CC1NC=2N=C(N)N=C(CSC3=NN=C4C=CC=CN34)N2,"N2-(2-ethylphenyl)-6-({[1,2,4]triazolo[4,3-a]pyridin-3-ylsulfanyl}methyl)-1,3,5-triazine-2,4-diamine"
AUS-ARG-7cf-15,Z90167687,C21H23N5O2S,Racemic or presumed racemic or meso,409.50,100,200415-FTE,,,0,40,20,1181202-Y40-01,O05,O=S1(=O)CCC(C1)N2CCN(CC2)C=3N=C(N=C4C=CC=CC34)C=5C=CC=NC5,"3-{4-[2-(pyridin-3-yl)quinazolin-4-yl]piperazin-1-yl}-1??-thiolane-1,1-dione"
GAB-REV-70c-18,Z4444735062,C15H14N4O,Achiral,266.29,100,200415-FTE,,,0,40,20,1181202-Y40-01,P05,CC=1C=CN=CC1NC(=O)CC=2C=CC=3NC=NC3C2,"2-(1H-1,3-benzodiazol-5-yl)-N-(4-methylpyridin-3-yl)acetamide"
CHR-SOS-709-10,Z1570773318,C12H8Cl2N2O2,Achiral,283.11,100,200415-FTE,,,0,40,20,1181202-Y40-01,A06,OC=1C=CC(Cl)=CC1C(=O)NC=2C=NC=CC2Cl,5-chloro-N-(4-chloropyridin-3-yl)-2-hydroxybenzamide
MAK-UNK-af8-2,Z4461624310,C16H23ClN2O,Racemic or presumed racemic or meso,294.81,100,200415-FTE,,,0,40,20,1181202-Y40-01,B06,CC(CCC=1C=CC=CC1)N2CCN(CC2)C(=O)CCl,2-chloro-1-[4-(4-phenylbutan-2-yl)piperazin-1-yl]ethan-1-one
JOO-IND-b13-2,Z4461624254,C14H14ClFN2OS,Diastereomeric mixture,312.79,92.31,200415-FTE,,,0,40,20,1181202-Y40-01,C06,FC(Cl)C(=O)N1CCCC(C1)C2=NC=3C=CC=CC3S2,"1-[3-(1,3-benzothiazol-2-yl)piperidin-1-yl]-2-chloro-2-fluoroethan-1-one"
DAN-LON-a5f-8,Z4461624335,C14H16Cl2N2O,Diastereomeric mixture,299.19,100,200415-FTE,,,0,40,20,1181202-Y40-01,D06,ClCC(=O)N1CC2CC1CN2CC=3C=CC=C(Cl)C3,"2-chloro-1-{5-[(3-chlorophenyl)methyl]-2,5-diazabicyclo[2.2.1]heptan-2-yl}ethan-1-one"
JOH-UNI-27a-29_thio_pH,Z4461624193,C14H18Cl2N2O,Racemic or presumed racemic or meso,301.21,98.13,200415-FTE,,,0,40,20,1181202-Y40-01,E06,CC1CN(CC=2C=CC=C(Cl)C2)CCN1C(=O)CCl,2-chloro-1-{4-[(3-chlorophenyl)methyl]-2-methylpiperazin-1-yl}ethan-1-one
