SMILES,CID
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,ANT-OPE-47f-1
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,GER-UNI-05c-1
CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,JOH-MSK-ec6-2
COc1ccc2[nH]cc(CCNS(C)(=O)=O)c2c1,MAR-UNI-9ca-1
CC(=O)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,MAK-UNK-643-5
CCCNC(=O)C(C)NC(=O)N(C)Cc1csc(C)n1,ALE-UNK-fca-9
O=C(Cc1c[nH]c2ncccc12)NCc1ccc(Cl)cn1,TRY-UNI-1fd-11
O=C(Cc1ccc(Cl)s1)Nc1cccnc1,DAR-DIA-842-13
Cc1ccnc(NC(=O)Cc2ccc3ccccc3c2)c1,ÁLV-UNI-7ff-45
N#Cc1ccc(CNC(=O)Cc2c[nH]c3ncccc23)nc1,TRY-UNI-1fd-12
Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,TRY-UNI-714-6
CS(=O)(=O)Cc1ccc(C(=O)Nc2cccnc2)o1,ANT-DIA-3c7-4
O=C(Cc1c[nH]c2ncccc12)Nc1cccc(Cl)c1,DAR-DIA-23a-12
N#Cc1cccc(NC(=O)Cc2c[nH]c3ncccc23)c1,DAR-DIA-23a-1
O=C(Cc1c[nH]c2ncccc12)NCc1cc(Cl)ccn1,TRY-UNI-1fd-9
Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,TRY-UNI-714-18
O=C(Cc1c[nH]c2ncccc12)NCc1cccc(Cl)c1,TRY-UNI-1fd-5
CC(C)N(C)C(=O)C1CCN(C(=O)CCl)CC1,VIR-GIT-7b3-3
O=C(C1CCN(S(=O)(=O)c2ccccc2)CC1)N1CCOCC1,GIA-UNK-eaa-3
O=C(Nc1ccccc1Cl)c1cc(Cl)ccc1O,CHR-SOS-709-4
O=C(Cc1c[nH]c2ncccc12)NCc1ccc(Cl)cc1,TRY-UNI-1fd-7
N#Cc1ccc(CNC(=O)Cc2c[nH]c3ncccc23)cc1,TRY-UNI-1fd-8
O=C(CCl)N1CCC(C(=O)N2CCCCC2)CC1,VIR-GIT-7b3-2
CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,GER-UNI-ec7-1
CS(=O)(=O)Nc1cccc(C(=O)Nc2cccc(N3CCCC3=O)c2)c1,MAK-UNK-915-6
CC(=O)N1CCN(S(=O)(=O)c2cccs2)CC1,MAK-UNK-643-1
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,ALE-UNK-fca-1
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,ALE-UNK-fca-2
N#Cc1ccc(NC(=O)Nc2cccnc2)cc1,ANN-UNI-263-3
O=C(Nc1cccnc1)c1cc(Cl)ccc1O,CHR-SOS-709-11
O=C(Nc1cccnc1)c1cccc(Cl)c1,CHR-SOS-709-12
O=C(Nc1ccccc1)c1cc(Cl)ccc1O,CHR-SOS-709-7
O=C(CCl)NC(CO)c1cccc(Cl)c1,DAV-CRI-3ed-4
CCC(=O)OC(OP(=O)(CCCCc1ccccc1)CC(=O)N1C[C@H](C2CCCCC2)C[C@H]1C(=O)O)C(C)C,DAV-UNI-bdc-2
CC(=O)N1CCN(CC(=O)Nc2cccc(S(N)(=O)=O)c2)CC1,JAN-GHE-1d9-7
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,ALE-ACE-261-1
CC(=O)N1CCN(Cc2cccc(C#N)c2)CC1,PAT-UNK-b2d-1
N#Cc1cccc(NC(=O)Nc2cccnc2)c1,ANN-UNI-263-4
CC(=O)N1CCN(C2CCNc3ccc(Cl)cc32)CC1,KIM-UNI-7d1-4
O=C(Nc1cccnc1)c1cc(Cl)ccc1-c1ccccc1,CHR-SOS-709-14
N#Cc1cccc(NC(=O)Nc2cncc(N)c2)c1,DAR-DIA-23a-8
Cc1ccncc1NC(=O)Cc1ccc2nc[nH]c2c1,GAB-REV-70c-18
Cc1ccncc1NC(=O)NCCBr,ALE-HEI-f28-13
Cc1ccncc1NC(=O)CC(C)(C)NC(=O)c1cccc2[nH]ccc12,GAB-REV-70c-6
Cc1ccncc1NC(=O)CNc1ccnc2ccccc12,GAB-REV-70c-4
Cc1ccncc1NC(=O)CN(C)S(=O)(=O)c1cccc2cccnc12,GAB-REV-70c-8
NC(=O)CCN(C(=O)CCl)C1CCS(=O)(=O)C1,DAN-PUR-678-2
CCC(C)(C)CCN(Cc1ccsc1)C(=O)Cn1nnc2ccccc21,RUT-UNI-630-20
O=C(C1CCCN(c2ccncc2)C1)N1CCCCC1,GIA-UNK-30c-4
O=C(Nc1cnccc1Cl)c1cc(Cl)ccc1O,CHR-SOS-709-10
O=C(Nc1cccnc1)Oc1cc(O)cc(Cl)c1,AGN-NEW-891-2
Nc1cncc(NC(=O)Nc2cccc(Cl)c2)c1,DAR-DIA-23a-13
O=C(NCCN1CCN(C(=O)CCl)CC1)c1cccnc1,STE-KU -2e0-3
N#Cc1ncccc1NC(=O)Cc1cccc(Cl)c1,AGN-NEW-c7b-4
O=C(NCCN1CCN(C(=O)CCl)CC1)c1cccc2ccccc12,STE-KU -2e0-2
O=C(CCl)N(c1cccnc1)C1CCS(=O)(=O)C1,DAN-PUR-390-3
Cc1cc(Cl)cc(NC(=O)Nc2cccnc2)c1,WAR-XCH-eb7-5
Cc1ccc(NC(=O)Cc2cc3cccnc3[nH]2)s1,DAR-DIA-842-18
O=C(NCCNc1ccnc2cc(Cl)ccc12)Nc1ccc(F)cc1,GAB-FAC-880-1
O=C(C1CCCN(c2ccncc2)C1)N1CCOCC1,GIA-UNK-30c-5
N#Cc1cccc(NC(=O)Nc2c[nH]c3ncccc23)c1,DAR-DIA-23a-11
O=C(CC(=O)Nc1ccncc1)Nc1ccccc1,GIA-UNK-3f3-7
Cc1c(N)cncc1NC(=O)Nc1cccc(Cl)c1,TRY-UNI-714-9
