Moonshot ID,SMILES
ALP-POS-05819dc4-1,COC1=C(OCCNC(C2=CC(NC3=C2C=CC=C3)=O)=O)C=C(Cl)C=C1
PET-UNK-bbe8d7ff-2,CC1=CC=NC=C1N(CC#N)C(CC2=CC(Cl)=CC=C2)=O
