SMILES,CID,Comments,,,,
O=C(Cc1ccc(Cl)cc1)Nc1cncc2ccccc12,RAL-THA-2d450e86-2,Z1530720358,Parallel,,,
COc1ccc(CC(=O)Nc2cncc3ccccc23)cc1,RAL-THA-2d450e86-4,Z1530713230,Parallel,,,
N#Cc1ccc(CC(=O)Nc2cncc3ccccc23)cc1,RAL-THA-2d450e86-5,Z1530719670,Parallel,,,
O=C(Cc1ccc(F)c(Cl)c1)Nc1cncc2ccccc12,RAL-THA-2d450e86-6,EN300-192608,Parallel,,,
O=C(Cc1ccc(F)cc1)Nc1cncc2ccccc12,RAL-THA-2d450e86-7,Z1530713253,Parallel,,,
Cc1ccc(CC(=O)Nc2cncc3ccccc23)cc1Cl,RAL-THA-2d450e86-8,EN300-705625,Parallel,,,
O=C(Cc1ccc(Cl)c(F)c1)Nc1cncc2ccccc12,RAL-THA-2d450e86-9,Z1931292079,Parallel,,,
COc1cccc(CC(=O)Nc2cncc3ccccc23)c1,RAL-THA-2d450e86-11,Z1530713684,Parallel,,,
Cc1cccc(CC(=O)Nc2cncc3ccccc23)c1,RAL-THA-2d450e86-13,Z1530724790,Parallel,,,
O=C(Cc1cc(F)cc(Cl)c1)Nc1cncc2ccccc12,RAL-THA-2d450e86-14,EN300-223838,Parallel,,,
O=C(Cc1cc(F)cc(F)c1)Nc1cncc2ccccc12,RAL-THA-2d450e86-16,EN300-254581,Parallel,,,
O=C(Cc1cccc(Cl)c1F)Nc1cncc2ccccc12,RAL-THA-2d450e86-19,EN300-159890,Parallel,,,
CCOc1c(Cl)cccc1CC(=O)Nc1cncc2ccccc12,MAT-POS-fce787c2-1,Z1840536621,Parallel,,,
O=C(Cc1cccc(F)c1F)Nc1cncc2ccccc12,RAL-THA-2d450e86-23,Z1530714700,Parallel,,,
O=C(Cc1cc(Cl)ccc1Cl)Nc1cncc2ccccc12,RAL-THA-2d450e86-24 ,EN300-220686,Parallel,,,
O=C(Cc1cncc(Cl)c1)Nc1cncc2ccccc12,RAL-THA-2d450e86-30,EN300-6766647,Parallel,,,
O=C(Cc1ccc(C(F)(F)F)cc1)Nc1cncc2ccccc12,RAL-THA-2d450e86-32,EN300-23932,Parallel,,,
O=C(Cc1ccc(Cl)cn1)Nc1cncc2ccccc12,RAL-THA-2d450e86-33,Z2033493111,Parallel,,,
O=C(Cc1cncc(F)c1)Nc1cncc2ccccc12,RAL-THA-2d450e86-35,EN300-103168,Parallel,,,
O=C(Cc1ccccc1Cl)Nc1cncc2ccccc12,RAL-THA-2d450e86-36,Z1530713701,Parallel,,,
O=C(Cc1ccccc1F)Nc1cncc2ccccc12,RAL-THA-2d450e86-37,Z1530721970,Parallel,,,
Cc1ccccc1CC(=O)Nc1cncc2ccccc12,RAL-THA-2d450e86-38,EN300-21579,Parallel,,,
COc1ccccc1CC(=O)Nc1cncc2ccccc12,RAL-THA-2d450e86-39,EN300-20940,Parallel,,,
O=C(CC1C=C(Cl)C=C(Cl)C=1)NC1=CN=CC2=CC=CC=C12,MAT-POS-fce787c2-2,EN300-113274,Parallel,,,
O=C(NC1C2C(=CC=CC=2)C=NC=1)C(C)C1C=C(Cl)C(Cl)=CC=1,MAT-POS-fce787c2-3,EN300-97341,Parallel,,,
O=C(NC1C2C(=CC=CC=2)C=NC=1)C(O)C1C=C(Cl)C(Cl)=CC=1,MAT-POS-fce787c2-4,"EN300-175447, likely requires protection",Parallel,,,
O=C(NC1C2C(=CC=CC=2)C=NC=1)C(NC)C1C=C(Cl)C(Cl)=CC=1,MAT-POS-fce787c2-5,"EN300-63922, may require protection",Parallel,,,
O=C(NC1C2C(=CC=CC=2)C=NC=1)C(F)(F)C1C=C(Cl)C(Cl)=CC=1,MAT-POS-fce787c2-6,EN300-127706,Parallel,,,
O=C(NC1C2C(=CC=CC=2)C=NC=1)C(C)(N)C1C=C(Cl)C(Cl)=CC=1,MAT-POS-fce787c2-7,EN300-142546,Parallel,,,
O=C(NC1C2C(=CC=CC=2)C=NC=1)C(C#N)C1C=C(Cl)C(Cl)=CC=1,MAT-POS-fce787c2-8,EN300-373664,Parallel,,,
O=C(NC1C2C(=CC=CC=2)C=NC=1)C(C)(NC)C1C=C(Cl)C(Cl)=CC=1,MAT-POS-fce787c2-9,EN300-153018,Parallel,,,
O=C(NC1C2C(=CC=CC=2)C=NC=1)C(NCCN(C)C)C1C=C(Cl)C(Cl)=CC=1,MAT-POS-fce787c2-10,EN300-60354,Parallel,,,
O=C(NC1C2C(=CC=CC=2)C=NC=1)C(CO)C1C=C(Cl)C(Cl)=CC=1,MAT-POS-fce787c2-11,"EN300-207302, may require protection",Parallel,,,
O=C(Nc1cncc2ccccc12)C1CCOc2cc(Cl)c(Cl)cc21,ALP-POS-869ac754-1,EN300-203678,,,,
O=C(Nc1cncc2ccccc12)C1CCOc2c1ccc(Cl)c2Cl,ALP-POS-869ac754-2,EN300-53437,,,,
O=C(Nc1cncc2ccccc12)C1CCOc2c(Cl)cc(Cl)cc21,ALP-UNI-3735e77e-2 ,EN300-29668,,,,
O=C(Nc1cncc2ccccc12)C1CCOc2cc(F)c(Cl)cc21,ALP-POS-d91e0300,EN300-300005,,,,
O=C(Nc1cncc2ccccc12)C1CCNc2cc(Cl)c(Cl)cc21,ALP-UNI-3735e77e-4,see email  ,,,,
