SMILES,ID,
CNC(=O)C(C)(C)N1CC(C(=O)Nc2cncc3cc(S(C)(=O)=O)ccc23)c2cc(Cl)ccc2C1=O,EDJ-MED-d165ed91-1,
CNC(=O)C1(N2CC(C(=O)Nc3cncc4cc(S(C)(=O)=O)ccc34)c3cc(Cl)ccc3C2=O)CC1,EDJ-MED-d165ed91-2,
Cc1nc(CN2CC(C(=O)Nc3cncc4cc(S(C)(=O)=O)ccc34)c3cc(Cl)ccc3C2=O)c[nH]1,EDJ-MED-41558c53-6,
CS(=O)(=O)NCCN1CC(C(=O)Nc2cncc3cc(S(C)(=O)=O)ccc23)c2cc(Cl)ccc2C1=O,EDJ-MED-41558c53-8,
CS(=O)(=O)c1ccc2c(NC(=O)C3CN(CCO)C(=O)c4ccc(Cl)cc43)cncc2c1,EDJ-MED-41558c53-10,
CC(C)(O)CN1CC(C(=O)Nc2cncc3cc(S(C)(=O)=O)ccc23)c2cc(Cl)ccc2C1=O,EDJ-MED-41558c53-12,
CS(=O)(=O)c1ccc2c(NC(=O)C3CN(CC4(O)CC4)C(=O)c4ccc(Cl)cc43)cncc2c1,EDJ-MED-41558c53-14,
CCS(=O)(=O)Nc1ccc2c(NC(=O)C3CN(S(=O)(=O)CC4(C#N)CC4)Cc4ccc(Cl)cc43)cncc2c1,MAT-POS-22373164-2,
CC(C)S(=O)(=O)Nc1ccc2c(NC(=O)C3CN(S(=O)(=O)CC4(C#N)CC4)Cc4ccc(Cl)cc43)cncc2c1,MAT-POS-22373164-3,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4cc(NS(=O)(=O)C5CC5)ccc34)C2)CC1,MAT-POS-22373164-4,
O=C1N(c2cncc3ccccc23)CCC12CNS(=O)(=O)c1ccc(Cl)cc12,ALP-POS-4483ae88-1,
CNC(=O)CN1CC2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2S1(=O)=O,ALP-POS-4483ae88-2,
CNC(=O)CN1CC(C(=O)Nc2cncc3c2CCCC3)c2cc(Cl)ccc2C1=O,ALP-POS-4483ae88-3,
O=C(Nc1cncc2c1CCCC2)C1CNS(=O)(=O)c2ccc(Cl)cc21,ALP-POS-4483ae88-4,
CNC(CN1C[C@@H](C(Nc2c3ccc(Cl)cc3cnc2)=O)c4cc(Cl)ccc4C1=O)=O,LUO-POS-edefcc0e-1,
CNC(CN1C[C@@H](c2c(C1=O)ccc(Cl)c2)C(Nc(cnc3)c4c3cc(Cl)cc4)=O)=O,LUO-POS-74179f4f-1,
COCCN1CC(C)(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2S1(=O)=O,LUO-POS-e3baa4d7-1,
CC1(C(=O)Nc2cncc3ccccc23)CN(CC2CC2)S(=O)(=O)c2ccc(Cl)cc21,LUO-POS-66f38ea0-1,
CC1(C(=O)Nc2cncc3ccccc23)CN(CC2COC2)S(=O)(=O)c2ccc(Cl)cc21,LUO-POS-3b937086-1,
CNC(C1(CC1)N2C(c3c(C(C2)C(Nc(cnc4)c5c4cccc5)=O)cc(Cl)cc3)=O)=O,EDJ-MED-12c4873b-2,
CNC(C(C)(N1C(c2c(C(C1)C(Nc(cnc3)c4c3cccc4)=O)cc(Cl)cc2)=O)C)=O,EDJ-MED-12c4873b-4,
