SMILES,external_ID,purity,volume(uL),concentration(mM),% Inhibition at 20 uM (N=1),% Inhibition at 20 uM (N=2),% Inhibition at 50 uM (N=1),% Inhibition at 50 uM (N=2),% Inhibition at 100 uM (N=1),% Inhibition at 100 uM (N=2),location,CID
O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1,LON-WEI-8f4-11,100.0,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,oxford,LON-WEI-8f408cad-11
COc1ccc2[nH]cc(CCNS(C)(=O)=O)c2c1,MAR-UNI-9ca-1,100.0,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,oxford,MAR-UNI-9ca61fdc-1
Cc1ccnc(NC(=O)Cc2ccc3ccccc3c2)c1,ÁLV-UNI-7ff-45,96.93,40,10.0,No Inhibition,No Inhibition,,,12.32724119,9.739704207,oxford,ALV-UNI-7ff1a6f9-45
CC(=O)N1CCN(S(=O)(=O)c2cccs2)CC1,MAK-UNK-643-1,92.56,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,oxford,MAK-UNK-6435e6c2-1
CC(C)N(C)C(=O)C1CCN(C(=O)CCl)CC1,VIR-GIT-7b3-3,96.19,40,10.0,1.703128496,-1.898356554,,,33.47429688,38.2129149,oxford,VIR-GIT-7b3d3065-3
O=C(Nc1ccccc1Cl)c1cc(Cl)ccc1O,CHR-SOS-709-4,100.0,40,10.0,7.872320858,6.417234267,,,21.83379133,20.13179645,oxford,CHR-SOS-7098f804-4
O=C(CCl)N1CCC(C(=O)N2CCCCC2)CC1,VIR-GIT-7b3-2,97.83,40,10.0,0.346926102,0.664886689,,,27.35771632,26.47806559,oxford,VIR-GIT-7b3d3065-2
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,ALE-UNK-fca-2,95.0,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,oxford,ALE-UNK-fca05062-2
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,ANT-OPE-47f-1,95.0,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,oxford,ANT-OPE-47f3bb65-1
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,ALE-UNK-fca-1,95.0,40,10.0,No Inhibition,No Inhibition,,,57.05763822,63.61075357,oxford,ALE-UNK-fca05062-1
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,ALE-ACE-261-1,95.0,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,oxford,ALE-ACE-2610ee4d-1
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,GER-UNI-05c-1,100.0,40,10.0,1.788134282,2.543831552,,,33.45676343,35.37433153,oxford,GER-UNI-05c7e912-1
CCC(=O)O[C@@H](OP(=O)(CCCCc1ccccc1)CC(=O)N1C[C@H](C2CCCCC2)C[C@H]1C(=O)O)C(C)C,LON-WEI-b8d-5,100.0,40,10.0,2.274433099,4.067376201,,,15.96528206,15.37919931,oxford,LON-WEI-b8d98729-5
CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,JOH-MSK-ec6-2,100.0,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,oxford,JOH-MSK-ec639444-2
N#Cc1ccc(CNC(=O)Cc2c[nH]c3ncccc23)nc1,TRY-UNI-1fd-12,100.0,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,oxford,TRY-UNI-1fd04853-12
O=C(Cc1c[nH]c2ncccc12)NCc1ccc(Cl)cn1,TRY-UNI-1fd-11,100.0,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,oxford,TRY-UNI-1fd04853-11
N#Cc1cccc(NC(=O)Cc2c[nH]c3ncccc23)c1,DAR-DIA-23a-1,100.0,40,10.0,No Inhibition,No Inhibition,,,12.57139807,15.20562133,oxford,DAR-DIA-23aa0b97-1
CC(=O)N1CCN(CC(=O)Nc2cccc(S(N)(=O)=O)c2)CC1,JAN-GHE-1d9-7,,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,oxford,JAN-GHE-1d98ec1c-7
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d-39,100.0,40,10.0,21.99163051,25.87585964,,,100,100,oxford,LON-WEI-b8d98729-39
C=CC(=O)N(c1ccc(C(C)(C)CC)cc1)C(C(=O)Nc1ccc(Br)cc1)c1cccnc1,LON-WEI-b8d-35,83.38,40,10.0,No Inhibition,No Inhibition,,,31.6458159,41.23043236,oxford,LON-WEI-b8d98729-35
C=CC(=O)N(c1ccc(SC)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-b8d-6,100.0,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,oxford,LON-WEI-b8d98729-6
C=CC(=O)N(c1ccc(SC)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d-40,95.45,40,10.0,No Inhibition,No Inhibition,,,18.83863864,19.04644876,oxford,LON-WEI-b8d98729-40
C=CC(=O)N(c1ccc(S(F)(F)(F)(F)F)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-b8d-7,82.44,40,10.0,5.125970937,7.956594124,,,56.16009934,57.9157147,oxford,LON-WEI-b8d98729-7
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,LON-WEI-b8d-44,95.87,40,10.0,3.006029467,2.134875839,,,13.96804189,15.38348104,oxford,LON-WEI-b8d98729-44
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d-42,83.25,40,10.0,No Inhibition,No Inhibition,,,78.26964523,81.54390512,oxford,LON-WEI-b8d98729-42
