SMILES,external_ID,purity,volume(uL),concentration(mM),% Inhibition at 20 uM (N=1),% Inhibition at 20 uM (N=2),% Inhibition at 50 uM (N=1),% Inhibition at 50 uM (N=2),% Inhibition at 100 uM (N=1),% Inhibition at 100 uM (N=2),location,CID
CC(C)N(C)C(=O)C1CCN(C(=O)CCl)CC1,VIR-GIT-7b3-3,96.19,40,10.0,1.703128496,-1.898356554,,,33.47429688,38.2129149,weizmann,VIR-GIT-7b3d3065-3
O=C(Nc1ccccc1Cl)c1cc(Cl)ccc1O,CHR-SOS-709-4,100.0,40,10.0,7.872320858,6.417234267,,,21.83379133,20.13179645,weizmann,CHR-SOS-7098f804-4
O=C(CCl)N1CCC(C(=O)N2CCCCC2)CC1,VIR-GIT-7b3-2,97.83,40,10.0,0.346926102,0.664886689,,,27.35771632,26.47806559,weizmann,VIR-GIT-7b3d3065-2
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,ALE-UNK-fca-2,95.0,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,weizmann,ALE-UNK-fca05062-2
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,ANT-OPE-47f-1,95.0,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,weizmann,ANT-OPE-47f3bb65-1
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,ALE-UNK-fca-1,95.0,40,10.0,No Inhibition,No Inhibition,,,57.05763822,63.61075357,weizmann,ALE-UNK-fca05062-1
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,ALE-ACE-261-1,95.0,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,weizmann,ALE-ACE-2610ee4d-1
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,GER-UNI-05c-1,100.0,40,10.0,1.788134282,2.543831552,,,33.45676343,35.37433153,weizmann,GER-UNI-05c7e912-1
CCC(=O)O[C@@H](OP(=O)(CCCCc1ccccc1)CC(=O)N1C[C@H](C2CCCCC2)C[C@H]1C(=O)O)C(C)C,LON-WEI-b8d-5,100.0,40,10.0,2.274433099,4.067376201,,,15.96528206,15.37919931,weizmann,LON-WEI-b8d98729-5
CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,JOH-MSK-ec6-2,100.0,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,weizmann,JOH-MSK-ec639444-2
N#Cc1ccc(CNC(=O)Cc2c[nH]c3ncccc23)nc1,TRY-UNI-1fd-12,100.0,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,weizmann,TRY-UNI-1fd04853-12
O=C(Cc1c[nH]c2ncccc12)NCc1ccc(Cl)cn1,TRY-UNI-1fd-11,100.0,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,weizmann,TRY-UNI-1fd04853-11
N#Cc1cccc(NC(=O)Cc2c[nH]c3ncccc23)c1,DAR-DIA-23a-1,100.0,40,10.0,No Inhibition,No Inhibition,,,12.57139807,15.20562133,weizmann,DAR-DIA-23aa0b97-1
CC(=O)N1CCN(CC(=O)Nc2cccc(S(N)(=O)=O)c2)CC1,JAN-GHE-1d9-7,,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,weizmann,JAN-GHE-1d98ec1c-7
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d-39,100.0,40,10.0,21.99163051,25.87585964,,,100,100,weizmann,LON-WEI-b8d98729-39
C=CC(=O)N(c1ccc(C(C)(C)CC)cc1)C(C(=O)Nc1ccc(Br)cc1)c1cccnc1,LON-WEI-b8d-35,83.38,40,10.0,No Inhibition,No Inhibition,,,31.6458159,41.23043236,weizmann,LON-WEI-b8d98729-35
C=CC(=O)N(c1ccc(SC)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-b8d-6,100.0,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,weizmann,LON-WEI-b8d98729-6
C=CC(=O)N(c1ccc(SC)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d-40,95.45,40,10.0,No Inhibition,No Inhibition,,,18.83863864,19.04644876,weizmann,LON-WEI-b8d98729-40
C=CC(=O)N(c1ccc(S(F)(F)(F)(F)F)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-b8d-7,82.44,40,10.0,5.125970937,7.956594124,,,56.16009934,57.9157147,weizmann,LON-WEI-b8d98729-7
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,LON-WEI-b8d-44,95.87,40,10.0,3.006029467,2.134875839,,,13.96804189,15.38348104,weizmann,LON-WEI-b8d98729-44
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d-42,83.25,40,10.0,No Inhibition,No Inhibition,,,78.26964523,81.54390512,weizmann,LON-WEI-b8d98729-42
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d-45,91.75,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,weizmann,LON-WEI-b8d98729-45
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d-8,92.79,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,weizmann,LON-WEI-b8d98729-8
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1ccc(Br)cc1)c1cccnc1,LON-WEI-b8d-9,96.22,40,10.0,No Inhibition,6.1085585,,,49.53443043,55.65488425,weizmann,LON-WEI-b8d98729-9
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-b8d-10,100.0,40,10.0,No Inhibition,No Inhibition,,,26.39939083,29.14276682,weizmann,LON-WEI-b8d98729-10
C=CC(=O)N(c1ccc(SC)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,LON-WEI-b8d-47,98.34,40,10.0,No Inhibition,No Inhibition,,,39.96429994,41.44043641,weizmann,LON-WEI-b8d98729-47
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,LON-WEI-b8d-11,83.0,40,10.0,No Inhibition,No Inhibition,,,17.34633715,18.32537073,weizmann,LON-WEI-b8d98729-11
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d-48,100.0,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,weizmann,LON-WEI-b8d98729-48
C=CC(=O)N(c1ccc(S(F)(F)(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,LON-WEI-b8d-12,91.96,40,10.0,9.47667232,11.22967265,,,69.15248347,76.665361,weizmann,LON-WEI-b8d98729-12
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d-43,96.7,40,10.0,14.89473749,13.7230718,,,81.186481,79.7151649,weizmann,LON-WEI-b8d98729-43
C=CC(=O)N(c1ccc(C(C)(C)CC)cc1)C(C(=O)Nc1cccc(F)c1C)c1cccnc1,LON-WEI-b8d-36,96.27,40,10.0,3.682800707,3.887371948,,,50.3461767,51.03342982,weizmann,LON-WEI-b8d98729-36
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccccc1Br)c1cccnc1,LON-WEI-b8d-13,96.32,40,10.0,No Inhibition,No Inhibition,,,29.9930728,46.06494602,weizmann,LON-WEI-b8d98729-13
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d-46,87.4,40,10.0,2.979711817,No Inhibition,,,49.37656548,52.91578894,weizmann,LON-WEI-b8d98729-46
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccc(Br)cc1)c1cccnc1,LON-WEI-b8d-14,84.0,40,10.0,No Inhibition,No Inhibition,,,29.35636907,33.44613387,weizmann,LON-WEI-b8d98729-14
C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)Nc1ccccc1Br)c1cccnc1,LON-WEI-b8d-41,86.69,40,10.0,10.07010227,9.129831818,,,60.59281938,65.08280866,weizmann,LON-WEI-b8d98729-41
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,LON-WEI-b8d-15,85.43,40,10.0,6.272858767,7.299247486,,,45.17920649,50.80607417,weizmann,LON-WEI-b8d98729-15
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,LON-WEI-b8d-16,83.0,40,10.0,No Inhibition,No Inhibition,,,18.37278036,31.86744736,weizmann,LON-WEI-b8d98729-16
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1cccc(CC)c1)c1cccnc1,LON-WEI-b8d-17,97.79,40,10.0,4.056763484,4.831844178,,,29.87357651,33.80550657,weizmann,LON-WEI-b8d98729-17
C=CC(=O)N(c1ccc(C(C)C)nc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d-18,98.6,40,10.0,No Inhibition,No Inhibition,,,23.38524609,22.56515352,weizmann,LON-WEI-b8d98729-18
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1ccccc1Br)c1cccnc1,LON-WEI-b8d-19,100.0,40,10.0,No Inhibition,No Inhibition,,,22.00596499,38.61137804,weizmann,LON-WEI-b8d98729-19
C=CC(=O)N(c1cc(C(C)(C)C)n[nH]1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d-20,88.54,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,weizmann,LON-WEI-b8d98729-20
C=CC(=O)N(c1cc(C(C)(C)C)n[nH]1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,LON-WEI-b8d-21,93.0,40,10.0,No Inhibition,No Inhibition,,,8.968581877,15.43893623,weizmann,LON-WEI-b8d98729-21
C=CC(=O)N(c1ccc(C(C)OC)cc1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,LON-WEI-b8d-22,95.75,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,weizmann,LON-WEI-b8d98729-22
C=CC(=O)N(c1cc(C(C)(C)C)on1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-b8d-23,93.92,40,10.0,28.94208297,28.40065431,,,81.08409895,82.25401076,weizmann,LON-WEI-b8d98729-23
C=CC(=O)N(c1ccc(SC)cc1)C(C(=O)Nc1ccc(Cl)cc1)c1cccnc1,LON-WEI-b8d-24,90.57,40,10.0,9.399070065,9.394995275,,,54.67220872,56.33861763,weizmann,LON-WEI-b8d98729-24
C=CC(=O)N(c1ccc2ncsc2c1)C(C(=O)Nc1ccc(OC)cc1)c1cccnc1,LON-WEI-b8d-25,100.0,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,weizmann,LON-WEI-b8d98729-25
C=CC(=O)N(c1ccc(C(C)C)nc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d-26,89.29,40,10.0,No Inhibition,No Inhibition,,,No Inhibition,No Inhibition,weizmann,LON-WEI-b8d98729-26
C=CC(=O)N(c1ccc(S(F)(F)(F)(F)F)cc1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d-28,100.0,40,10.0,No Inhibition,No Inhibition,,,64.0535758,71.87482946,weizmann,LON-WEI-b8d98729-28
C=CC(=O)N(c1ccc(S(F)(F)(F)(F)F)cc1)C(C(=O)Nc1c(C)cccc1CC)c1cccnc1,LON-WEI-b8d-29,90.99,40,10.0,3.405003152,5.979722003,,,77.8393434,89.04634314,weizmann,LON-WEI-b8d98729-29
C=CC(=O)N(c1ccc(N(C)C)c(C)c1)C(C(=O)Nc1ccc(OC)cc1C)c1cccnc1,LON-WEI-b8d-30,100.0,40,10.0,No Inhibition,No Inhibition,,,18.43788214,22.73276203,weizmann,LON-WEI-b8d98729-30
COc1ccc(NC(=O)C2CCN(C(=O)CCl)CC2)cn1,LON-WEI-120e5cf5-1,,20,,3.247517416,,1.216222913,,0.263794338,,weizmann,LON-WEI-120e5cf5-1
O=C(Nc1cccc(-c2cc[nH]n2)c1)C1CCN(C(=O)CCl)CC1,LON-WEI-120e5cf5-2,,20,,8.291350235,,38.02467332,,"No Inhibition, Compound Transfer Fail",,weizmann,LON-WEI-120e5cf5-2
COc1cc(NC(=O)C2CCN(C(=O)CCl)CC2)cc(OC)c1OC,LON-WEI-120e5cf5-3,,20,,No Inhibition,,No Inhibition,,No Inhibition,,weizmann,LON-WEI-120e5cf5-3
O=C(Nc1ccc(N2CCNC2=O)cc1)C1CCN(C(=O)CCl)CC1,LON-WEI-120e5cf5-4,,20,,No Inhibition,,22.3482488,,68.71589822,,weizmann,LON-WEI-120e5cf5-4
CN(C(=O)C1CCN(C(=O)CCl)CC1)c1ccccc1,LON-WEI-120e5cf5-5,,20,,43.44201388,,77.01948373,,86.84609792,,weizmann,LON-WEI-120e5cf5-5
O=C(Nc1cccc(C2=NN=C3CCCCC32)c1)C1CCN(C(=O)CCl)CC1,LON-WEI-120e5cf5-6,,20,,27.40878111,,82.10752822,,100,,weizmann,LON-WEI-120e5cf5-6
Cc1n[nH]c(-c2ccc(C)c(NC(=O)C3CCN(C(=O)CCl)CC3)c2)n1,LON-WEI-120e5cf5-7,,20,,2.961439311,,27.34886003,,64.73101036,,weizmann,LON-WEI-120e5cf5-7
CCCc1n[nH]c(C2CN(C(=O)C3CCN(C(=O)CCl)CC3)CCO2)n1,LON-WEI-120e5cf5-8,,20,,No Inhibition,,No Inhibition,,13.07621986,,weizmann,LON-WEI-120e5cf5-8
O=C(Nc1ccc2c(c1)[nH]c1ccccc12)C1CCN(C(=O)CCl)CC1,LON-WEI-120e5cf5-9,,20,,No Inhibition,,12.54741707,,55.36563113,,weizmann,LON-WEI-120e5cf5-9
CC(=O)c1ccc(NC(=O)C2CCN(C(=O)CCl)CC2)cc1,LON-WEI-120e5cf5-10,,20,,No Inhibition,,6.030576236,,35.58152015,,weizmann,LON-WEI-120e5cf5-10
O=C(Nc1cccnc1)C1CCN(C(=O)CCl)CC1,LON-WEI-120e5cf5-11,,20,,1.411438968,,1.475666695,,9.720026338,,weizmann,LON-WEI-120e5cf5-11
O=C(Nc1ccn(-c2ccccc2)n1)C1CCN(C(=O)CCl)CC1,LON-WEI-120e5cf5-12,,20,,No Inhibition,,No Inhibition,,No Inhibition,,weizmann,LON-WEI-120e5cf5-12
Cc1ccnc(NC(=O)C2CCN(C(=O)CCl)CC2)c1,LON-WEI-120e5cf5-13,,20,,78.01293857,,98.82359499,,97.92532965,,weizmann,LON-WEI-120e5cf5-13
O=C(Nc1cc(Cl)nc2ccccc12)C1CCN(C(=O)CCl)CC1,LON-WEI-120e5cf5-14,,20,,10.63428629,,40.87265762,,77.7648566,,weizmann,LON-WEI-120e5cf5-14
C=CC(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NC(C)(C)C)c1cccnc1,LON-WEI-8f4-8,,20,,No Inhibition,,47.58244738,,100,,weizmann,LON-WEI-8f408cad-8
O=C(Nc1ccccc1)C1CCN(C(=O)CCl)CC1,LON-WEI-120e5cf5-15,,20,,No Inhibition,,No Inhibition,,12.2071806,,weizmann,LON-WEI-120e5cf5-15
O=C(Nc1ccccc1Br)C1CCN(C(=O)CCl)CC1,LON-WEI-120e5cf5-16,,20,,1.435986698,,No Inhibition,,0.586990829,,weizmann,LON-WEI-120e5cf5-16
COc1ccc(NC(=O)C2CCN(C(=O)CCl)CC2)cn1,LON-WEI-120e5cf5-1,,20,,No Inhibition,,4.959626044,,31.86899971,,weizmann,LON-WEI-120e5cf5-1
O=C(Nc1c[nH]c2ccc(Br)cc12)C1CCN(C(=O)CCl)CC1,LON-WEI-120e5cf5-18,,20,,73.6092863,,100,,100,,weizmann,LON-WEI-120e5cf5-18
CC(=O)c1cccc(NC(=O)C2CCN(C(=O)CCl)CC2)c1,LON-WEI-120e5cf5-19,,20,,3.694324279,,13.72044496,,37.1572196,,weizmann,LON-WEI-120e5cf5-19
O=C(Nc1ccc(Cl)cc1)C1CCN(C(=O)CCl)CC1,LON-WEI-120e5cf5-20,,20,,No Inhibition,,No Inhibition,,9.634665223,,weizmann,LON-WEI-120e5cf5-20
Cc1cccnc1NC(=O)C1CCN(C(=O)CCl)CC1,LON-WEI-120e5cf5-21,,20,,No Inhibition,,No Inhibition,,No Inhibition,,weizmann,LON-WEI-120e5cf5-21
