CDD_ID,registration_SMILES,batch_number,batch_ID,shipment_SMILES,suspected_SMILES,why_suspected_SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Standard Deviation (±),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Count,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg pIC50
CVD-0020159,Clc1ccc2c(c1)C1(CCN(C1=O)c1cncc3ccccc13)CN(CC(=O)NCC1CC1)S2(=O)=O,1,LUO-POS-e1dab717-12,ClC=1C=CC2=C(C1)C3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)CN(CC(=O)NCC6CC6)S2(=O)=O,O=C(CN1CC2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2S1(=O)=O)NCC1CC1,shipment_SMILES,0.203,0.203,,1,6.7
CVD-0020158,CCNC(=O)CN1CC2(CCN(C2=O)c2cncc3ccccc23)c2cc(Cl)ccc2S1(=O)=O,1,LUO-POS-e1dab717-11,CCNC(=O)CN1CC2(CCN(C2=O)C=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5S1(=O)=O,CCNC(=O)CN1CC2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2S1(=O)=O,shipment_SMILES,0.275,0.275,,1,6.6
CVD-0020155,CNC(=O)C1(CC1)N1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3ccc(OCCN(C)C)cc23)C1,1,LUO-POS-e1dab717-7,CNC(=O)C1(CC1)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC(OCCN(C)C)=CC56)C2,CNC(=O)C1(N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCN(C)C)cc45)C3=O)C2)CC1,shipment_SMILES,,,,,
CVD-0020128,CNC(=O)C1(CC1)N1C[C@@]2(CCN(C2=O)c2cncc3ccccc23)c2cc(Cl)ccc2C1=O,1,MAT-POS-e48723dc-2,"CNC(=O)C1(CC1)N2C[C@@]3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C=6C=C(Cl)C=CC6C2=O |o1:9,r|",CNC(=O)C1(N2C[C@@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1 |o1:7|,shipment_SMILES,< 0.0500,< 0.0500,,1,> 7.3
CVD-0020127,CNC(=O)C1(CC1)N1C[C@]2(CCN(C2=O)c2cncc3ccccc23)c2cc(Cl)ccc2C1=O,1,MAT-POS-e48723dc-1,"CNC(=O)C1(CC1)N2C[C@]3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C=6C=C(Cl)C=CC6C2=O |o1:9,r|",CNC(=O)C1(N2C[C@]3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1 |o1:7|,shipment_SMILES,55.5,55.5,,1,4.3
CVD-0020073,CN(C)CCOc1ccc2cncc(N3CC[C@]4(CN(Cc5ccc(Cl)cc45)S(=O)(=O)CC4(CC4)C#N)C3=O)c2c1,1,LUO-POS-8484f2d3-2,"CN(C)CCOC=1C=CC=2C=NC=C(N3CC[C@]4(CN(CC=5C=CC(Cl)=CC54)S(=O)(=O)CC6(CC6)C#N)C3=O)C2C1 |o1:17,r|",CN(C)CCOc1ccc2cncc(N3CC[C@]4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1 |o1:17|,shipment_SMILES,,,,,
CVD-0020072,CN(C)CCOc1ccc2cncc(N3CC[C@@]4(CN(Cc5ccc(Cl)cc45)S(=O)(=O)CC4(CC4)C#N)C3=O)c2c1,1,LUO-POS-8484f2d3-1,"CN(C)CCOC=1C=CC=2C=NC=C(N3CC[C@@]4(CN(CC=5C=CC(Cl)=CC54)S(=O)(=O)CC6(CC6)C#N)C3=O)C2C1 |o1:17,r|",CN(C)CCOc1ccc2cncc(N3CC[C@@]4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1 |o1:17|,shipment_SMILES,,,,,
CVD-0020069,CNC(=O)CN1C[C@@]2(CCN(C2=O)c2cncc3ccccc23)c2cc(Cl)ccc2C1=O,1,LUO-POS-9931618f-2,"CNC(=O)CN1C[C@@]2(CCN(C2=O)C=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C1=O |o1:7,r|","CNC(=O)CN1C[C@@]2(CCN(C2=O)C=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C1=O |o1:7,r|",shipment_SMILES,,0.0528,,1,7.3
CVD-0020054,Clc1ccc2CN(CC3(CCN(C3=O)c3cncc4ccc(OCCN5CCOCC5)cc34)c2c1)S(=O)(=O)CC1(CC1)C#N,1,EDJ-MED-468565e0-2,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC(OCCN6CCOCC6)=CC45)C2C1)S(=O)(=O)CC7(CC7)C#N,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCN6CCOCC6)cc45)C3=O)C2)CC1,shipment_SMILES,,,,,
CVD-0020053,Clc1ccc2CN(CC3(CCN(C3=O)c3cncc4ccc(OCCN5CCCC5)cc34)c2c1)S(=O)(=O)CC1(CC1)C#N,1,EDJ-MED-468565e0-1,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC(OCCN6CCCC6)=CC45)C2C1)S(=O)(=O)CC7(CC7)C#N,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCN6CCCC6)cc45)C3=O)C2)CC1,shipment_SMILES,,,,,
CVD-0020051,Clc1ccc2CN(CC3(CCN(C3=O)c3cncc4ccc(Cl)cc34)c2c1)S(=O)(=O)CC1(CC1)C#N,1,EDJ-MED-b6c6ee2b-4,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC(Cl)=CC45)C2C1)S(=O)(=O)CC6(CC6)C#N,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(Cl)cc45)C3=O)C2)CC1,shipment_SMILES,,,,,
CVD-0020050,COc1ccc2cncc(N3CCC4(CN(Cc5ccc(Cl)cc45)S(=O)(=O)CC4(CC4)C#N)C3=O)c2c1,1,EDJ-MED-b6c6ee2b-3,COC=1C=CC=2C=NC=C(N3CCC4(CN(CC=5C=CC(Cl)=CC54)S(=O)(=O)CC6(CC6)C#N)C3=O)C2C1,COc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,shipment_SMILES,0.215,0.215,,1,6.7
CVD-0020049,CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3ccc(OC)cc23)C1,1,EDJ-MED-b6c6ee2b-2,CNC(=O)CN1CC=2C=CC(Cl)=CC2C3(CCN(C3=O)C=4C=NC=C5C=CC(OC)=CC45)C1,CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccc(OC)cc34)C2=O)C1,shipment_SMILES,0.153,0.153,,1,6.8
CVD-0020048,Clc1ccc2CN(CC3(CCN(C3=O)c3cncc4ccc(OCCCN5CCCC5)cc34)c2c1)S(=O)(=O)CC1(CC1)C#N,1,MAT-POS-40ad851a-5,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC(OCCCN6CCCC6)=CC45)C2C1)S(=O)(=O)CC7(CC7)C#N,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCCN6CCCC6)cc45)C3=O)C2)CC1,shipment_SMILES,,,,,
CVD-0020047,CN(C)CCCOc1ccc2cncc(N3CCC4(CN(Cc5ccc(Cl)cc45)S(=O)(=O)CC4(CC4)C#N)C3=O)c2c1,1,MAT-POS-40ad851a-4,CN(C)CCCOC=1C=CC=2C=NC=C(N3CCC4(CN(CC=5C=CC(Cl)=CC54)S(=O)(=O)CC6(CC6)C#N)C3=O)C2C1,CN(C)CCCOc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,shipment_SMILES,,,,,
CVD-0020046,CCN(CC)CCOc1ccc2cncc(N3CCC4(CN(Cc5ccc(Cl)cc45)S(=O)(=O)CC4(CC4)C#N)C3=O)c2c1,1,MAT-POS-40ad851a-3,CCN(CC)CCOC=1C=CC=2C=NC=C(N3CCC4(CN(CC=5C=CC(Cl)=CC54)S(=O)(=O)CC6(CC6)C#N)C3=O)C2C1,CCN(CC)CCOc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,shipment_SMILES,,,,,
CVD-0020045,CCN(C)CCOc1ccc2cncc(N3CCC4(CN(Cc5ccc(Cl)cc45)S(=O)(=O)CC4(CC4)C#N)C3=O)c2c1,1,MAT-POS-40ad851a-2,CCN(C)CCOC=1C=CC=2C=NC=C(N3CCC4(CN(CC=5C=CC(Cl)=CC54)S(=O)(=O)CC6(CC6)C#N)C3=O)C2C1,CCN(C)CCOc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,shipment_SMILES,,,,,
CVD-0020033,FC(F)(F)C1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(C3=O)c3cncc4ccccc34)C2)CC1,1,EDJ-MED-5cd3920d-6,FC(F)(F)C1(CS(=O)(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC=CC56)C2)CC1,O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)CC1(C(F)(F)F)CC1)Cc1ccc(Cl)cc12,shipment_SMILES,0.157,0.157,,1,6.8
CVD-0020032,FC(F)C1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(C3=O)c3cncc4ccccc34)C2)CC1,1,EDJ-MED-5cd3920d-5,FC(F)C1(CS(=O)(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC=CC56)C2)CC1,O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)CC1(C(F)F)CC1)Cc1ccc(Cl)cc12,shipment_SMILES,0.155,0.155,,1,6.8
CVD-0020029,FC(F)c1ccc2cncc(N3CCC4(CN(Cc5ccc(Cl)cc45)S(=O)(=O)CC4(CC4)C#N)C3=O)c2c1,1,EDJ-MED-5cd3920d-2,FC(F)C=1C=CC=2C=NC=C(N3CCC4(CN(CC=5C=CC(Cl)=CC54)S(=O)(=O)CC6(CC6)C#N)C3=O)C2C1,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(C(F)F)cc45)C3=O)C2)CC1,shipment_SMILES,,,,,
CVD-0019991,CCC1CN(C(=O)C11CN(Cc2ccc(Cl)cc12)S(=O)(=O)CC1(CC1)C#N)c1cncc2ccccc12,1,MAT-POS-50a80394-2,CCC1CN(C(=O)C21CN(CC=3C=CC(Cl)=CC32)S(=O)(=O)CC4(CC4)C#N)C=5C=NC=C6C=CC=CC56,CCC1CN(c2cncc3ccccc23)C(=O)C12CN(S(=O)(=O)CC1(C#N)CC1)Cc1ccc(Cl)cc12,shipment_SMILES,0.0744,0.0744,,1,7.1
CVD-0019990,CC1CN(C(=O)C11CN(Cc2ccc(Cl)cc12)S(=O)(=O)CC1(CC1)C#N)c1cncc2ccccc12,1,MAT-POS-50a80394-1,CC1CN(C(=O)C21CN(CC=3C=CC(Cl)=CC32)S(=O)(=O)CC4(CC4)C#N)C=5C=NC=C6C=CC=CC56,CC1CN(c2cncc3ccccc23)C(=O)C12CN(S(=O)(=O)CC1(C#N)CC1)Cc1ccc(Cl)cc12,shipment_SMILES,0.107,0.107,,1,7.0
CVD-0019987,Clc1ccc2CN(CC3(CCN(C3=O)c3cncc4ccccc34)c2c1)C(=O)c1ccnn1C1CC1,1,MAT-POS-be048f2c-7,ClC=1C=CC=2CN(CC3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1)C(=O)C6=CC=NN6C7CC7,O=C(c1ccnn1C1CC1)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,shipment_SMILES,0.163,0.163,,1,6.8
CVD-0019986,CC(C)n1nccc1C(=O)N1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3ccccc23)C1,1,MAT-POS-be048f2c-6,CC(C)N1N=CC=C1C(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC=CC56)C2,CC(C)n1nccc1C(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,shipment_SMILES,0.268,0.268,,1,6.6
CVD-0019985,CCn1nccc1C(=O)N1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3ccccc23)C1,1,MAT-POS-be048f2c-5,CCN1N=CC=C1C(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC=CC56)C2,CCn1nccc1C(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,shipment_SMILES,0.297,0.297,,1,6.5
CVD-0019959,Clc1ccc2CN(Cc3nncs3)CC3(CCN(C3=O)c3cncc4ccccc34)c2c1,1,PET-UNK-7e9559de-4,ClC=1C=CC=2CN(CC3=NN=CS3)CC4(CCN(C4=O)C=5C=NC=C6C=CC=CC56)C2C1,O=C1N(c2cncc3ccccc23)CCC12CN(Cc1nncs1)Cc1ccc(Cl)cc12,shipment_SMILES,,,,,
CVD-0019953,Cc1cc(C(=O)N2Cc3ccc(Cl)cc3C3(CCN(C3=O)c3cncc4ccccc34)C2)n(C)n1,1,EDJ-MED-cc48ee33-5,CC=1C=C(C(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC=CC56)C2)N(C)N1,Cc1cc(C(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)n(C)n1,shipment_SMILES,0.464,0.464,,1,6.3
CVD-0019952,Cc1cnn(C)c1C(=O)N1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3ccccc23)C1,1,EDJ-MED-cc48ee33-4,CC=1C=NN(C)C1C(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC=CC56)C2,Cc1cnn(C)c1C(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,shipment_SMILES,0.683,0.683,,1,6.2
CVD-0019943,Clc1ccc2CN(CC(C(=O)Nc3nncn3C3CC3)c2c1)S(=O)(=O)CC1(CC1)C#N,1,EDJ-MED-fb79a796-3,ClC=1C=CC=2CN(CC(C(=O)NC3=NN=CN3C4CC4)C2C1)S(=O)(=O)CC5(CC5)C#N,N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3nncn3C3CC3)C2)CC1,shipment_SMILES,55.3,55.3,,1,4.3
CVD-0019936,CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3ccc(OCCN(C)C)cc23)C1,1,MAT-POS-38eb6498-3,CNC(=O)CN1CC=2C=CC(Cl)=CC2C3(CCN(C3=O)C=4C=NC=C5C=CC(OCCN(C)C)=CC45)C1,CNC(=O)CN1CC=2C=CC(Cl)=CC2C3(CCN(C3=O)C=4C=NC=C5C=CC(OCCN(C)C)=CC45)C1,shipment_SMILES,,0.21,,1,6.7
CVD-0019932,Clc1ccc2c(c1)[C@H](CNS2(=O)=O)C(=O)Nc1cncc2CCCCc12,1,MIK-UNK-58cd43d0-1,"ClC=1C=CC2=C(C1)[C@H](CNS2(=O)=O)C(=O)NC=3C=NC=C4CCCCC34 |o1:7,r|",O=C(Nc1cncc2c1CCCC2)[C@H]1CNS(=O)(=O)c2ccc(Cl)cc21 |o1:13|,shipment_SMILES,0.723,0.723,,1,6.1
CVD-0019931,CNC(=O)CN1Cc2ccc(Cl)cc2[C@]2(CCN(C2=O)c2cncc3CCCCc23)C1,1,MIK-UNK-122557fa-1,"CNC(=O)CN1CC=2C=CC(Cl)=CC2[C@]3(CCN(C3=O)C=4C=NC=C5CCCCC45)C1 |o1:14,r|",CNC(=O)CN1Cc2ccc(Cl)cc2[C@]2(CCN(c3cncc4c3CCCC4)C2=O)C1 |o1:14|,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0019930,CNC(=O)CN1Cc2ccc(Cl)cc2[C@@]2(CCN(C2=O)c2cncc3CCCCc23)C1,1,MIK-UNK-1619f2e2-1,"CNC(=O)CN1CC=2C=CC(Cl)=CC2[C@@]3(CCN(C3=O)C=4C=NC=C5CCCCC45)C1 |o1:14,r|",CNC(=O)CN1Cc2ccc(Cl)cc2[C@@]2(CCN(c3cncc4c3CCCC4)C2=O)C1 |o1:14|,shipment_SMILES,0.235,0.235,,1,6.6
CVD-0019929,Clc1ccc2c(c1)[C@@H](CNS2(=O)=O)C(=O)Nc1cncc2CCCCc12,1,MIK-UNK-78dbf1b8-1,"ClC=1C=CC2=C(C1)[C@@H](CNS2(=O)=O)C(=O)NC=3C=NC=C4CCCCC34 |o1:7,r|",O=C(Nc1cncc2c1CCCC2)[C@@H]1CNS(=O)(=O)c2ccc(Cl)cc21 |o1:13|,shipment_SMILES,0.205,0.205,,1,6.7
CVD-0019905,COc1cc(O)c(CC=C(C)C)c(O)c1C(=O)\C=C\c1ccc(O)cc1,1,SAL-UNI-60119594-10,COc1cc(O)c(CC=C(C)C)c(O)c1C(=O)/C=C/c1ccc(O)cc1,COc1cc(O)c(CC=C(C)C)c(O)c1C(=O)/C=C/c1ccc(O)cc1,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0019904,OC[C@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@H]1O,1,SAL-UNI-60119594-9,O=c1c(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,O=c1c(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0019903,COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2oc(cc(=O)c2c1O)-c1ccc(O)cc1,1,SAL-UNI-60119594-8,COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2oc(-c3ccc(O)cc3)cc(=O)c2c1O,COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2oc(-c3ccc(O)cc3)cc(=O)c2c1O,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0019902,C[C@H](C\C=C\C(C)(C)O)[C@H]1CC[C@@]2(C)[C@@H]3C=C[C@@]45OC[C@]3(CC[C@]12C)[C@@H]4CC[C@H](O)C5(C)C,1,SAL-UNI-60119594-7,C[C@H](C/C=C/C(C)(C)O)[C@H]1CC[C@@]2(C)[C@@H]3C=C[C@@]45OC[C@]3(CC[C@]12C)[C@@H]4CC[C@H](O)C5(C)C,C[C@H](C/C=C/C(C)(C)O)[C@H]1CC[C@@]2(C)[C@@H]3C=C[C@@]45OC[C@]3(CC[C@]12C)[C@@H]4CC[C@H](O)C5(C)C,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0019901,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\Cc1cc(O)cc2C(=C(C)C)C(=O)Oc12,1,SAL-UNI-60119594-6,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(O)cc2c1OC(=O)C2=C(C)C,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(O)cc2c1OC(=O)C2=C(C)C,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0019900,CC1=C[C@H]([C@H]([C@@H](C1)c1ccc(O)cc1O)C(=O)c1ccc(O)cc1O)c1c(O)cc(cc1O)-c1cc2ccc(O)cc2o1,1,SAL-UNI-60119594-5,CC1=C[C@@H](c2c(O)cc(-c3cc4ccc(O)cc4o3)cc2O)[C@@H](C(=O)c2ccc(O)cc2O)[C@H](c2ccc(O)cc2O)C1,CC1=C[C@@H](c2c(O)cc(-c3cc4ccc(O)cc4o3)cc2O)[C@@H](C(=O)c2ccc(O)cc2O)[C@H](c2ccc(O)cc2O)C1,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0019899,CC(C)=CCC[C@@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@@]21C,1,SAL-UNI-60119594-4,CC(C)=CCC[C@@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C,CC(C)=CCC[C@@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0019898,C[C@H](C\C=C\C(C)(C)O)[C@H]1CC[C@@]2(C)[C@@H]3C=C[C@]45OC(O)[C@@]3(CC[C@]12C)[C@@H]4CC[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C5(C)C,1,SAL-UNI-60119594-3,C[C@H](C/C=C/C(C)(C)O)[C@H]1CC[C@@]2(C)[C@@H]3C=C[C@]45OC(O)[C@@]3(CC[C@]12C)[C@@H]4CC[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C5(C)C,C[C@H](C/C=C/C(C)(C)O)[C@H]1CC[C@@]2(C)[C@@H]3C=C[C@]45OC(O)[C@@]3(CC[C@]12C)[C@@H]4CC[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C5(C)C,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0019897,COC(C)(C)\C=C\C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C4[C@@H](CC[C@H](O)C4(C)C)[C@@]3(CC[C@]12C)C=O,1,SAL-UNI-60119594-2,COC(C)(C)/C=C/C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C4[C@@H](CC[C@H](O)C4(C)C)[C@]3(C=O)CC[C@]12C,COC(C)(C)/C=C/C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C4[C@@H](CC[C@H](O)C4(C)C)[C@]3(C=O)CC[C@]12C,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0019896,CC(CCC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)C(C)(C)O)C1CCC2(C)C3CC=C4C(CCC(O)C4(C)C)C3(C)C(O)CC12C,1,SAL-UNI-60119594-1,CC(CCC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)C(C)(C)O)C1CCC2(C)C3CC=C4C(CCC(O)C4(C)C)C3(C)C(O)CC12C,CC(CCC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)C(C)(C)O)C1CCC2(C)C3CC=C4C(CCC(O)C4(C)C)C3(C)C(O)CC12C,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0019895,C[C@@H]1[C@@]2(CC[C@@H](C)CO2)O[C@H]2C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@]12O,1,ASA-WEI-839d033f-1,C[C@@H]1[C@@]2(CC[C@@H](C)CO2)O[C@H]2C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@@]21O,C[C@@H]1[C@@]2(CC[C@@H](C)CO2)O[C@H]2C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@@]21O,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0019890,Clc1ccc2OCC[C@@]3(CCCN(C3=O)c3cncc4ccccc34)c2c1,1,MAT-POS-e20a5dfb-2,"ClC=1C=CC=2OCC[C@@]3(CCCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1 |o1:8,r|",O=C1N(c2cncc3ccccc23)CCC[C@@]12CCOc1ccc(Cl)cc12 |o1:16|,shipment_SMILES,0.365,0.365,,1,6.4
CVD-0019889,Clc1ccc2OCC[C@]3(CCCN(C3=O)c3cncc4ccccc34)c2c1,1,MAT-POS-e20a5dfb-1,"ClC=1C=CC=2OCC[C@]3(CCCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1 |o1:8,r|",O=C1N(c2cncc3ccccc23)CCC[C@]12CCOc1ccc(Cl)cc12 |o1:16|,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0019852,CNC(=O)CN1C[C@]2(CCN(C2=O)c2cncc3ccccc23)c2cc(Cl)ccc2C1=O,1,PET-UNK-14142a25-1,"CNC(=O)CN1C[C@]2(CCN(C2=O)C=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C1=O |o1:7,r|","CNC(=O)CN1C[C@]2(CCN(C2=O)C=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C1=O |o1:7,r|",shipment_SMILES,,82.2,,1,4.1
CVD-0019849,CNC(=O)C1(CC1)N1CC2(CCN(C2=O)c2cncc3cc(ccc23)S(C)(=O)=O)c2cc(Cl)ccc2C1=O,1,EDJ-MED-976a33d5-2,CNC(=O)C1(CC1)N2CC3(CCN(C3=O)C=4C=NC=C5C=C(C=CC45)S(=O)(=O)C)C=6C=C(Cl)C=CC6C2=O,CNC(=O)C1(N2CC3(CCN(c4cncc5cc(S(C)(=O)=O)ccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,shipment_SMILES,0.265,0.265,,1,6.6
CVD-0019848,CNC(=O)C1(CC1)N1CC2(CCN(C2=O)c2cncc3ccccc23)c2cc(Cl)ccc2C1=O,1,EDJ-MED-976a33d5-1,CNC(=O)C1(CC1)N2CC3(CCN(C3=O)C=4C=NC=C5C=CC=CC45)C=6C=C(Cl)C=CC6C2=O,CNC(=O)C1(N2CC3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,shipment_SMILES,,0.0904,,1,7.0
