CDD_ID,registration_SMILES,batch_number,batch_ID,shipment_SMILES,suspected_SMILES,why_suspected_SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Standard Deviation (±),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg IC50 (uM) Count,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Avg pIC50
CVD-0014846,O=C(N1CCC(CC1)C1CCNC1)c1cccc(c1)N1CCCNC1=O,1,LON-WEI-b2874fec-9,O=C(N1CCC(CC1)C2CCNC2)C=3C=CC=C(C3)N4CCCNC4=O,O=C(c1cccc(N2CCCNC2=O)c1)N1CCC(C2CCNC2)CC1,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0014845,CC(C)OCc1cc(ccc1F)C(=O)N1CCC(CC1)C1CCNC1,1,LON-WEI-b2874fec-8,CC(C)OCC=1C=C(C=CC1F)C(=O)N2CCC(CC2)C3CCNC3,CC(C)OCc1cc(C(=O)N2CCC(C3CCNC3)CC2)ccc1F,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0014844,CCCOc1c(Cl)cc(cc1OCC)C(=O)N1CCC(CC1)C1CCNC1,1,LON-WEI-b2874fec-7,CCCOC=1C(Cl)=CC(=CC1OCC)C(=O)N2CCC(CC2)C3CCNC3,CCCOc1c(Cl)cc(C(=O)N2CCC(C3CCNC3)CC2)cc1OCC,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0014843,Cc1c(cccc1-c1ccccn1)C(=O)N1CCC(CC1)C1CCNC1,1,LON-WEI-b2874fec-6,CC=1C(=CC=CC1C=2C=CC=CN2)C(=O)N3CCC(CC3)C4CCNC4,Cc1c(C(=O)N2CCC(C3CCNC3)CC2)cccc1-c1ccccn1,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0014842,CN(C)S(=O)(=O)c1cc(cc(C)c1C)C(=O)N1CCC(CC1)C1CCNC1,1,LON-WEI-b2874fec-5,CN(C)S(=O)(=O)C=1C=C(C=C(C)C1C)C(=O)N2CCC(CC2)C3CCNC3,Cc1cc(C(=O)N2CCC(C3CCNC3)CC2)cc(S(=O)(=O)N(C)C)c1C,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0014841,O=C(N1CCC(CC1)C1CCNC1)c1ccc2NC(=O)CCc2c1,1,LON-WEI-b2874fec-4,O=C(N1CCC(CC1)C2CCNC2)C=3C=CC=4NC(=O)CCC4C3,O=C1CCc2cc(C(=O)N3CCC(C4CCNC4)CC3)ccc2N1,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0014840,CS(=O)(=O)Nc1ccc(Cl)cc1C(=O)N1CCC(CC1)C1CCNC1,1,LON-WEI-b2874fec-3,CS(=O)(=O)NC=1C=CC(Cl)=CC1C(=O)N2CCC(CC2)C3CCNC3,CS(=O)(=O)Nc1ccc(Cl)cc1C(=O)N1CCC(C2CCNC2)CC1,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0014839,Cc1ccc(Nc2ccccc2C(=O)N2CCC(CC2)C2CCNC2)cc1,1,LON-WEI-b2874fec-2,CC=1C=CC(NC=2C=CC=CC2C(=O)N3CCC(CC3)C4CCNC4)=CC1,Cc1ccc(Nc2ccccc2C(=O)N2CCC(C3CCNC3)CC2)cc1,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0014838,O=C(N1CCC(CC1)C1CCNC1)c1cccc(CN2CCCC2=O)c1,1,LON-WEI-b2874fec-1,O=C(N1CCC(CC1)C2CCNC2)C=3C=CC=C(CN4CCCC4=O)C3,O=C1CCCN1Cc1cccc(C(=O)N2CCC(C3CCNC3)CC2)c1,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0014829,FS(F)(F)(F)(F)c1cccc(Cc2nc3cnccc3c(=O)[nH]2)c1,1,JOH-UNI-61f30276-3,FS(F)(F)(F)(F)C=1C=CC=C(CC2=NC=3C=NC=CC3C(=O)N2)C1,O=c1[nH]c(Cc2cccc(S(F)(F)(F)(F)F)c2)nc2cnccc12,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0014828,FC(F)(F)c1cccc(Cc2nc3cnccc3c(=O)[nH]2)c1,1,JOH-UNI-61f30276-2,FC(F)(F)C=1C=CC=C(CC2=NC=3C=NC=CC3C(=O)N2)C1,O=c1[nH]c(Cc2cccc(C(F)(F)F)c2)nc2cnccc12,shipment_SMILES,> 99.5,> 99.5,,1,< 4.0
CVD-0014819,Clc1cc(CC(=O)Nc2cncc3ccccc23)cc(c1)-c1nnn[nH]1,1,MAT-POS-281d2ee9-3,ClC=1C=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C=C(C1)C4=NN=NN4,O=C(Cc1cc(Cl)cc(-c2nnn[nH]2)c1)Nc1cncc2ccccc12,shipment_SMILES,21.4,21.4,,1,4.7
CVD-0014818,CC(C(N)=O)c1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,1,MAT-POS-281d2ee9-1,CC(C(=O)N)C=1C=C(Cl)C=C(CC(=O)NC=2C=NC=C3C=CC=CC23)C1,CC(C(N)=O)c1cc(Cl)cc(CC(=O)Nc2cncc3ccccc23)c1,shipment_SMILES,2.62,2.62,,1,5.6
