CID,SMILES,canonical_CID,inchikey,old_CID,short_inchikey
MAK-UNK-0d6072ac-35,C[C@H](C(=O)O)c1cnc2c(c1)[nH]c1ccc(Cl)nc12,MAK-UNK-0d6072ac-35,DZEKCQJVOMMLQP-LURJTMIESA-N,MAK-UNK-0d6-35,DZEKCQJVOMMLQP
MAK-UNK-0d6072ac-36,C[C@H](C(=O)O)c1ccc2c(n1)[nH]c1ncc(Cl)cc12,MAK-UNK-0d6072ac-36,AGWYPZRFUUEUTC-LURJTMIESA-N,MAK-UNK-0d6-36,AGWYPZRFUUEUTC
MAK-UNK-0d6072ac-37,C[C@H](C(=O)O)c1ccc2c(n1)[nH]c1ccc(Cl)nc12,MAK-UNK-0d6072ac-37,WNQGKIKFKBWAEE-LURJTMIESA-N,MAK-UNK-0d6-37,WNQGKIKFKBWAEE
MAK-UNK-0d6072ac-38,C[C@H](C(=O)O)c1cnc2c(c1)[nH]c1ncc(Cl)cc12,MAK-UNK-0d6072ac-38,XGLFYDHFZULPSQ-LURJTMIESA-N,MAK-UNK-0d6-38,XGLFYDHFZULPSQ
MAK-UNK-0d6072ac-4,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,MAK-UNK-0d6072ac-4,PUXBGTOOZJQSKH-UHFFFAOYSA-N,MAK-UNK-0d6-4,PUXBGTOOZJQSKH
MAK-UNK-0d6072ac-5,C[C@H](C(O)=S)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,MAK-UNK-0d6072ac-5,ROANIOSHWWSDKA-QMMMGPOBSA-N,MAK-UNK-0d6-5,ROANIOSHWWSDKA
MAK-UNK-0d6072ac-6,C[C@H](C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,MAK-UNK-0d6072ac-6,PUXBGTOOZJQSKH-QMMMGPOBSA-N,MAK-UNK-0d6-6,PUXBGTOOZJQSKH
MAK-UNK-0d6072ac-7,C[C@H](C(=O)O)c1ccc2c(c1)[nH]c1cnc(Cl)cc12,MAK-UNK-0d6072ac-7,FJIZTJWNTAGFCA-ZETCQYMHSA-N,MAK-UNK-0d6-7,FJIZTJWNTAGFCA
MAK-UNK-0d6072ac-8,C[C@H](C(=O)O)c1ccc2c(c1)[nH]c1ncc(Cl)cc12,MAK-UNK-0d6072ac-8,ZMGZZYYWNNHJQK-ZETCQYMHSA-N,MAK-UNK-0d6-8,ZMGZZYYWNNHJQK
MAK-UNK-0d6072ac-9,C[C@H](C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)nc12,MAK-UNK-0d6072ac-9,SKJRETGTDNZPQP-ZETCQYMHSA-N,MAK-UNK-0d6-9,SKJRETGTDNZPQP
MAK-UNK-10572812-1,CC(=O)NCC(c1c[nH]c2ccc(F)cc12)N1CCN(C(=O)Cc2c[nH]c3ncccc23)CC1,MAK-UNK-10572812-1,KAHNIVRWXMXNHK-UHFFFAOYSA-N,MAK-UNK-105-1,KAHNIVRWXMXNHK
MAK-UNK-10572812-10,CC(=O)NCCc1c(N2CCN(C(=O)Cc3c[nH]c4ncccc34)CC2)[nH]c2ccc(F)cc12,MAK-UNK-10572812-10,FSSJDLHRRXOHAJ-UHFFFAOYSA-N,MAK-UNK-105-10,FSSJDLHRRXOHAJ
MAK-UNK-10572812-11,CC(=O)NCCc1c[nH]c2ccc(F)c(N3CCN(C(=O)Cc4c[nH]c5ncccc45)CC3)c12,MAK-UNK-10572812-11,NELOSHXZVYLUGU-UHFFFAOYSA-N,MAK-UNK-105-11,NELOSHXZVYLUGU
MAK-UNK-10572812-12,CC(=O)NCCc1c[nH]c2c(N3CCN(C(=O)Cc4c[nH]c5ncccc45)CC3)cc(F)cc12,MAK-UNK-10572812-12,MCAZCIBIYMIGKX-UHFFFAOYSA-N,MAK-UNK-105-12,MCAZCIBIYMIGKX
MAK-UNK-10572812-13,CC(=O)NCCc1c[nH]c2cc(N3CCN(C(=O)Cc4c[nH]c5ncccc45)CC3)c(F)cc12,MAK-UNK-10572812-13,CYGVWSGJPRTPIM-UHFFFAOYSA-N,MAK-UNK-105-13,CYGVWSGJPRTPIM
MAK-UNK-10572812-14,CN1CCN(C(=O)Cc2c(C(=O)NCCc3c[nH]c4ccc(F)cc34)[nH]c3ncccc23)CC1,MAK-UNK-10572812-14,HAEBVIGHIMKGGR-UHFFFAOYSA-N,MAK-UNK-105-14,HAEBVIGHIMKGGR
MAK-UNK-10572812-15,CN1CCN(C(=O)Cc2c[nH]c3nccc(C(=O)NCCc4c[nH]c5ccc(F)cc45)c23)CC1,MAK-UNK-10572812-15,AKLJGXCIBFZJSW-UHFFFAOYSA-N,MAK-UNK-105-15,AKLJGXCIBFZJSW
