SMILES,CID,fragments,real_space,SCR,BB,covalent_frag,link
O=C(CC12CCC(CC1)C2)Nc1cnccc1CO,CHA-KIN-cea-1,"x0072,x0107,x0967",Z3542454033,False,False,False,https://covid.postera.ai/covid/submissions/CHA-KIN-cea
O=C(CC1CCCCC1)Nc1cnccc1CO,CHA-KIN-cea-2,"x0072,x0107,x0967",Z1551628986,False,False,False,https://covid.postera.ai/covid/submissions/CHA-KIN-cea
O=C(Nc1cnccc1CO)C(O)C1CCCCC1,CHA-KIN-cea-3,"x0072,x0107,x0967",Z1784165492,False,False,False,https://covid.postera.ai/covid/submissions/CHA-KIN-cea
O=C(CC1(Cn2cnnn2)CCCCC1)Nc1cnccc1CO,CHA-KIN-cea-4,"x0072,x0107,x0967",Z2480367211,False,False,False,https://covid.postera.ai/covid/submissions/CHA-KIN-cea
N#CC1(CC(=O)Nc2cnccc2CO)CCCCC1,CHA-KIN-cea-5,"x0072,x0107,x0967",Z2635303491,False,False,False,https://covid.postera.ai/covid/submissions/CHA-KIN-cea
O=C(Nc1cccnc1)c1cc(Cl)ccc1O,CHR-SOS-709-11,"x0107,x0161,x0195,x0678,x0946",Z280470232,Z280470232,False,False,https://covid.postera.ai/covid/submissions/CHR-SOS-709
O=C(Nc1cccnc1)c1cccc(Cl)c1,CHR-SOS-709-12,"x0107,x0161,x0195,x0678,x0946",Z31791487,Z31791487,FCH3040258,False,https://covid.postera.ai/covid/submissions/CHR-SOS-709
O=C(Nc1ccccc1Cl)c1cc(Cl)ccc1O,CHR-SOS-709-4,"x0107,x0161,x0195,x0678,x0946",Z241957544,Z2335631771,EN300-199753,False,https://covid.postera.ai/covid/submissions/CHR-SOS-709
O=C(Nc1ccccc1)c1cc(Cl)ccc1O,CHR-SOS-709-7,"x0107,x0161,x0195,x0678,x0946",Z56871780,Z56871780,False,False,https://covid.postera.ai/covid/submissions/CHR-SOS-709
O=C(Nc1ccccc1)c1cccc(Cl)c1,CHR-SOS-709-8,"x0107,x0161,x0195,x0678,x0946",Z27782644,False,False,False,https://covid.postera.ai/covid/submissions/CHR-SOS-709
O=C(Nc1ccccc1)c1ccccc1,CHR-SOS-709-9,"x0107,x0161,x0195,x0678,x0946",Z27782673,Z27782673,EN300-15536,False,https://covid.postera.ai/covid/submissions/CHR-SOS-709
O=C(c1ccccc1O)N1CCCCC1,CLI-UNI-032-1,x1358,Z68103216,Z2239049194,EN300-05931,True,https://covid.postera.ai/covid/submissions/CLI-UNI-032
O=C(Nc1ccccc1)c1ccccc1O,CLI-UNI-032-2,x1358,False,Z68084595,EN300-18540,True,https://covid.postera.ai/covid/submissions/CLI-UNI-032
NC(=O)C1CCN(C(=O)c2ccccc2O)CC1,CLI-UNI-032-3,x1358,Z68284435,False,False,True,https://covid.postera.ai/covid/submissions/CLI-UNI-032
O=C(O)c1ccc(S(=O)(=O)N2CCCCC2)cc1,CLI-UNI-032-4,x1358,Z53035336,Z53033942,EN300-00394,True,https://covid.postera.ai/covid/submissions/CLI-UNI-032
O=C(Cc1c[nH]c2ccccc12)Nc1ccccc1,CUN-WAB-25b-2,"x0434,x1093",Z27782686,Z27782686,False,False,https://covid.postera.ai/covid/submissions/CUN-WAB-25b
CC(=O)Nc1cncc(N)c1,DAN-PUR-19f-1,"x0107,x0995,x1093",False,False,BBV-55255876,False,https://covid.postera.ai/covid/submissions/DAN-PUR-19f
N#Cc1cccc(NC(=O)Cc2c[nH]c3ncccc23)c1,DAR-DIA-23a-1,"x0104,x0305,x0434,x0678,x0995,x1093,x1249",Z1400784309,False,False,False,https://covid.postera.ai/covid/submissions/DAR-DIA-23a
O=C(Cc1c[nH]c2ncccc12)Nc1cccc(Cl)c1,DAR-DIA-23a-12,"x0104,x0305,x0434,x0678,x0995,x1093,x1249",Z1400781098,False,False,False,https://covid.postera.ai/covid/submissions/DAR-DIA-23a
O=C(Nc1cccnc1)Nc1cccc(Cl)c1,DAR-DIA-23a-14,"x0104,x0305,x0434,x0678,x0995,x1093,x1249",Z44592325,False,False,False,https://covid.postera.ai/covid/submissions/DAR-DIA-23a
N#Cc1cccc(NC(=O)Cc2cncc3ccccc23)c1,DAR-DIA-23a-19,"x0104,x0305,x0434,x0678,x0995,x1093,x1249",s_22____58016____11968302,False,False,False,https://covid.postera.ai/covid/submissions/DAR-DIA-23a
O=C(Cc1cncc2ccccc12)Nc1ccccc1,DAR-DIA-23a-20,"x0104,x0305,x0434,x0678,x0995,x1093,x1249",s_22____57709____11968302,False,False,False,https://covid.postera.ai/covid/submissions/DAR-DIA-23a
N#Cc1cccc(NC(=O)Cc2cccnc2)c1,DAR-DIA-23a-4,"x0104,x0305,x0434,x0678,x0995,x1093,x1249",Z1171321476,False,False,False,https://covid.postera.ai/covid/submissions/DAR-DIA-23a
N#Cc1cccc(NC(=O)Nc2cccnc2)c1,DAR-DIA-23a-5,"x0104,x0305,x0434,x0678,x0995,x1093,x1249",Z195739680,Z195739680,False,False,https://covid.postera.ai/covid/submissions/DAR-DIA-23a
