SMILES,CID,REAL,inchikey
C[C@@H](C(=O)Nc1cnccc1C)c1cccc(Cl)c1,JAN-GHE-83b26c96-4,,WNGGAWMEODUSED-LLVKDONJSA-N
Cc1ccncc1-c1nnc(o1)-c1cccc(Cl)c1,JAN-GHE-83b26c96-24,,KCRYDDZEZBCVTG-UHFFFAOYSA-N
Cc1ccncc1NC(=O)C(F)(F)c1cccc(Cl)c1,JAN-GHE-83b26c96-23,,IIKFZOGWCHXLNB-UHFFFAOYSA-N
CCC(C(=O)Nc1cnncc1C)c1cccc(Cl)c1,JAN-GHE-83b26c96-1,,AATSBPIJUYIMKX-UHFFFAOYSA-N
Cc1c(N)cncc1NC(=O)Nc1cccc(c1)C#N,TRY-UNI-714a760b-23,,RNZZINLBQSAYBI-UHFFFAOYSA-N
CC(C(=O)Nc1cnccc1C)c1ccccc1,TRY-UNI-714a760b-17,,KVKDYQWYDVBSMV-UHFFFAOYSA-N
CC(C1CCCCC1)C(=O)Nc1cncc(N)c1C,TRY-UNI-714a760b-13,,IZYUKUVTVCHNQU-UHFFFAOYSA-N
Cc1ccncc1NC(=O)NC1CCCCC1,TRY-UNI-714a760b-11,,JECPTQPQMPWHDS-UHFFFAOYSA-N
O=C(Cc1cc(Cl)cc(Cl)c1)Nc1nncs1,JAG-UCB-cedd89ab-3,s_22____998706____12305212,MLSLIFWBFZHJME-UHFFFAOYSA-N
O=C(Cc1cccnc1)Nc1cccc(OC2CC(=O)N2)c1,RAL-MED-2de63afb-1,s_22____10971742____7459856,OCMQJJQEZJQFRH-UHFFFAOYSA-N
CCC(=O)Nc1cccc(OC2CC(=O)N2)c1,RAL-MED-2de63afb-11,s_22____10971742____58887,NEBAGGOYJMWFDQ-UHFFFAOYSA-N
CC(=O)NCc1cccc(NC(=O)Cc2cncnc2)c1,RAL-MED-2de63afb-12,s_22____16530556____13540170,UVSBTVQUIPULCH-UHFFFAOYSA-N
O=C1CC(c2cccc(NC(=O)Cc3cncnc3)c2)CN1,RAL-MED-2de63afb-3,s_22____7558068____13540170,NAZMXGLCDHRSFV-UHFFFAOYSA-N
C=CC(=O)Nc1cccc(OC2CC(=O)N2)c1,RAL-MED-2de63afb-9,m_273270____13684514____10884640,GZUAZMVHZSBUEN-UHFFFAOYSA-N
Cc1ccncc1N(C)C(=O)Cc1cccc(Cl)c1,EDG-MED-0da5ad92-1,s_11____8852370____3020516,KTTFDHLIVPVQIE-UHFFFAOYSA-N
Cc1cncc(NC(=O)Cc2cccc(Cl)c2)c1,EDG-MED-0da5ad92-12,s_22____6725666____3020518,BMYRQBMWNFDONV-UHFFFAOYSA-N
Cc1ccc(NC(=O)Cc2cccc(Cl)c2)cn1,EDG-MED-0da5ad92-13,s_22____7425960____3020518,VUGSAYYOVNIWTI-UHFFFAOYSA-N
Cc1ncccc1NC(=O)Cc1cccc(Cl)c1,EDG-MED-0da5ad92-14,s_22____6391392____3020518,GMLRSXPWHMPMTM-UHFFFAOYSA-N
O=C(Cc1cccc(Cl)c1)Nc1cccnc1,EDG-MED-0da5ad92-2,s_22____57778____3020518,JXVSAHMJMLDNGG-UHFFFAOYSA-N
Cc1ccncc1NC(=O)CC1CCCCC1,EDG-MED-0da5ad92-4,s_22____3391102____59992,PPFPAWYBPNGJHZ-UHFFFAOYSA-N
Cc1ccncc1NC(=O)CC1CCCNC1,EDG-MED-0da5ad92-9,s_240690____7400680____11768802,RMJGRRRPIDPPAR-UHFFFAOYSA-N
Cc1ccncc1CC(=O)Nc1cccc(Cl)c1,EDJ-MED-49816e9b-1,s_22____57731____11949416,VKQLRXLEZSWDDW-UHFFFAOYSA-N
Cc1ccnc(C)c1NC(=O)Cc1cccc(Cl)c1,EDJ-MED-49816e9b-2,s_11____10117600____3020516,XEOITIZTKXMLOT-UHFFFAOYSA-N
Cc1cnn(C)c1NC(=O)Cc1cccc(Cl)c1,EDJ-MED-49816e9b-3,s_22____11949488____3020518,SITFGKRYRGEAGP-UHFFFAOYSA-N
Cc1cc(CC(=O)Nc2cnccc2C)[nH]n1,EDJ-MED-c9f55a56-1,s_22____3391102____6956692,NOVVHMHOVDHSSN-UHFFFAOYSA-N
COc1cccc(CC(=O)Nc2cnccc2C)c1,EDJ-MED-e58735b6-1,s_22____3391102____59186,OXFWZNQUXABAJL-UHFFFAOYSA-N
COc1ccccc1OCCNC(=O)c1cc[nH]c(=O)c1,BEN-DND-7e92b6ca-1,s_22____58494____7101316,CBWZUHGOUYMWKG-UHFFFAOYSA-N
O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(Cc2ccccc2)CC1,BEN-DND-7e92b6ca-10,Z27764092,CARZEXKCGVUISS-UHFFFAOYSA-N
COc1ccc(N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)cc1,BEN-DND-7e92b6ca-11,Z27906764,HWQXSFIHOFYVQC-UHFFFAOYSA-N
COc1cccc(N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1,BEN-DND-7e92b6ca-12,Z2241127565,DLURFWIIGNLAAB-UHFFFAOYSA-N
COc1ccccc1N1CCN(C(=O)c2cc(=O)[nH]c3ccccc23)CC1,BEN-DND-7e92b6ca-13,Z2241126839,MNPRGBHSSXXPMF-UHFFFAOYSA-N
O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2ccc(F)cc2)CC1,BEN-DND-7e92b6ca-14,Z30620763,YZERBHLVPUBWNC-UHFFFAOYSA-N
O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2ccccc2F)CC1,BEN-DND-7e92b6ca-16,Z237520538,ONQQLMKVMVPYKH-UHFFFAOYSA-N
COc1ccccc1OCCN(C)C(=O)c1cc(=O)[nH]c2ccccc12,BEN-DND-7e92b6ca-2,s_22____1055218____59160,BIHUQYISOBUTJB-UHFFFAOYSA-N
CN(CCNC(=O)c1cc(=O)[nH]c2ccccc12)c1ccccc1,BEN-DND-7e92b6ca-3,s_22____147827____59160,DFZUWSNLFWWUMG-UHFFFAOYSA-N
O=C(NCCNc1ccccc1)c1cc(=O)[nH]c2ccccc12,BEN-DND-7e92b6ca-4,s_22____5128420____59160,FTMBCXQGAOJUAX-UHFFFAOYSA-N
O=C(NCCOc1ccccc1)c1cc(=O)[nH]c2ccccc12,BEN-DND-7e92b6ca-5,s_22____58662____59160,BZHMBCIPMLVDOY-UHFFFAOYSA-N
O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(S(=O)(=O)c2ccccc2)CC1,BEN-DND-7e92b6ca-7,s_22____411360____59160,JXAWRIQDHILFQY-UHFFFAOYSA-N
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc[nH]c(=O)c3)CC2)c1C,BEN-DND-7e92b6ca-8,s_22____413354____7101316,BREONWBSAXLAHV-UHFFFAOYSA-N
Cc1ccncc1NC(=O)CN1CCOCC1,BEN-DND-93268d01-10,s_22____3391102____7941832,QOKTVTFRZUAEQT-UHFFFAOYSA-N
Cc1ccncc1NC(=O)CC(C)(C)c1ccccc1,BEN-DND-93268d01-13,s_22____3391102____2163838,BLCPNJMZJGFGAP-UHFFFAOYSA-N
Cc1ccncc1NC(=O)C(C)Cc1ccccc1,BEN-DND-93268d01-14,s_22____3391102____4781200,NJNFNWNEMICKRG-UHFFFAOYSA-N
CC(C(=O)Nc1cnccc1O)c1ccccc1,BEN-DND-93268d01-15,s_22____2991078____8989686,BLBUTVPKNZYVIU-UHFFFAOYSA-N
Cc1ccncc1NC(=O)C(CO)c1ccccc1,BEN-DND-93268d01-3,s_22____3391102____11968216,NPWHSHLOIZIJFQ-UHFFFAOYSA-N
Cc1ccncc1NC(=O)CCc1ccccn1,BEN-DND-93268d01-4,s_22____3391102____2229312,YJQCBWRBKCGSOU-UHFFFAOYSA-N
Cc1ccncc1NC(=O)CCc1ccc(F)cc1,BEN-DND-93268d01-5,s_22____3391102____106960,CXNSRTJHMXCHKO-UHFFFAOYSA-N
Cc1ccncc1NC(=O)CCc1ccccc1F,BEN-DND-93268d01-7,s_22____3391102____94787,QOFPSTBMBIOUPW-UHFFFAOYSA-N
NC(=O)C1CCCN1CC(=O)Nc1cccnc1,NAU-LAT-64f4b287-10,s_2230____678826____4933042,XTCLABXTBZMLFE-UHFFFAOYSA-N
O=C(CCl)N1CCN(Cc2nc(-c3cccs3)no2)CC1,NAU-LAT-64f4b287-3,m_270062____7597420____8147258,FMGYADKKUHYGCE-UHFFFAOYSA-N
COc1ccc2c(c1)CN(C(=O)CCl)C(c1ccccc1)C2,NAU-LAT-64f4b287-4,m_270062____7624614____8147258,KBINLPGLVLGVKA-UHFFFAOYSA-N
Cc1nnc(C2Cc3ccccc3CN2C(=O)CCl)o1,NAU-LAT-64f4b287-5,m_270062____7619036____8147258,ZWQIUHDNTGABHU-UHFFFAOYSA-N
O=C(Nc1ccccc1)c1ccc2[nH]ccc2c1,NAU-LAT-64f4b287-8,s_22____57709____4146132,ZVPUDWWBRQLCLX-UHFFFAOYSA-N
O=C(Cc1cccnc1)NCc1ccccc1,NAU-LAT-64f4b287-9,s_22____57696____7459856,WJUVWAAHMKQPRZ-UHFFFAOYSA-N
O=C(Cn1nnc2ccccc21)Nc1cccc(Cl)c1,BEN-DND-61647d40-12,s_22____57731____13206668,YKPILQYKTOXPJC-UHFFFAOYSA-N
O=C(Cn1cnc2ccccc21)Nc1cccc(Cl)c1,BEN-DND-61647d40-13,s_22____57731____8583794,SWHLHIOFZDCMKY-UHFFFAOYSA-N
O=C(Cc1cccnc1)Nc1cc(Cl)ccc1O,BEN-DND-61647d40-18,s_22____7639312____7459856,LYDUQQJELHGQJO-UHFFFAOYSA-N
N#Cc1ccc(O)c(NC(=O)Cc2cccnc2)c1,BEN-DND-61647d40-8,s_22____7866852____7459856,ZQIKJPITNJTPMQ-UHFFFAOYSA-N
Cc1nnn(NC(=O)Cc2cccc(Cl)c2)c1C,JAN-GHE-5a013bed-1,s_22____12890528____3020518,AJOFHXMHBPDFHQ-UHFFFAOYSA-N
O=C(Cc1cccc(Cl)c1)Nc1nnn[nH]1,JAN-GHE-5a013bed-11,Z1097410173,HFAVJGNWJPFAGR-UHFFFAOYSA-N
O=C(Cc1cccc(Cl)c1)Nn1cnc2ccccc21,JAN-GHE-5a013bed-2,s_22____294368____3020518,YHLCUCKEOZVUDL-UHFFFAOYSA-N
O=C(Cc1cccc(Cl)c1)Nn1cnc2ccccc2c1=O,JAN-GHE-5a013bed-3,s_11____53393____3020516,VAYRFIMVASFMKQ-UHFFFAOYSA-N
