SMILES,CID,real_space,SCR,BB,extended_real_space
CCc1ccc(CN2CCN(CCc3ccns3)CC2)cc1,JAR-KUA-672ec752-13,s_2230____12896890____13152732,False,False,s_2230____12896890____13152732
CCNCc1cn(CC(=O)N2CCN(C)CC2)nn1,JAR-KUA-672ec752-14,Z2845184219,False,False,s_274090____12936042____12385694
c1ccc(OC2CN(Cc3c[nH]cn3)C2)cc1,JAR-KUA-672ec752-2,Z2015677308,False,False,s_270004____13980418____11756616
CN1CCN(C(=O)CNc2c(S(N)(=O)=O)ccc3ccccc23)CC1,JAR-KUA-672ec752-3,Z3075792052,False,False,s_27____2196926____12621818
O=S1(=O)c2ccccc2CN1CCN1CCCCC1,JAR-KUA-672ec752-5,Z2721976252,False,False,s_34____12332118____9172488
O=S(=O)(Nc1nsc2ccccc12)c1ccc2ccccc2c1,JAR-KUA-672ec752-6,Z55018459,False,False,False
c1ccc(N(Cc2ccsc2)Cc2cccc(CN3CCOCC3)c2)cc1,JAR-KUA-672ec752-7,False,False,False,s_2230____7462282____11352962
c1coc(CC2CN(Cc3cc4ccccc4[nH]3)C2)c1,JAR-KUA-672ec752-8,Z2717387516,False,False,s_270004____12222228____9451988
c1ccc2ncc(CN3CC(Cc4ccoc4)C3)cc2c1,JAR-KUA-672ec752-9,Z2978535542,False,False,False
NC(=O)c1nc(Cl)cnc1O,JAS-UND-c13ee042-1,False,False,BBV-77538590,False
O=CCc1c[nH]c2ccc(O)cc12,JOH-MEM-5e386bbd-7,False,False,BBV-39783392,False
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,JOH-MSK-35a8745a-1,False,Z1191880499,EN300-6486827,s_22____4839448____58844
CC(=O)NCCc1c[nH]c2ccc(O)cc12,JOH-MSK-a63bdd1d-4,Z3206996697,False,FCH1679293,s_22____13909752____58844
COc1ccc2[nH]cc(CCN)c2c1,JOH-MSK-a63bdd1d-7,False,Z1698584701,EN300-75859,False
COc1ccc2[nH]c3c(c2c1)CCNC3,JOH-MSK-a63bdd1d-8,False,Z2574931994,EN300-374268,False
CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,JOH-MSK-ec639444-2,False,False,EN300-219936,False
CC(=O)N1CCN(C(=O)N2CCCOCC2)CC1,JOH-UNI-27ac80fd-19,Z3371917508,False,False,s_272164____14971766____9378394
O=C(CCl)N1CCN(Cc2ccc(Br)s2)CC1,JOH-UNI-27ac80fd-23,Z1562119730,Z147647732,False,m_270062____7595866____8147258
CCP(CC)(CC)=[Au]S[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,JOH-UNI-44664832-2,False,False,EN300-220094,False
CC1COCCN1c1ccc(C#N)nc1,JOH-UNI-522b0723-1,Z1348340774,False,False,s_27____586756____6671606
CC1OCCN(c2ccc(C#N)nc2)C1C,JOH-UNI-522b0723-2,Z1439420781,False,False,s_27____7282634____6671606
CC1CNCCN1c1ccc(C#N)nc1,JOH-UNI-522b0723-3,Z2368273090,False,False,s_270166____16815416____16817652
CC1CN(C)CCN1c1ccc(C#N)nc1,JOH-UNI-522b0723-4,Z1798321811,False,False,s_27____4545082____6671606
CCCSCC(=O)C(C#N)C(=O)Nc1ccc(F)cc1F,JOH-UNI-c7afdb96-10,False,Z762213590,False,False
Cc1ccc(NC(=O)C(C#N)C(=O)CC(C)C)cc1,JOH-UNI-c7afdb96-11,False,Z638737654,False,False
CC(C)(C)CC(=O)C(C#N)C(=O)Nc1ccccc1,JOH-UNI-c7afdb96-12,Z638912916,Z638912916,False,s_276436____14076146____14085994
Cc1cccc(NC(=O)C(C#N)C(=O)CC(C)C)c1,JOH-UNI-c7afdb96-13,Z638862034,Z638862034,False,s_276436____14076144____14085888
CCC(CC)C(=O)C(C#N)C(=O)Nc1ccc(F)cc1,JOH-UNI-c7afdb96-14,False,Z637364502,False,False
N#C/C(C(=O)NCc1ccccc1)=C(/O)CCl,JOH-UNI-c7afdb96-15,False,False,BBV-86036819,False
Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,JOH-UNI-c7afdb96-18,False,False,EN300-119495,False
N#CC(C(=O)Nc1ccccc1)C(=O)c1cccs1,JOH-UNI-c7afdb96-3,Z638912910,False,False,s_276436____14076146____14085992
N#CC(C(=O)Nc1ccccc1)C(=O)c1cccc(Cl)c1,JOH-UNI-c7afdb96-4,Z638912400,Z638912400,False,s_276436____14076146____14085848
N#CC(C(=O)Nc1cccc(Cl)c1)C(=O)c1cccs1,JOH-UNI-c7afdb96-5,Z639690082,Z639690082,False,False
Cc1cccc(NC(=O)C(C#N)C(=O)C2CCCC2)c1,JOH-UNI-c7afdb96-6,Z638862226,Z638862226,False,s_276436____14076144____14085958
Cc1cccc(NC(=O)C(C#N)C(=O)C2CCC2)c1,JOH-UNI-c7afdb96-7,Z638862224,Z638862224,False,s_276436____14076144____14085956
Cc1cccc(NC(=O)C(C#N)C(=O)C2CC2)c1,JOH-UNI-c7afdb96-8,Z638861820,Z638861820,False,s_276436____14076144____14085874
CCCSCC(=O)C(C#N)C(=O)Nc1ccccc1F,JOH-UNI-c7afdb96-9,False,Z762204984,False,False
N#Cc1ccc(NC(=O)Nc2cccnc2)cc1,JOH-UNK-14e6adc5-2,Z195735586,Z195735586,False,s_487____210243____490616
COc1ccc(-n2cc(CN3CCN(C(C)=O)CC3)nn2)cc1,JOH-UNK-14e6adc5-7,False,False,False,s_273910____11993380____12888810
COc1cccc(-n2cc(CN3CCN(C(C)=O)CC3)nn2)c1,JOH-UNK-14e6adc5-8,False,False,False,s_273910____11992382____12888810
C[C@H](NC(=O)C(F)F)c1cccc(F)c1,JON-UIO-066ce08b-14,Z32586657,False,False,s_22____14933938____58886
C[C@H](NC(=O)[C@@H](C)c1ccc(F)c(F)c1)c1cccc(F)c1,JON-UIO-066ce08b-7,Z1264100733,False,False,False
Cc1ccccc1CN1CCN(C(=O)C(F)C(C)C)CC1,JON-UIO-066ce08b-9,Z1786577487,False,False,s_22____92691____9156240
C=CC(=O)Nc1cccc(C(=O)N2CCSCC2)c1,JOO-IND-6372a4f3-1,Z2517211306,False,False,m_22____848246____12546682
CC#CC(=O)Nc1cccc(C(=O)N2CCSCC2)c1,JOO-IND-6372a4f3-3,Z2013366253,False,False,s_22____2335534____9296322
C=CC(=O)N1CCN(Cc2cccc3ccccc23)CC1,JOO-IND-6372a4f3-4,False,False,False,m_273270____13659754____10884640
CC#CC(=O)N1CCN(Cc2cccc3ccccc23)CC1,JOO-IND-6372a4f3-5,Z1873143728,False,False,s_22____116680____9296322
C=CC(=O)N1CCCC(c2nc3ccccc3s2)C1,JOO-IND-b13e14cc-1,Z2517205905,Z2517205905,EN300-7519499,m_273270____12942216____10884640
CC#CC(=O)N1CCCC(c2nc3ccccc3s2)C1,JOO-IND-b13e14cc-3,Z2012938561,False,False,s_22____58771____9296322
Cc1cccc(CN2CCC(C#N)CC2)c1,JOO-PER-74f994a9-1,Z951437880,False,False,s_2230____2308274____680328
O=C(Nc1cccnc1)Nc1cccc(Cl)c1,JOR-UNI-2fc98d0b-7,Z44592325,False,False,s_487____210243____150220
N#Cc1cccc(NC(=O)Nc2cccnc2)c1,JOR-UNI-61e7b1d5-2,Z195739680,Z195739680,False,s_487____210243____768430
C=CC(=O)NCc1ccccc1S(=O)(=O)NC(C)(C)C,JUA-UNI-a9dfaed1-2,Z2517209813,False,False,m_273270____16368984____10884640
C=CC(=O)NCCC(=O)N(Cc1ccccc1)Cc1nc2ccccc2c(=O)[nH]1,JUA-UNI-a9dfaed1-5,Z1478980151,False,False,False
CCC(=O)NCc1ccccc1S(=O)(=O)NC(C)(C)C,JUA-UNI-b93289a4-2,Z854851374,False,False,s_22____2007824____58887
