SMILES,CID,Comments,,,,
CN(C)c1ncccc1N(C)C(=O)C1CCOc2ccc(Cl)cc21,LON-WEI-0a73fcb8-1,Z1675823936,,,,
COc1ncccc1N(C)C(=O)C1CCOc2ccc(Cl)cc21,LON-WEI-0a73fcb8-2,Z1675755947,,,,
O=C(Nc1nc2ccc(F)cn2n1)C1CCOc2ccc(Cl)cc21,LON-WEI-0a73fcb8-3,Z1675799930,,,,
Cc1nnc(CNC(=O)C2CCOc3ccc(Cl)cc32)n1C1CC1,LON-WEI-0a73fcb8-4,Z1677873442,,,,
CN(C(=O)C1CCOc2ccc(Cl)cc21)c1ccc(Cl)cn1,LON-WEI-0a73fcb8-5,Z1675685357,,,,
CC(C)c1scnc1NC(=O)C1CCOc2ccc(Cl)cc21,LON-WEI-0a73fcb8-6,Z2158132573,,,,
O=C(Nc1cnccc1CO)C1CCOc2ccc(Cl)cc21,LON-WEI-0a73fcb8-7,Z1677775602,,,,
CC1(C)CC(C(=O)Nc2nncn2C2CC2)c2ccccc2O1,BRU-THA-a358fbdd-5,Z2332231803,,,,
Cc1nnc(NC(=O)[C@@H]2COc3ccc(Cl)cc32)n1C1CC1	,JAG-UCB-c61058a9-1,Z2061183976,,,,
