shipment_ID,catalog_ID,Formula,stereochemistry,sample_MW,purity,PO,Salt_Name,Salt_ratio,MW_salt,volume(uL),concentration(mM),plate_ID,well,SMILES,Name,Batch ID,"Amount, mg"
KAD-UNI-cb0f2bbc-22,Z4984330291,C30H25ClN4O4,Racemic or presumed racemic or meso,540.996,90.76,COVID-19,,,0,4,100,1342793-Y4-01,05_N,ClC=1C=CC=2OCCC(CNCCN3C(=O)C=4C=CC=CC4C3=O)(C(=O)NC=5C=NC=C6C=CC=CC56)C2C1,"6-chloro-4-({[2-(1,3-dioxo-2,3-dihydro-1H-isoindol-2-yl)ethyl]amino}methyl)-N-(isoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H3089937,
KAD-UNI-cb0f2bbc-3,Z4984330308,C30H34ClN7O4,Racemic or presumed racemic or meso,592.088,96.89,COVID-19,,,0,4,100,1342793-Y4-01,05_O,CN1N=NC(CNC(=O)OC(C)(C)C)=C1CNCC2(CCOC=3C=CC(Cl)=CC32)C(=O)NC=4C=NC=C5C=CC=CC45,"tert-butyl N-[(5-{[({6-chloro-4-[(isoquinolin-4-yl)carbamoyl]-3,4-dihydro-2H-1-benzopyran-4-yl}methyl)amino]methyl}-1-methyl-1H-1,2,3-triazol-4-yl)methyl]carbamate",H3089932,
MAT-POS-e6dd326d-8,Z4973373647,C23H20ClN3O3,Racemic or presumed racemic or meso,421.876,100,COVID-19,,,0,4,100,1342793-Y4-01,05_P,ClC=1C=CC=2OCCC(CNC(=O)C=C)(C(=O)NC=3C=NC=C4C=CC=CC34)C2C1,"6-chloro-N-(isoquinolin-4-yl)-4-[(prop-2-enamido)methyl]-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H3089905,
EDJ-MED-009f762b-3,Z4987831245,C23H20ClFN6O,Racemic or presumed racemic or meso,450.895,100,COVID-19,,,0,4,100,1342793-Y4-01,05_Q,CN1C=C(CN2CC(C(=O)NC=3C=NC=C4C=CC(F)=CC34)C=5C=C(Cl)C=CC5C2)N=N1,"6-chloro-N-(6-fluoroisoquinolin-4-yl)-2-[(1-methyl-1H-1,2,3-triazol-4-yl)methyl]-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3099334,
KAD-UNI-cb0f2bbc-16,Z4984330297,C31H31ClN4O6,Racemic or presumed racemic or meso,591.054,100,COVID-19,,,0,4,100,1342793-Y4-01,05_R,COC=1C=C(CNCC2(CCOC=3C=CC(Cl)=CC32)C(=O)NC=4C=NC=C5C=CC=CC45)C=C(OC)C1OCC(=O)N,"4-[({[4-(carbamoylmethoxy)-3,5-dimethoxyphenyl]methyl}amino)methyl]-6-chloro-N-(isoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H3089919,
KAD-UNI-cb0f2bbc-24,Z4984330289,C28H29ClN6O3,Diastereomeric mixture,533.021,100,COVID-19,,,0,4,100,1342793-Y4-01,05_S,ClC=1C=CC=2OCCC(CNCC3=CN(CC4CCOC4)N=N3)(C(=O)NC=5C=NC=C6C=CC=CC56)C2C1,"6-chloro-N-(isoquinolin-4-yl)-4-{[({1-[(oxolan-3-yl)methyl]-1H-1,2,3-triazol-4-yl}methyl)amino]methyl}-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H3089921,
ALP-POS-a0a4abd7-1,Z4950528898,C24H20ClN5O4,Racemic or presumed racemic or meso,477.899,90.12,COVID-19,,,0,4,100,1342793-Y4-01,05_T,ClC=1C=CC2=C(OCCC2(CNC3=CNC(=O)NC3=O)C(=O)NC=4C=NC=C5C=CC=CC45)C1,"7-chloro-4-{[(2,4-dioxo-1,2,3,4-tetrahydropyrimidin-5-yl)amino]methyl}-N-(isoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H3099354,
KAD-UNI-cb0f2bbc-17,Z4984330296,C30H33ClN6O3,Racemic or presumed racemic or meso,561.074,94.18,COVID-19,,,0,4,100,1342793-Y4-01,05_U,CC1=NN(C)C(N2CCOCC2)=C1CNCC3(CCOC=4C=CC(Cl)=CC43)C(=O)NC=5C=NC=C6C=CC=CC56,"6-chloro-4-[({[1,3-dimethyl-5-(morpholin-4-yl)-1H-pyrazol-4-yl]methyl}amino)methyl]-N-(isoquinolin-4-yl)-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H3089946,
MAT-POS-4223bc15-40,Z4973398677,C24H20ClN5O2,Racemic or presumed racemic or meso,445.900,98.16,COVID-19,,,0,4,100,1342793-Y4-01,05_V,CN1N=CC=C1C(=O)N2CC(C(=O)NC=3C=NC=C4C=CC=CC34)C=5C=C(Cl)C=CC5C2,"6-chloro-N-(isoquinolin-4-yl)-2-(1-methyl-1H-pyrazole-5-carbonyl)-1,2,3,4-tetrahydroisoquinoline-4-carboxamide",H3089883,
RUB-POS-1325a9ea-22,Z4951847533,C16H11ClN2O2,Achiral,298.723,93.37,COVID-19,,,0,4,100,1342793-Y4-01,05_W,ClC=1C=CC=C(CC(=O)NC2=NC(=O)C=3C=CC=CC23)C1,2-(3-chlorophenyl)-N-(1-oxo-1H-isoindol-3-yl)acetamide,H3073471,
KAD-UNI-cb0f2bbc-18,Z4984330295,C29H29ClN6O3,Racemic or presumed racemic or meso,545.031,97.55,COVID-19,,,0,4,100,1342793-Y4-01,05_X,ClC=1C=CC=2OCCC(CNCC=3C=NC(=NC3)N4CCOCC4)(C(=O)NC=5C=NC=C6C=CC=CC56)C2C1,"6-chloro-N-(isoquinolin-4-yl)-4-[({[2-(morpholin-4-yl)pyrimidin-5-yl]methyl}amino)methyl]-3,4-dihydro-2H-1-benzopyran-4-carboxamide",H3089943,
