SMILES,CID,order
O=C(CCl)N1CCN(Cc2cccc(Cl)c2)CC1,MED-COV-428-15,20200417_moonshot_to_enamine.csv
Cc1ncc(C2(N3CCN(C(=O)CCl)CC3)CCCCC2)s1,WAR-XCH-79d-9,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CC[C@H](C(=O)N2CCCCC2)[C@@H](CCc2ccccc2)C1,PAU-WEI-c6d-1,20200417_moonshot_to_enamine.csv
O=C(CCl)NCC(=O)C1CCCN1C(=O)c1ccccc1,GIA-UNK-d2d-7,20200417_moonshot_to_enamine.csv
CN(CC(=O)C1CCCN1C(=O)c1ccccc1)C(=O)CCl,GIA-UNK-d2d-9,20200417_moonshot_to_enamine.csv
N#Cc1cc(CN2CCN(C(=O)CCl)CC2)c2ccccc2c1,DAR-DIA-fb2-6,20200417_moonshot_to_enamine.csv
NS(=O)(=O)c1ccc2cccc(CN3CCN(C(=O)CCl)CC3)c2c1,MIH-UNI-e57-4,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN(Cc2cc(Cl)cc3cnccc23)CC1,JOO-PER-58e-1,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN(Cc2cc(Cl)cc(Cl)c2)CC1,PAU-UNI-8cd-1,20200417_moonshot_to_enamine.csv
COc1cc(CN2CCN(C(=O)CCl)CC2)c2ccccc2c1,DAR-DIA-fb2-7,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN(Cc2cnc(-c3ccccc3)nc2)CC1,MAK-UNK-af8-1,20200417_moonshot_to_enamine.csv
CNS(=O)(=O)c1ccc2ccc(CN3CCN(C(=O)CCl)CC3)cc2c1,TAM-UNI-d1c-6,20200417_moonshot_to_enamine.csv
CCNc1ccc(Nc2cc(C)cc(CN3CCN(C(=O)CCl)CC3)c2)c(C#N)c1,MAK-UNK-af8-22,20200417_moonshot_to_enamine.csv
CS(=O)(=O)N1CCN(C(=O)CCl)CC1c1ccccc1,DUN-NEW-f8c-22,20200417_moonshot_to_enamine.csv
C=CC(=O)N1CCN(S(C)(=O)=O)CC1c1ccccc1,NAU-LAT-f72-4,20200417_moonshot_to_enamine.csv
CC(NC(=O)CCl)c1cc(Cl)cc(-c2ccc(S(N)(=O)=O)cc2)c1,DAV-CRI-14a-1,20200417_moonshot_to_enamine.csv
Cc1ccc(C)c(S(=O)(=O)N2CCN(C(=O)CCl)CC2)c1,WAR-XCH-79d-6,20200417_moonshot_to_enamine.csv
CCNc1ccc(C#N)cc1CN1CCN(C(=O)CCl)CC1,DAR-DIA-fb2-3,20200417_moonshot_to_enamine.csv
CC(=O)Nc1ccc(C#N)cc1CN1CCN(C(=O)CCl)CC1,TAM-UNI-d1c-18,20200417_moonshot_to_enamine.csv
CCNc1ncc(C#N)cc1CN1CCN(C(=O)CCl)CC1,BRU-LEF-ae0-1,20200417_moonshot_to_enamine.csv
CCNc1ncc(OC)cc1CN1CCN(C(=O)CCl)CC1,DAR-DIA-fb2-5,20200417_moonshot_to_enamine.csv
NS(=O)(=O)CCc1ccccc1CN1CCN(C(=O)CCl)CC1,MIH-UNI-e57-5,20200417_moonshot_to_enamine.csv
NS(=O)(=O)CCNc1ncccc1CN1CCN(C(=O)CCl)CC1,STU-CHA-464-1,20200417_moonshot_to_enamine.csv
CNC(=O)c1ccc(C#N)cc1CN1CCN(C(=O)CCl)CC1,TAM-UNI-d1c-17,20200417_moonshot_to_enamine.csv
CC(=O)N1CCCc2cccc(CN3CCN(C(=O)CCl)CC3)c2C1,TAM-UNI-d1c-13,20200417_moonshot_to_enamine.csv
O=C1Cc2c(cccc2CN2CCN(C(=O)CCl)CC2)CCN1,TAM-UNI-d1c-14,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN(Cc2cc(O)ccc2O)CC1,NEH-REV-107-5,20200417_moonshot_to_enamine.csv
Cc1cccc(CN2CCN(C(=O)CCl)C[C@H]2CC(N)=O)c1,STU-CHA-0be-1,20200417_moonshot_to_enamine.csv
CC(=O)N1CCN(C(=O)CCl)C[C@@H]1CC(N)=O,DAN-PUR-390-1,20200417_moonshot_to_enamine.csv
CC(=O)[C@@H]1CN(C(=O)CCl)C[C@H](CC(N)=O)N1C(C)=O,DAN-PUR-390-2,20200417_moonshot_to_enamine.csv
CC(C)C[C@@H]1CN(C(=O)CCl)CCN1Cc1cccc(Cl)c1,DAN-LON-a5f-3,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CC2CC1CN2Cc1cccc(Cl)c1,DAN-LON-a5f-8,20200417_moonshot_to_enamine.csv
Cc1cccc(C(CNS(C)(=O)=O)N2CCN(C(=O)CCl)CC2)c1,SEL-UNI-cd3-9,20200417_moonshot_to_enamine.csv
CS(=O)(=O)NCC(c1ccccc1)N1CCN(C(=O)CCl)CC1,SEL-UNI-cd3-2,20200417_moonshot_to_enamine.csv
NC(=O)C1CN(C(=O)CCl)CCN1Cc1cccc(Cl)c1,DAN-LON-a5f-1,20200417_moonshot_to_enamine.csv
Cc1cc(Cl)cc(CC2CCN(C(=O)CCl)CC2)c1,NIR-THE-0d6-8,20200417_moonshot_to_enamine.csv
Cc1cccc(CC2CCN(C(=O)CCl)CC2)c1,MAK-UNK-af8-6,20200417_moonshot_to_enamine.csv
NS(=O)(=O)c1ccc2ccc(CC3CCN(C(=O)CCl)CC3)cc2c1,NIR-THE-0d6-4,20200417_moonshot_to_enamine.csv
CCNc1ncc(C#N)cc1CC1CCN(C(=O)CCl)CC1,NIR-THE-0d6-6,20200417_moonshot_to_enamine.csv
O=C(C(F)Cl)N1CCN(Cc2cccc3ccccc23)CC1,JOO-IND-637-6,20200417_moonshot_to_enamine.csv
CN1CCC(C(c2ccccc2)N2CCN(C(=O)CCl)CC2)CC1,GIA-UNK-20b-5,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN(C(c2ccccc2)C2CCCCC2)CC1,GIA-UNK-20b-6,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN(C(c2ccccc2)C2CCOCC2)CC1,GIA-UNK-20b-2,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN(C(c2ccccc2)C(CO)CO)CC1,GIA-UNK-20b-7,20200417_moonshot_to_enamine.csv
O=C1CC(C(c2ccccc2)N2CCN(C(=O)CCl)CC2)CCN1,GIA-UNK-20b-9,20200417_moonshot_to_enamine.csv
NS(=O)(=O)c1ccc2ccc(NC3CCN(C(=O)CCl)CC3)cc2c1,NIR-THE-0d6-5,20200417_moonshot_to_enamine.csv
Cc1cc(C)nc(NC2CCN(C(=O)CCl)CC2)n1,GIA-UNK-a79-1,20200417_moonshot_to_enamine.csv
CCNc1ncc(C#N)c2ccc(N(C(=O)CCl)c3cccc(C(=O)N4CCSCC4)c3)cc12,NIR-THE-ed2-2,20200417_moonshot_to_enamine.csv
O=C(Nc1cccc(C(=O)N2CCSCC2)c1)C(F)Cl,JOO-IND-637-2,20200417_moonshot_to_enamine.csv
NC(=O)CCCC(Cl)C(=O)N1CCN(Cc2cccc(F)c2)CC1,VIT-UNK-cff-2,20200417_moonshot_to_enamine.csv
O=C1NC(=O)C(CCC(Cl)C(=O)N2CCN(Cc3cccc(F)c3)CC2)N1,VIT-UNK-cff-1,20200417_moonshot_to_enamine.csv
C=CC(=O)N1CCN(Cc2cccc3ccccc23)CC1,JOO-IND-637-4,20200417_moonshot_to_enamine.csv
C=CC(=O)N1CCN(Cc2ccc(F)cc2)CC1,ANT-OPE-d97-1,20200417_moonshot_to_enamine.csv
C#CCN1CCN(C(=O)C=C)CC1,TOB-UNK-c2a-2,20200417_moonshot_to_enamine.csv
COC(=O)C1CC(Cc2cccc(C)c2)CCN1C(=O)CCl,MAK-UNK-af8-9,20200417_moonshot_to_enamine.csv
CC(Cl)C(=O)N1CCC(C(=O)N2CCCCC2)CC1,BRU-LEF-cf9-1,20200417_moonshot_to_enamine.csv
C=CC(=O)NC(=O)CNc1cc(C)cc(Cc2nc(NCC)ccc2F)c1,BEN-VAN-ed8-10,20200417_moonshot_to_enamine.csv
NC(=O)/C=C/CCC(O)C1COC(Nc2cc(O)cc(O)c2)C(F)C1,VIT-UNK-525-6,20200417_moonshot_to_enamine.csv
CS(=O)(=O)N(CCc1ccccc1)CC1CCN(C(=O)CCl)CC1,DUN-NEW-f8c-25,20200417_moonshot_to_enamine.csv
CC(NC(=O)CCl)c1cc(O)cc(Cl)c1,DAV-CRI-3ed-2,20200417_moonshot_to_enamine.csv
CC(NC(=O)CCl)c1cc(F)cc(Cl)c1,DAV-CRI-3ed-6,20200417_moonshot_to_enamine.csv
C#CCN1CCN(C(=O)CCl)CC1,TOB-UNK-c2a-1,20200417_moonshot_to_enamine.csv
O=C(CCl)CNC(=O)CC(=O)NCc1ccccc1,GIA-UNK-3f3-5,20200417_moonshot_to_enamine.csv
N#Cc1ccc(CNC(=O)N2CCOCC2)c(CN2CCN(C(=O)CCl)CC2)c1,DAR-DIA-fb2-16,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN(Cc2cccc(CNC(=O)N3CCOCC3)c2)CC1,TAM-UNI-d1c-12,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN(Cc2cc(Cl)ccc2CNS(=O)(=O)N2CCOCC2)CC1,STU-CHA-6d5-1,20200417_moonshot_to_enamine.csv
O=C(CCl)N1CCN(Cc2cc(Cl)ccc2CNC(=O)N2CCOCC2)CC1,STU-CHA-6ca-1,20200417_moonshot_to_enamine.csv
O=C1CN(C(=O)NCc2ccc(Cl)cc2CN2CCN(C(=O)CCl)CC2)CCN1,STU-CHA-535-1,20200417_moonshot_to_enamine.csv
O=C(NCc1ccc(Cl)cc1CN1CCN(C(=O)CCl)CC1)[C@@H]1CCCOC1,STU-CHA-7b3-1,20200417_moonshot_to_enamine.csv
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NC(CN1CCN(C(=O)CCl)CC1)c1ccccc1,NIM-UNI-ed9-4,20200417_moonshot_to_enamine.csv
Cc1ccc(CCC(c2cccc(C#N)c2)N2CCN(C(=O)CCl)CC2)cc1,PAU-WEI-b9b-6,20200417_moonshot_to_enamine.csv
Cc1ccc(CCC(c2cccc(Cl)c2)N2CCN(C(=O)CCl)CC2)cc1,PAU-WEI-b9b-3,20200417_moonshot_to_enamine.csv
