SMILES,CID,Comments,,,,
Cn1cc(CN(C(=O)Cn2nnc3ccccc32)c2ccc(N3CCCCC3)cc2)cn1,ALP-POS-7c842ab8-1,Urea replacements,,,,
Cn1cc(CN(C(=O)Cc2nnc3ccccn23)c2ccc(N3CCCCC3)cc2)cn1,ALP-POS-7c842ab8-2,Urea replacements,,,,
